,price,rooms,address
0,"$1,292 - 3,510",1-3 Beds,"250 N State Highway 360, Mansfield, TX 76063"
0,"$1,463 - 2,630",1-2 Beds,"3850 Double Oak Ave, Grand Prairie, TX 76065"
0,"$1,225 - 1,785",1-3 Beds,"370 N State Hwy 360, Mansfield, TX 76063"
0,"$1,395 - 2,195",1-3 Beds,"1601 E Debbie Ln, Mansfield, TX 76063"
0,"$1,480 - 6,071",1-3 Beds,"400 N State Hwy 360, Mansfield, TX 76063"
0,"$1,313 - 4,555",1-3 Beds,"3251 Matlock Rd, Mansfield, TX 76063"
0,"$1,344 - 1,876",1-2 Beds,"Mansfield Webb Rd & E Debbie Ln, Mansfield, TX 76063"
0,"$1,320 - 2,204",1-3 Beds,"751 N Main St, Mansfield, TX 76063"
0,"$1,385 - 2,480",1-2 Beds,"1300 Lowe Rd, Mansfield, TX 76063"
0,"$1,426 - 2,925",Studio - 3 Beds,"401 N State Highway 360, Mansfield, TX 76063"
0,"$1,550 - 2,990",1-2 Beds,"1350 FM 157, Mansfield, TX 76063"
0,"$1,314 - 2,360",Studio - 2 Beds,"2100 E Broad St, Mansfield, TX 76063"
0,"$1,370 - 2,350",Studio - 2 Beds,"269 N State Highway 360, Mansfield, TX 76063"
0,"$1,359 - 2,475",Studio - 2 Beds,"2000 Nahvi Rd, Mansfield, TX 76063"
0,"$1,412 - 4,329",Studio - 3 Beds,"715 N Main St, Mansfield, TX 76063"
0,"$1,258 - 5,393",1-3 Beds,"1400 N State Hwy, Mansfield, TX 76063"
0,"$1,210 - 4,718",1-3 Beds,"350 N State Highway 360, Mansfield, TX 76063"
0,"$1,437 - 2,362",1-3 Beds,"311 Watson Branch Ln, Mansfield, TX 76063"
0,"$1,260 - 2,299",1-3 Beds,"1701 Towne Crossing Blvd, Mansfield, TX 76063"
0,"$1,470 - 3,105",1-3 Beds,"10860 Davis Dr, Grand Prairie, TX 76065"
0,"$1,412 - 3,676",1-3 Beds,"8150 S Watson Rd, Arlington, TX 76002"
0,"$803 - 2,274",1-2 Beds,"1201 West Harris Rd, Arlington, TX 76001"
0,"$1,431 - 5,833",1-2 Beds,"420 N State Highway 360, Mansfield, TX 76063"
0,"$1,284 - 1,837",1-3 Beds,"1601 Towne Crossing Blvd, Mansfield, TX 76063"
0,"$1,213 - 2,643",1-2 Beds,"3361 Harmon Rd, Mansfield, TX 76063"
0,"$1,450 - 3,405",1-2 Beds,"8200 Glenn Day Dr, Arlington, TX 76002"
