,price,rooms,address
0,"$1,349 - 2,569",1-3 Beds,"3601 James Pitts Dr, McKinney, TX 75071"
0,"$1,281 - 4,111",1-3 Beds,"2650 S McDonald St, McKinney, TX 75069"
0,"$1,505 - 4,382",1-3 Beds,"1999 Skyline Dr, Mckinney, TX 75071"
0,"$1,360 - 2,945",Studio - 3 Beds,"3751 North Central Expy, McKinney, TX 75071"
0,"$1,235 - 2,975",Studio - 2 Beds,"6080 Alma Rd, McKinney, TX 75070"
0,"$1,490 - 3,150",1-3 Beds,"7201 Stacy Rd, McKinney, TX 75070"
0,"$1,333 - 4,278",1-2 Beds,"7951 Collin McKinney Pky, McKinney, TX 75070"
0,"$1,235 - 2,010",1-3 Beds,"3250 Hudson Crossing, McKinney, TX 75070"
0,"$1,261 - 2,512",1-3 Beds,"4490 W Eldorado Pky, Mckinney, TX 75070"
0,"$1,354 - 2,257",1-3 Beds,"3400 Craig Dr, McKinney, TX 75070"
0,"$1,344 - 2,580",1-3 Beds,"5201 Collin Mckinney Pky, Mckinney, TX 75070"
0,"$1,229 - 3,232",1-3 Beds,"5500 McKinney Place Dr, McKinney, TX 75070"
0,"$1,558 - 5,617",1-4 Beds,"2305 S Custer Rd, McKinney, TX 75072"
0,"$1,159 - 1,614",1-2 Beds,"3191 Medical Center Dr, Mckinney, TX 75069"
0,"$1,245 - 2,355",1-3 Beds,"4651 S Custer Rd, McKinney, TX 75070"
0,"$1,279 - 2,892",1-3 Beds,"401 S Coit Rd, McKinney, TX 75035"
0,"$1,343 - 7,804",Studio - 3 Beds,"5701 McKinney Place Dr, McKinney, TX 75070"
0,"$1,265 - 2,249",Studio - 2 Beds,"7201 Henneman Way, McKinney, TX 75070"
0,"$1,279 - 2,473",1-3 Beds,"1703 Rockhill Rd, McKinney, TX 75069"
0,"$1,330 - 3,065",1-3 Beds,"16220 Phoebe Rd, Frisco, TX 75035"
0,"$1,335 - 3,120",Studio - 3 Beds,"1287 Blue Tractor Ln, Allen, TX 75013"
0,"$1,380 - 2,725",1-3 Beds,"2300 Kathryn Ln, Plano, TX 75025"
0,"$1,299 - 2,390",1-3 Beds,"351 Sugarloaf Trl, Fairview, TX 75069"
0,"$1,305 - 2,986",1-2 Beds,"930 Ridgeview Dr, Allen, TX 75013"
0,"$1,300 - 2,250",1-3 Beds,"4690 W Eldorado Pky, McKinney, TX 75070"
0,"$1,459 - 2,754",1-4 Beds,"7200 Welcome Blvd, McKinney, TX 75071"
0,"$1,395 - 1,975",1-2 Beds,"2770 N Brook Dr, McKinney, TX 75070"
0,"$1,185 - 1,630",1-2 Beds,"2003 Skyline Dr, McKinney, TX 75071"
0,"$1,200 - 3,028",1-3 Beds,"4101 S Custer Rd, McKinney, TX 75070"
0,Call for Rent,1-2 Beds,"2700 N Brook Dr, McKinney, TX 75070"
0,"$1,013 - 4,278",1-2 Beds,"1500 W Eldorado Pky, McKinney, TX 75069"
0,"$1,139 - 1,489",1-2 Beds,"123 Wilson Creek Blvd, McKinney, TX 75069"
0,"$1,594 - 3,515",1-3 Beds,"2300 S McDonald St, McKinney, TX 75069"
0,"$1,215 - 2,717",1-3 Beds,"1300 Eldorado Pky, McKinney, TX 75069"
0,"$1,558 - 5,765",1-4 Beds,"7117 Caspian Blvd, McKinney, TX 75071"
0,"$1,473 - 4,812",1-4 Beds,"8401 Idyllic Pl, McKinney, TX 75071"
0,"$1,179 - 8,121",1-3 Beds,"2401 McKinney Ranch Pky, McKinney, TX 75070"
0,"$1,200 - 3,120",1-3 Beds,"8700 Stacy Rd, McKinney, TX 75070"
0,"$1,436 - 3,750",1-2 Beds,"375 Adriatic Pky, McKinney, TX 75070"
0,"$1,260 - 2,915",1-3 Beds,"7101 Virginia Pky, McKinney, TX 75071"
