,price,rooms,address
0,"$1,600 - 1,899",1-2 Beds,"1930 S 24th St, Mesa, AZ 85234"
0,"$1,199 - 1,669",Studio - 2 Beds,"9733 E Southern Ave, Mesa, AZ 85209"
0,"$1,487 - 2,161",1-3 Beds,"10631 E Southern Ave, Mesa, AZ 85209"
0,"$1,095 - 1,694",Studio - 2 Beds,"2107 W Broadway Rd, Mesa, AZ 85202"
0,"$1,360 - 1,460",1-2 Beds,"5315 E Broadway Rd, Mesa, AZ 85206"
0,"$1,420 - 2,200",1-2 Beds,"1247 S 96th St, Mesa, AZ 85209"
0,"$1,612 - 3,087",Studio - 2 Beds,"1979 E Rio Salado Pky, Tempe, AZ 85281"
0,"$1,679 - 2,024",1-2 Beds,"3000 W Southern Ave, Apache Junction, AZ 85120"
0,"$1,394 - 2,249",Studio - 3 Beds,"4210 E Williams Field Rd, Gilbert, AZ 85295"
0,"$1,248 - 1,623",1-2 Beds,"550 E McKellips Rd, Mesa, AZ 85203"
0,"$1,278 - 2,325",1-3 Beds,"855 W Southern Ave, Mesa, AZ 85210"
0,"$1,980 - 2,395",2-3 Beds,"1350 S Ellsworth Rd, Mesa, AZ 85209"
0,"$1,300 - 1,750",1-2 Beds,"63 W 1st Ave, Mesa, AZ 85210"
0,"$2,741 - 6,538",3-4 Beds,"5150 S Inspirian Pky, Mesa, AZ 85212"
0,"$1,400 - 3,275",Studio - 3 Beds,"9410 E Ray Rd, Mesa, AZ 85212"
0,"$1,314 - 1,596",Studio - 2 Beds,"6151 S Power Rd, Mesa, AZ 85212"
0,"$1,448 - 6,260",Studio - 2 Beds,"18 S Udall St, Mesa, AZ 85204"
0,"$1,630 - 2,440",Studio - 2 Beds,"1666 S Dobson Rd, Mesa, AZ 85202"
0,"$1,537 - 3,253",1-2 Beds,"10529 E Hampton Ave, Mesa, AZ 85209"
0,"$1,530 - 1,910",1-2 Beds,"9652 E Hampton Ave, Mesa, AZ 85209"
0,"$1,675 - 2,360",1-3 Beds,"1310 W Southern Ave, Mesa, AZ 85202"
0,"$1,605 - 2,515",1-3 Beds,"1103 S Crismon Rd, Mesa, AZ 85208"
0,"$1,540 - 2,340",1-3 Beds,"3646 S 79th St, Mesa, AZ 85212"
0,"$1,585 - 2,440",1-3 Beds,"1760 S Crimson Rd, Mesa, AZ 85209"
0,"$1,388 - 3,250",Studio - 2 Beds,"4755 E Southern Ave, Mesa, AZ 85206"
0,"$997 - 1,875",1-2 Beds,"1033 S Longmore St, Mesa, AZ 85202"
0,"$850 - 1,500",Studio - 2 Beds,"901 S Country Club Dr, Mesa, AZ 85210"
0,"$1,100 - 1,664",1-2 Beds,"4225 E University Dr, Mesa, AZ 85205"
0,"$1,364 - 1,596",1-3 Beds,"3319 E University Dr, Mesa, AZ 85213"
0,Call for Rent,1-3 Beds,"6745 E Superstition Springs Blvd, Mesa, AZ 85206"
0,"$1,275 - 1,560",1-2 Beds,"1230 N Mesa Dr, Mesa, AZ 85201"
0,"$1,290 - 1,765",1-2 Beds,"225 N Gilbert Rd, Mesa, AZ 85203"
0,"$1,357 - 2,196",1-3 Beds,"1304 S 105th Pl, Mesa, AZ 85209"
0,"$1,100 - 1,658",Studio - 1 Bed,"960 W Southern Ave, Mesa, AZ 85210"
0,"$1,035 - 3,398",1-2 Beds,"130 N 56th St, Mesa, AZ 85205"
0,"$911 - 2,113",Studio - 2 Beds,"2240 W University Dr, Mesa, AZ 85201"
0,"$1,070 - 1,580",Studio - 2 Beds,"825 S Alma School Rd, Mesa, AZ 85210"
0,"$1,243 - 1,695",1-2 Beds,"544 E Southern Ave, Mesa, AZ 85204"
0,"$968 - 1,375",1-2 Beds,"546 S Country Club Dr, Mesa, AZ 85210"
0,"$1,266 - 1,810",1-3 Beds,"1361 S Greenfield Rd, Mesa, AZ 85206"
