,price,rooms,address
0,"$1,095",2 Beds,"2728 N Buckner Blvd, Dallas, TX 75228"
0,"$1,227 - 4,438",1-2 Beds,"2101 Us Highway 80 E, Mesquite, TX 75150"
0,"$969 - 1,602",1-2 Beds,"2605 Franklin Dr, Mesquite, TX 75150"
0,Call for Rent,1-3 Beds,"4709 Samuell Blvd, Mesquite, TX 75149"
0,"$940 - 1,370",1-2 Beds,"10911 Woodmeadow Pky, Dallas, TX 75228"
0,"$1,368 - 8,107",1-3 Beds,"645 N Town E Blvd, Mesquite, TX 75150"
0,"$900 - 1,705",1-2 Beds,"1805 Oates Dr, Mesquite, TX 75150"
0,"$700 - 1,230",1-2 Beds,"2301 Bamboo St, Mesquite, TX 75150"
0,"$1,150 - 7,635",1-3 Beds,"1540 N Galloway Ave, Mesquite, TX 75149"
0,"$910 - 1,740",1-2 Beds,"3718 Gus Thomasson Rd, Mesquite, TX 75150"
0,"$899 - 1,390",1-2 Beds,"2701 Franklin Dr, Mesquite, TX 75150"
0,"$1,172 - 1,232",1-3 Beds,"2200 N Belt Line Rd, Mesquite, TX 75150"
0,"$949 - 1,379",1-2 Beds,"4200 E Highway 80, Mesquite, TX 75149"
0,"$1,000 - 1,715",1-3 Beds,"4819 N Galloway Ave, Mesquite, TX 75150"
0,"$752 - 1,844",1-2 Beds,"3701 Towne Crossing Blvd, Mesquite, TX 75150"
0,"$989 - 2,050",1-3 Beds,"4328 Duck Creek Dr, Garland, TX 75043"
0,"$953 - 2,745",1-2 Beds,"802 Broadway Commons, Garland, TX 75043"
0,"$945 - 1,375",1-3 Beds,"8943 Senate St, Dallas, TX 75228"
0,"$1,095 - 1,580",1-2 Beds,"801 La Prada Dr, Garland, TX 75043"
0,"$775 - 1,425",Studio - 2 Beds,"11110 Woodmeadow Pky, Dallas, TX 75228"
0,"$902 - 1,516",1-3 Beds,"1001 Mercury Blvd, Balch Springs, TX 75180"
0,"$980 - 1,815",Studio - 2 Beds,"19200 Lyndon B Johnson Fwy, Mesquite, TX 75150"
0,"$985 - 1,850",1-2 Beds,"2305 Driftwood Dr, Mesquite, TX 75150"
0,"$976 - 2,155",1-2 Beds,"5800 Northwest Dr, Mesquite, TX 75150"
0,"$1,241 - 2,696",1-3 Beds,"500 W Cartwright Rd, Balch Springs, TX 75180"
0,"$940 - 4,749",Studio - 3 Beds,"6337 Duck Creek Dr, Garland, TX 75043"
0,"$1,115 - 2,125",1-3 Beds,"238 E Oates Rd, Garland, TX 75043"
0,"$910 - 2,150",1-2 Beds,"5118 Broadway Blvd, Garland, TX 75043"
0,"$1,095 - 1,545",1-2 Beds,"8383 La Prada Dr, Dallas, TX 75228"
0,"$815 - 1,345",1-2 Beds,"10700 Woodmeadow Pky, Dallas, TX 75228"
0,"$950 - 1,305",1-3 Beds,"8411 La Prada Dr E, Dallas, TX 75228"
0,"$1,250",1-2 Beds,"3421 US Highway 80 E, Mesquite, TX 75150"
0,"$1,055 - 1,554",1-2 Beds,"930 Interstate Highway 30, Mesquite, TX 75150"
0,"$1,222 - 1,881",1-3 Beds,"1217 Americana Ln, Mesquite, TX 75150"
0,"$1,169 - 2,164",1-3 Beds,"801 US Highway 67, Mesquite, TX 75150"
0,"$1,030 - 1,650",1-3 Beds,"1123-1125 Hillcrest St, Mesquite, TX 75149"
0,"$1,050 - 1,475",1-2 Beds,"800 W Cartwright Rd, Mesquite, TX 75149"
0,"$1,070 - 1,720",1-3 Beds,"4049 Samuell Blvd, Mesquite, TX 75149"
0,"$1,099 - 1,609",1-2 Beds,"3601 Pioneer Rd, Mesquite, TX 75180"
0,"$1,005 - 1,350",1-3 Beds,"1600 Hickory Tree Rd, Mesquite, TX 75149"
