,price,rooms,address
0,"$1,800 - 1,900",Studio - 1 Bed,"953 Collins Ave, Miami Beach, FL 33139"
0,"$3,000 - 18,000",1-3 Beds,"5101 Collins Ave, MIAMI BEACH, FL 33140"
0,"$2,103 - 3,906",Studio - 3 Beds,"7525 E Treasure Dr, North Bay Village, FL 33141"
0,"$2,600 - 3,700",1-2 Beds,"1777 Michigan Ave, Miami Beach, FL 33139"
0,"$2,500 - 3,900",1 Bed,"4100 Collins Ave, Miami Beach, FL 33140"
0,Call for Rent,1-2 Beds,"1536-1542 Jefferson Ave, Miami Beach, FL 33139"
0,"$2,190 - 5,151",Studio - 2 Beds,"8000 West Dr, North Bay Village, FL 33141"
0,"$1,760 - 3,536",Studio - 2 Beds,"1602 Meridian Ave, Miami Beach, FL 33139"
0,"$1,850 - 2,350",Studio - 2 Beds,"6855-6865 Byron Ave, Miami Beach, FL 33141"
0,"$3,473 - 16,031",1-5 Beds,"1508 Bay Rd, Miami Beach, FL 33139"
0,"$1,640 - 2,700",Studio - 2 Beds,"Miami Beach, FL 33141"
0,"$2,247 - 4,213",Studio - 3 Beds,"900 West Ave, Miami Beach, FL 33139"
0,"$2,060 - 2,235",Studio - 2 Beds,"1006 Bay Dr, Miami Beach, FL 33141"
0,"$1,800",1 Bed,"Miami Beach, FL 33139"
0,"$1,700 - 2,700",Studio - 2 Beds,"7780-7810 Tatum Waterway Dr, Miami Beach, FL 33141"
0,"$1,600 - 2,800",Studio - 2 Beds,"907-911 Euclid Ave, Miami Beach, FL 33139"
0,"$1,320 - 2,355",Studio - 2 Beds,"1211 Alton Rd, Miami Beach, FL 33139"
0,Call for Rent,1-2 Beds,"9200 Bay Harbor Ter, Bay Harbor Islands, FL 33154"
0,"$3,050",2 Beds,"Miami Beach, FL 33139"
0,"$13,900",3 Beds,"Miami Beach, FL 33141"
0,"$3,685",1 Bed,"Miami Beach, FL 33139"
0,"$2,999",2 Beds,"North Bay Village, FL 33141"
