,price,rooms,address
0,"$2,404 - 4,027",1-3 Beds,"11200 Biscayne Blvd, Miami, FL 33181"
0,"$2,123 - 3,878",1-3 Beds,"12950 SW 127th Ave, Miami, FL 33186"
0,"$1,975 - 8,599",Studio - 5 Beds,"2800 SW 27th Ter, Miami, FL 33133"
0,"$2,215 - 2,860",1-2 Beds,"1040 SW 70th Ave, Miami, FL 33144"
0,"$1,875 - 3,350",Studio - 2 Beds,"61 NW 37th Ave, Miami, FL 33125"
0,"$1,845 - 5,765",Studio - 3 Beds,"2431 NW 2nd Ave, Miami, FL 33127"
0,"$2,187 - 3,885",1-2 Beds,"1625 NW 20th St, Miami, FL 33142"
0,"$2,050 - 2,750",1-2 Beds,"3645 NW 36th St, Miami, FL 33142"
0,"$1,240 - 1,845",Studio - 4 Beds,"700 SW 107th Ave, Miami, FL 33174"
0,"$2,275 - 4,500",1-3 Beds,"2222 NE 2nd Ave, Miami, FL 33137"
0,"$2,698 - 6,860",Studio - 3 Beds,"70 NW 25th St, Miami, FL 33127"
0,"$1,550 - 2,350",1-2 Beds,"12 NE 188th St, Miami, FL 33179"
0,"$2,753 - 7,616",1-3 Beds,"6620 SW 57th Ave, Miami, FL 33143"
0,"$1,895 - 6,326",1-3 Beds,"7950 NE Bayshore Ct, Miami, FL 33138"
0,"$3,590 - 12,790",1-3 Beds,"1100 Brickell Bay Dr, Miami, FL 33131"
0,"$2,596 - 3,699",1-3 Beds,"1951 NW South River Dr, Miami, FL 33125"
0,"$2,020 - 7,751",Studio - 3 Beds,"2000 Biscayne Blvd, Miami, FL 33137"
0,"$2,285 - 6,170",Studio - 3 Beds,"100 NW 6th St, Miami, FL 33136"
0,"$592 - 3,300",Studio - 2 Beds,"35 SW 6th Ave, Miami, FL 33130"
0,"$2,084 - 2,702",1-2 Beds,"1569 NW 17th Ave, Miami, FL 33125"
0,"$2,741 - 13,864",Studio - 3 Beds,"225 S Dixie Hwy, Coral Gables, FL 33133"
0,"$2,425 - 4,350",1-4 Beds,"6600 Main St, Miami Lakes, FL 33014"
0,"$3,000 - 18,000",1-3 Beds,"5101 Collins Ave, MIAMI BEACH, FL 33140"
0,"$2,298 - 3,840",1-3 Beds,"4970 SW 124th Ave, Miramar, FL 33027"
0,"$2,349 - 3,741",1-3 Beds,"17351 NW 94th Ct, Hialeah, FL 33018"
0,Call for Rent,Studio - 2 Beds,"3750 S Dixie Hwy, Coconut Grove, FL 33133"
0,"$2,532 - 4,230",1-3 Beds,"8255 Park Blvd, Doral, FL 33126"
0,"$2,804 - 5,360",1-3 Beds,"16395 Biscayne Blvd, North Miami Beach, FL 33160"
0,"$1,995 - 3,805",1-3 Beds,"1155 NE 126th St, North Miami, FL 33161"
0,"$3,785",3 Beds,"8570 W 40th Ave, Hialeah, FL 33018"
0,"$1,650 - 2,700",Studio - 2 Beds,"14000 Biscayne Blvd, North Miami, FL 33181"
0,"$1,900 - 3,415",1-3 Beds,"2301 NW 167th St, Miami Gardens, FL 33056"
0,"$3,700 - 17,900",1-5 Beds,"101 Diplomat Pky, Hallandale Beach, FL 33009"
0,"$2,050 - 3,644",Studio - 3 Beds,"18335 NW 68th Ave, Hialeah, FL 33015"
0,"$1,800 - 1,900",Studio - 1 Bed,"953 Collins Ave, Miami Beach, FL 33139"
0,"$2,454 - 4,144",1-3 Beds,"20080 W Dixie Hwy, Aventura, FL 33180"
0,"$2,085 - 4,720",Studio - 3 Beds,"3555 NW 83rd Ave, Doral, FL 33122"
0,"$2,557 - 7,076",Studio - 3 Beds,"9420-9500 SW 174th St, Palmetto Bay, FL 33157"
0,Call for Rent,Studio - 3 Beds,"1480 NW North River Dr, Miami, FL 33125"
0,"$2,445 - 4,771",1-2 Beds,"645 NW 1st St, Miami, FL 33128"
