,price,rooms,address
0,"$910 - 3,025",1-2 Beds,"516 N Loop 250 W, Midland, TX 79703"
0,"$1,162 - 6,873",Studio - 3 Beds,"1200 Albert Ave, Midland, TX 79701"
0,"$1,559 - 3,349",1-3 Beds,"5501 Sherwood Dr, Midland, TX 79707"
0,"$1,390 - 2,563",1-3 Beds,"2818 W Loop 250 N, Midland, TX 79705"
0,"$1,486 - 3,439",1-2 Beds,"5801 Deauville Blvd, Midland, TX 79706"
0,"$1,529 - 2,154",1-3 Beds,"3200 Bromley Pl, Midland, TX 79705"
0,"$1,125 - 1,334",1-2 Beds,"3101 N Midland Dr, Midland, TX 79707"
0,"$905 - 1,005",1-2 Beds,"609 Watson St, Midland, TX 79701"
0,"$919 - 1,568",1-3 Beds,"1811 Tradewinds Blvd, Midland, TX 79706"
0,"$1,351 - 2,255",Studio - 2 Beds,"311 S Loop 250 West, Midland, TX 79703"
0,"$1,483 - 2,609",Studio - 3 Beds,"7004 W Wadley Ave, Midland, TX 79707"
0,"$1,145 - 1,605",1-3 Beds,"1915 E Scharbauer Dr, Midland, TX 79705"
0,"$1,515 - 1,815",1-3 Beds,"501 S Loop 250 W, Midland, TX 79703"
0,"$1,095 - 1,810",1-2 Beds,"3600 N Midland Dr, Midland, TX 79707"
0,"$925 - 1,274",1-3 Beds,"1301 Latta St, Midland, TX 79701"
0,"$825 - 2,720",1-2 Beds,"5244 W Loop 250 N, Midland, TX 79707"
0,"$938 - 1,279",1-3 Beds,"1509 Wayside Dr, Midland, TX 79701"
0,"$1,630 - 1,880",1-2 Beds,"1907 Tarleton St, Midland, TX 79707"
0,"$1,528 - 2,659",Studio - 3 Beds,"6000 Briarwood Ave, Midland, TX 79707"
0,"$1,005 - 2,450",1-3 Beds,"2601 N A St, Midland, TX 79705"
0,"$1,124 - 1,454",1-2 Beds,"5101 N A St, Midland, TX 79705"
0,"$1,033 - 1,698",1-2 Beds,"4415 Northcrest Dr, Midland, TX 79707"
0,"$1,281 - 5,770",1-3 Beds,"1808 S Tradewinds Blvd, Midland, TX 79706"
0,"$960 - 2,160",1-3 Beds,"3417 N Midland Dr, Midland, TX 79707"
0,"$935 - 2,905",1-2 Beds,"1902 N Midland Dr, Midland, TX 79707"
0,"$974 - 1,770",1-3 Beds,"2300 S Lamesa Rd, Midland, TX 79701"
0,"$1,015 - 1,515",1-3 Beds,"1601 N Midkiff Rd, Midland, TX 79701"
0,"$815 - 2,610",Studio - 3 Beds,"2613 N Midland Dr, Midland, TX 79707"
0,"$850 - 1,300",Studio - 3 Beds,"1801 N Midland Dr, Midland, TX 79707"
0,"$800 - 1,000",1-3 Beds,"2300 Camp Dr, Midland, TX 79701"
0,"$1,344 - 2,100",2-3 Beds,"501 W Cowden Ave, Midland, TX 79701"
0,"$1,085 - 2,670",1-2 Beds,"2300 N A St, Midland, TX 79705"
0,"$1,380 - 2,300",1-3 Beds,"4805 Briarwood Ave, Midland, TX 79707"
0,"$862 - 1,313",Studio - 2 Beds,"3100 Caldera Blvd, Midland, TX 79705"
0,"$1,030 - 3,180",1-3 Beds,"4405 N Garfield St, Midland, TX 79705"
0,"$1,421 - 2,034",1-2 Beds,"3700 Edwards St, Midland, TX 79705"
0,"$1,615 - 2,950",1-3 Beds,"3329 W Wadley Ave, Midland, TX 79707"
0,"$950 - 1,730",1 Bed,"4201 Andrews Hwy, Midland, TX 79703"
0,"$1,625 - 2,410",1-3 Beds,"3600 Edwards St, Midland, TX 79705"
0,"$1,040 - 1,780",1-2 Beds,"4715 W Wadley Ave, Midland, TX 79707"
