,price,rooms,address
0,"$1,487 - 4,943",Studio - 2 Beds,"650 Portland Ave, Minneapolis, MN 55415"
0,"$1,489 - 11,961",Studio - 3 Beds,"365 Nicollet Mall, Minneapolis, MN 55401"
0,"$1,403 - 2,577",1-2 Beds,"1117 Marquette Ave, Minneapolis, MN 55403"
0,"$1,195 - 1,950",Studio - 2 Beds,"2401 Chicago Ave, Minneapolis, MN 55404"
0,"$1,240 - 4,605",Studio - 3 Beds,"816 Portland Ave S, Minneapolis, MN 55404"
0,"$1,545 - 14,140",Studio - 3 Beds,"200 University Ave SE, Minneapolis, MN 55414"
0,"$1,259 - 1,689",1-2 Beds,"6100 Summit Dr N, Minneapolis, MN 55430"
0,"$1,040 - 5,730",Studio - 2 Beds,"1455 W Lake St, Minneapolis, MN 55408"
0,"$1,000 - 2,150",Studio - 2 Beds,"2333 Jackson St NE, Minneapolis, MN 55418"
0,"$1,765 - 9,500",1-2 Beds,"3100 W Lake St, Minneapolis, MN 55416"
0,"$1,075 - 1,250",Studio,"711 8th St SE, Minneapolis, MN 55414"
0,"$1,550 - 8,500",1-3 Beds,"240 Park Ave, Minneapolis, MN 55415"
0,"$1,295 - 3,495",Studio - 3 Beds,"1025 Main St, Minneapolis, MN 55413"
0,"$1,620 - 1,775",Studio - 1 Bed,"515 Huron Blvd SE, Minneapolis, MN 55414"
0,"$1,210 - 2,335",Studio - 2 Beds,"657 22nd Ave NE, Minneapolis, MN 55418"
0,"$1,270 - 3,945",Studio - 3 Beds,"2851 Hennepin Ave, Minneapolis, MN 55408"
0,"$1,259 - 2,996",Studio - 3 Beds,"2500 2nd St NE, Minneapolis, MN 55418"
0,"$1,442 - 7,115",Studio - 3 Beds,"700 S 4th St, Minneapolis, MN 55415"
0,"$1,280 - 2,365",Studio - 2 Beds,"485 Malcolm Ave SE, Minneapolis, MN 55414"
0,"$1,625 - 4,011",Studio - 3 Beds,"9920 Wayzata Blvd, Minneapolis, MN 55426"
0,"$1,275 - 2,215",Studio - 2 Beds,"3121 69th St W, Edina, MN 55435"
0,"$999 - 1,179",1 Bed,"3413-3433 53rd Ave N, Brooklyn Center, MN 55429"
0,"$1,275 - 1,495",1-3 Beds,"777 Berry St, Saint Paul, MN 55114"
0,"$1,640 - 3,740",Studio - 3 Beds,"1325 Utica Ave S, Saint Louis Park, MN 55416"
0,"$1,550 - 3,930",Studio - 3 Beds,"3250 W 66th St, Edina, MN 55435"
0,"$781 - 2,767",Studio - 4 Beds,"909 Gould Ave NE, Columbia Heights, MN 55421"
0,"$1,021 - 2,875",Studio - 2 Beds,"760 Raymond Ave, Saint Paul, MN 55114"
0,"$1,747 - 3,995",Studio - 3 Beds,"6200 Penn Ave S, Richfield, MN 55423"
0,"$1,625 - 3,240",Studio - 2 Beds,"800 Cretin Ave S, Saint Paul, MN 55116"
0,"$1,619 - 5,341",1-4 Beds,"1314 Marquette Ave, Minneapolis, MN 55403"
0,"$925 - 1,599",Studio - 1 Bed,"36 S 9th St, Minneapolis, MN 55402"
0,"$1,331 - 2,397",1-2 Beds,"110 W Grant St, Minneapolis, MN 55403"
0,"$954 - 1,740",1-3 Beds,"8500-8516 63rd Ave N, Minneapolis, MN 55428"
0,"$835 - 1,040",Studio - 1 Bed,"2006-2008 Park Ave, Minneapolis, MN 55404"
0,"$1,133 - 1,261",Studio - 1 Bed,"115 2nd Ave S, Minneapolis, MN 55401"
0,"$969 - 1,789",Studio - 2 Beds,"2220 E Franklin Ave, Minneapolis, MN 55404"
0,"$1,310 - 2,175",Studio - 2 Beds,"3036 W Lake St, Minneapolis, MN 55416"
0,"$1,560 - 2,894",Studio - 2 Beds,"901 Xenia Ave S, Minneapolis, MN 55416"
0,$897 - 997,1 Bed,"3431 Dupont Ave S, Minneapolis, MN 55408"
0,"$1,335 - 7,995",Studio - 3 Beds,"465 Nicollet Mall, Minneapolis, MN 55401"
