,price,rooms,address
0,"$968 - 1,902",Studio - 2 Beds,"758 St. Michael St, Mobile, AL 36602"
0,Call for Rent,Studio - 2 Beds,"350 Saint Joseph St, Mobile, AL 36602"
0,"$860 - 1,534",1-2 Beds,"3907 Michael Blvd, Mobile, AL 36609"
0,"$1,249 - 3,416",1-3 Beds,"6190 Girby Rd, Mobile, AL 36693"
0,"$825 - 1,251",1-2 Beds,"505 Bel Air Blvd, Mobile, AL 36606"
0,"$918 - 1,402",1-3 Beds,"900 Downtowner Blvd, Mobile, AL 36609"
0,"$1,263 - 1,825",1-3 Beds,"5799 Southland Dr, Mobile, AL 36693"
0,"$1,099 - 1,549",1-3 Beds,"6700 Wall St, Mobile, AL 36695"
0,"$750 - 1,163",1-3 Beds,"6650 Cottage Hill Rd, Mobile, AL 36695"
0,"$1,452 - 2,262",1-2 Beds,"951 Government St, Mobile, AL 36604"
0,"$1,386 - 2,668",1-3 Beds,"151 Du Rhu Dr, Mobile, AL 36608"
0,"$737 - 1,324",1-3 Beds,"1030 Montlimar Dr, Mobile, AL 36609"
0,"$1,359 - 2,943",1-2 Beds,"300 N Water St, Mobile, AL 36602"
0,"$1,151 - 1,362",Studio - 2 Beds,"1812 Old Shell Rd, Mobile, AL 36607"
0,"$877 - 1,148",1-2 Beds,"833 S University Blvd, Mobile, AL 36609"
0,"$1,230 - 1,672",1-3 Beds,"5089 Government Blvd, Mobile, AL 36693"
0,"$833 - 1,076",1-2 Beds,"701 S University Blvd, Mobile, AL 36609"
0,"$850 - 1,195",1-3 Beds,"3600 Michael Blvd, Mobile, AL 36609"
0,"$885 - 1,590",1-3 Beds,"320 Stanton Rd, Mobile, AL 36617"
0,"$1,260 - 2,128",1-3 Beds,"2889 Sollie Rd, Mobile, AL 36695"
0,"$999 - 1,320",1-2 Beds,"1663-1701 Hillcrest Rd, Mobile, AL 36695"
0,"$952 - 1,134",1-2 Beds,"375 Hillcrest Rd, Mobile, AL 36608"
0,"$930 - 1,230",1-2 Beds,"6427 Grelot Rd, Mobile, AL 36695"
0,"$1,165 - 1,765",1-3 Beds,"3220 Cottage Hill Rd, Mobile, AL 36606"
0,"$999 - 1,210",1-2 Beds,"6075 Grelot Rd, Mobile, AL 36609"
0,"$999 - 1,175",1-2 Beds,"1 Country Ln, Mobile, AL 36608"
0,"$1,200 - 1,740",2-4 Beds,"112 S University Blvd, Mobile, AL 36608"
0,"$1,220 - 2,080",2-3 Beds,"6427 Airport Blvd, Mobile, AL 36608"
0,"$13 - 1,825",1-3 Beds,"1200 Somerby Dr, Mobile, AL 36695"
0,"$724 - 1,081",1-2 Beds,"6964 Airport Blvd, Mobile, AL 36608"
0,"$1,500 - 2,500",1-3 Beds,"150 Du Rhu Dr, Mobile, AL 36608"
0,"$895 - 1,189",1-3 Beds,"2656 Pathway Pl, Mobile, AL 36606"
0,"$1,200 - 1,715",1-3 Beds,"2175 Schillinger Rd, Mobile, AL 36695"
0,"$880 - 1,055",1-2 Beds,"5725 Old Pascagoula Rd, Mobile, AL 36619"
0,"$804 - 1,300",1-2 Beds,"3920 Berwyn Dr S, Mobile, AL 36608"
0,"$943 - 1,304",1-3 Beds,"3661 Airport Blvd, Mobile, AL 36609"
0,"$810 - 1,612",1-2 Beds,"1651 Knollwood Dr, Mobile, AL 36609"
0,"$899 - 1,295",1-3 Beds,"146 Yester Oaks Dr, Mobile, AL 36608"
0,$737 - 984,1-2 Beds,"4850 General Rd, Mobile, AL 36619"
0,"$825 - 1,092",1-2 Beds,"4031 Airport Blvd, Mobile, AL 36608"
