,price,rooms,address
0,"$1,677 - 4,502",Studio - 3 Beds,"50 Central Island St, Daniel Island, SC 29492"
0,"$1,841 - 5,932",1-2 Beds,"1588 Bloom St, Mount Pleasant, SC 29466"
0,"$2,920 - 4,205",1-2 Beds,"180 Patriots Point Rd, Mount Pleasant, SC 29464"
0,"$1,993 - 7,555",1-3 Beds,"1280 Appling Dr, Mount Pleasant, SC 29464"
0,"$1,855 - 4,015",1-3 Beds,"1100 Legends Club Dr, Mount Pleasant, SC 29466"
0,"$1,655 - 3,695",1-3 Beds,"1600 Belle Point Dr, Mount Pleasant, SC 29464"
0,"$1,800 - 7,623",Studio - 3 Beds,"1201 Central Haven Dr, Mount Pleasant, SC 29464"
0,"$2,300 - 2,500",2-3 Beds,"1605 Nantahala Blvd, Mount Pleasant, SC 29464"
0,"$1,538 - 10,190",Studio - 3 Beds,"1405 Long Grove Dr, Mount Pleasant, SC 29464"
0,"$2,001 - 3,347",1-3 Beds,"3420 Legacy Eagle Dr, Mount Pleasant, SC 29466"
0,Call for Rent,Studio - 3 Beds,"1001 Boopa Ln, Mount Pleasant, SC 29464"
0,"$1,784 - 8,337",Studio - 3 Beds,"211 River Landing Dr, Daniel Island, SC 29492"
0,"$1,983 - 3,464",Studio - 2 Beds,"175 Harbor Bridge Ln, Mount Pleasant, SC 29464"
0,"$1,608 - 7,088",Studio - 3 Beds,"301 Seaport Ln, Mount Pleasant, SC 29464"
0,"$1,707 - 2,332",1-2 Beds,"1054 Anna Knapp Blvd, Mount Pleasant, SC 29464"
0,"$1,471 - 5,724",Studio - 2 Beds,"1421 Shucker Cir, Mount Pleasant, SC 29464"
0,"$1,655 - 2,830",1-3 Beds,"331 Harbor Pointe Dr, Mount Pleasant, SC 29464"
0,"$1,674 - 3,942",Studio - 3 Beds,"335 Stonewall Ct, Mount Pleasant, SC 29464"
0,"$1,599 - 4,100",Studio - 3 Beds,"725 Coleman Blvd, Mt. Pleasant, SC 29464"
0,"$1,531 - 5,081",1-3 Beds,"100 Eighty Oak Ave, Mount Pleasant, SC 29464"
0,"$1,710 - 6,690",Studio - 3 Beds,"515 Robert Daniel Dr, Daniel Island, SC 29492"
0,"$1,728 - 3,975",1-2 Beds,"800 Runaway Bay Dr, Mt Pleasant, SC 29464"
0,"$2,175 - 7,209",1-3 Beds,"1385 Classic Ct, Mount Pleasant, SC 29466"
0,"$4,600 - 6,995",2 Beds,"3100 Tradition Cir, Mount Pleasant, SC 29466"
0,"$1,600 - 1,970",1-2 Beds,"1900 N Us-17 Hwy, Mount Pleasant, SC 29464"
0,"$1,590 - 2,140",1-3 Beds,"1053 Rifle Range Rd, Mount Pleasant, SC 29464"
0,"$1,636 - 3,743",1-2 Beds,"997 Johnnie Dodds Blvd, Mount Pleasant, SC 29464"
0,"$1,530 - 1,890",1-2 Beds,"1175 Mathis Ferry Rd, Mount Pleasant, SC 29464"
0,"$1,600 - 1,970",1-2 Beds,"1061 Johnnie Dodds Blvd, Mount Pleasant, SC 29464"
0,"$1,598 - 3,308",Studio - 2 Beds,"2170 Snyder Cir, Mount Pleasant, SC 29466"
0,"$1,690 - 4,007",Studio - 3 Beds,"1240-1250 N Winnowing Way, Mount Pleasant, SC 29466"
0,"$2,782",1 Bed,"Charleston, SC 29492"
