,price,rooms,address
0,"$2,486 - 5,393",1-3 Beds,"36125 Creighton Ave, Murrieta, CA 92563"
0,"$1,875 - 3,635",1-3 Beds,"26900 Winchester Creek Ave, Murrieta, CA 92563"
0,"$1,899 - 3,406",1-2 Beds,"24850 Hancock Ave, Murrieta, CA 92562"
0,"$1,699 - 2,686",1-2 Beds,"24375 Jackson Ave, Murrieta, CA 92562"
0,"$1,795 - 2,950",Studio - 3 Beds,"40800 Sunflower Rd, Murrieta, CA 92562"
0,"$2,599 - 3,534",1-3 Beds,"24802 Alita Way, Wildomar, CA 92595"
0,"$2,111 - 4,731",1-3 Beds,"40140 Village Rd, Temecula, CA 92591"
0,"$2,409 - 5,874",1-3 Beds,"24055 Clinton Keith Rd, Wildomar, CA 92595"
0,"$1,879 - 5,022",1-3 Beds,"38245 Murrieta Hot Springs Rd, Murrieta, CA 92563"
0,"$1,946 - 2,754",1-2 Beds,"39930 Whitewood Rd, Murrieta, CA 92563"
0,"$2,408 - 5,092",1-3 Beds,"35995 Mitchell Rd, Murrieta, CA 92562"
0,"$1,890 - 2,325",1-2 Beds,"40125 Los Alamos Rd, Murrieta, CA 92562"
0,"$2,442 - 3,281",2-3 Beds,"24875 Prielipp Rd, Wildomar, CA 92595"
