,price,rooms,address
0,"$1,285 - 2,224",1-2 Beds,"770 Barbarosa Rd, New Braunfels, TX 78130"
0,"$1,099 - 1,475",Studio - 2 Beds,"614 Central Pky, New Braunfels, TX 78130"
0,"$1,545 - 2,650",1-3 Beds,"2504 Compose Dr, New Braunfels, TX 78130"
0,"$1,895 - 2,595",2-4 Beds,"816 Barbarosa Rd, New Braunfels, TX 78130"
0,"$1,299 - 2,068",1-2 Beds,"2349 IH-35 N, New Braunfels, TX 78130"
0,"$1,195 - 3,750",Studio - 3 Beds,"2745 Westpointe Dr, New Braunfels, TX 78132"
0,"$1,250 - 2,500",1-2 Beds,"1951 Old FM 306, New Braunfels, TX 78130"
0,"$1,607 - 2,999",1-2 Beds,"2825 Sophie Ln, New Braunfels, TX 78130"
0,"$1,030 - 1,565",1-2 Beds,"1767 S State Hwy 46, New Braunfels, TX 78130"
0,"$1,995 - 2,175",3-4 Beds,"895 Casina Cir, New Braunfels, TX 78130"
0,"$1,163 - 2,477",1-3 Beds,"520 FM 306, New Braunfels, TX 78130"
0,"$1,117 - 2,265",1-3 Beds,"1360 W County Line Rd, New Braunfels, TX 78130"
0,"$1,195 - 2,250",Studio - 3 Beds,"1661 Independence Dr, New Braunfels, TX 78132"
0,"$1,150 - 2,070",1-2 Beds,"625 Creekside Way, New Braunfels, TX 78130"
0,"$1,293 - 2,181",1-3 Beds,"705 Village Way, New Braunfels, TX 78130"
0,"$1,309 - 2,320",1-3 Beds,"2025 Hunter Rd, New Braunfels, TX 78132"
0,"$1,895 - 2,195",3-4 Beds,"1216 Grace Park Rd, New Braunfels, TX 78130"
0,"$1,142 - 2,015",1-3 Beds,"1231 Huisache Ave, New Braunfels, TX 78130"
0,"$1,245 - 1,868",1-2 Beds,"453 N Business Ih 35, New Braunfels, TX 78130"
0,"$1,100 - 1,850",1-3 Beds,"2515 W San Antonio St, New Braunfels, TX 78130"
0,"$1,280 - 1,954",1-2 Beds,"451 FM 306 Rd, New Braunfels, TX 78130"
0,"$1,043 - 2,301",Studio - 3 Beds,"2215 Independence Dr, New Braunfels, TX 78130"
0,"$994 - 7,262",1-2 Beds,"2090 Sundance Pky, New Braunfels, TX 78130"
0,$885 - 920,1 Bed,"1051 N Interstate 35, NEW BRAUNFELS, TX 78130"
0,"$1,025 - 1,746",1-3 Beds,"580 Creekside Way, New Braunfels, TX 78130"
0,$756 - 957,Studio,"1533 N - 35, New Braunfels, TX 78130"
0,"$1,400 - 2,600",1-2 Beds,"1925 Old FM 306, New Braunfels, TX 78130"
0,"$1,100 - 1,629",1-2 Beds,"2056 Sundance Pky, New Braunfels, TX 78130"
0,"$1,319 - 1,889",1-2 Beds,"2293 Common St, New Braunfels, TX 78130"
0,"$1,499 - 2,529",1-3 Beds,"2120 Stephens Pl, New Braunfels, TX 78130"
0,"$1,176 - 1,888",1-2 Beds,"1565 N Business IH 35, New Braunfels, TX 78130"
0,"$1,059 - 1,808",Studio - 2 Beds,"845 Hwy 81 W, New Braunfels, TX 78130"
0,"$1,565 - 2,070",1-3 Beds,"770 N IH 35, New Braunfels, TX 78130"
0,"$1,082 - 2,183",1-3 Beds,"1355 Ranch Pky, New Braunfels, TX 78130"
0,"$1,250 - 2,299",1-3 Beds,"301 Castlewood Dr, New Braunfels, TX 78130"
0,"$1,141 - 4,728",1-3 Beds,"1747 FM 1101, New Braunfels, TX 78130"
0,Call for Rent,1-4 Beds,"677 Creekside Way, New Braunfels, TX 78130"
0,"$1,160 - 1,360",1-2 Beds,"241 Seville Dr, New Braunfels, TX 78130"
0,"$1,050 - 1,500",1-2 Beds,"575 E Torrey St, New Braunfels, TX 78130"
0,"$1,059 - 1,812",Studio - 3 Beds,"2980 Creek Bend Dr, New Braunfels, TX 78130"
