,price,rooms,address
0,"$1,622 - 4,635",Studio - 3 Beds,"201 Munson St, New Haven, CT 06511"
0,"$1,695 - 3,125",Studio - 2 Beds,"275 Winchester Ave, New Haven, CT 06511"
0,"$1,625 - 4,345",Studio - 3 Beds,"129 York St, New Haven, CT 06511"
0,"$1,725 - 3,000",Studio - 2 Beds,"152 Temple St, New Haven, CT 06510"
0,"$1,945 - 4,095",Studio - 2 Beds,"274 Crown St, New Haven, CT 06511"
0,"$2,243 - 3,790",Studio - 2 Beds,"9 Tower Ln, New Haven, CT 06519"
0,"$1,850 - 6,300",Studio - 4 Beds,"265 College St, New Haven, CT 06510"
0,"$1,675 - 2,750",1-3 Beds,"400 Blake St, New Haven, CT 06515"
0,"$1,840 - 6,450",Studio - 4 Beds,"32-38 High St, New Haven, CT 06510"
0,"$1,600 - 2,200",1-3 Beds,"1 Brewery Sq, New Haven, CT 06513"
0,"$2,012 - 5,885",Studio - 3 Beds,"360 State St, New Haven, CT 06510"
0,"$1,630 - 5,445",Studio - 3 Beds,"227 Church St, New Haven, CT 06510"
0,Call for Rent,2 Beds,"275 S Orange St, New Haven, CT 06510"
0,"$1,943 - 3,507",Studio - 2 Beds,"1245 Chapel St, New Haven, CT 06511"
0,"$2,090 - 13,701",Studio - 3 Beds,"1050 State St, New Haven, CT 06511"
0,"$2,185 - 19,343",Studio - 3 Beds,"335-367 Orange St, New Haven, CT 06511"
0,"$2,095 - 4,995",1-2 Beds,"703 Whitney Ave, New Haven, CT 06511"
0,"$2,095 - 4,395",Studio - 2 Beds,"18 High St, New Haven, CT 06511"
0,"$961 - 6,276",Studio - 4 Beds,"87 Union St, New Haven, CT 06511"
0,"$2,100 - 3,895",1-2 Beds,"98 Olive St, New Haven, CT 06511"
0,"$2,244 - 2,727",Studio - 2 Beds,"200 College St, New Haven, CT 06510"
0,"$2,120 - 5,301",Studio - 3 Beds,"630-673 Chapel St, New Haven, CT 06510"
0,"$2,600 - 3,095",2 Beds,"954-960 Chapel St, New Haven, CT 06510"
0,"$1,800 - 4,850",Studio - 2 Beds,"205 Church St, New Haven, CT 06510"
0,"$1,850 - 2,050",2 Beds,"283 Cooper Pl, New Haven, CT 06515"
0,"$1,349 - 1,882",Studio - 3 Beds,"216 Fountain St, New Haven, CT 06515"
0,"$1,738 - 2,237",Studio - 3 Beds,"278 Main St, West Haven, CT 06516"
0,"$1,294 - 1,410",Studio,"90 Gerrish Ave, East Haven, CT 06512"
0,"$2,200 - 2,350",1 Bed,"39 Church St, New Haven, CT 06510"
0,"$2,230 - 3,800",1-3 Beds,"100 Temple St, New Haven, CT 06510"
0,"$1,671",1 Bed,"99-115 Edgewood Ave, New Haven, CT 06511"
0,"$1,950 - 2,600",1-2 Beds,"900 Chapel St, New Haven, CT 06510"
0,"$1,475 - 2,209",1-2 Beds,"172 Diamond St, New Haven, CT 06515"
0,"$960 - 2,250",1-4 Beds,"430 Eastern St, New Haven, CT 06513"
0,"$1,465",Studio,"1199 Whitney Ave, Hamden, CT 06517"
0,"$1,376 - 1,568",Studio - 1 Bed,"510-520 Main St, East Haven, CT 06512"
0,"$1,900 - 3,394",1-3 Beds,"140 Mill St, East Haven, CT 06512"
0,"$1,500",2 Beds,"441 Coe Ave, East Haven, CT 06512"
0,"$700 - 1,550",4 Beds,"190 Pine Rock Ave, Hamden, CT 06514"
0,"$3,250",3 Beds,"New Haven, CT 06519"
