,price,rooms,address
0,"$2,725 - 4,728",Studio - 2 Beds,"600 North Ave, New Rochelle, NY 10801"
0,"$2,623 - 5,400",Studio - 3 Beds,"585 North Ave, New Rochelle, NY 10801"
0,"$2,160 - 4,865",Studio - 2 Beds,"325 Huguenot St, New Rochelle, NY 10801"
0,"$2,180 - 7,657",Studio - 3 Beds,"28 Division St, New Rochelle, NY 10801"
0,"$1,947 - 7,997",Studio - 3 Beds,"55 Clinton Pl, New Rochelle, NY 10801"
0,"$2,275 - 4,980",Studio - 2 Beds,"333 Huguenot St, New Rochelle, NY 10801"
0,"$1,910 - 4,104",Studio - 2 Beds,"10 Commerce Dr, New Rochelle, NY 10801"
0,"$2,130 - 4,050",Studio - 2 Beds,"20 Burling Ln, New Rochelle, NY 10801"
0,"$1,950 - 4,400",Studio - 2 Beds,"360 Huguenot St, New Rochelle, NY 10801"
0,"$1,950 - 2,825",Studio - 2 Beds,"25 Maple Ave, New Rochelle, NY 10801"
0,"$2,342 - 8,803",Studio - 3 Beds,"1 Shearwood Pl, New Rochelle, NY 10801"
0,"$1,835 - 5,805",Studio - 3 Beds,"40 Memorial Hwy, New Rochelle, NY 10801"
0,"$2,365 - 5,158",Studio - 2 Beds,"111 Centre Ave, New Rochelle, NY 10801"
0,"$2,270",1 Bed,"50 Lecount Pl, New Rochelle, NY 10801"
0,"$2,250 - 5,295",Studio - 2 Beds,"10-14 LeCount Pl, New Rochelle, NY 10801"
0,"$2,050 - 5,500",Studio - 3 Beds,"64 Centre Ave, New Rochelle, NY 10801"
0,"$1,649",Studio,"3 Davenport Ave, New Rochelle, NY 10805"
