,price,rooms,address
0,"$2,450 - 4,095",Studio - 2 Beds,"1100 Avalon Sq, Glen Cove, NY 11542"
0,"$1,850 - 2,425",Studio,"2010 Seagirt Blvd, Far Rockaway, NY 11691"
0,"$2,039 - 3,872",1-2 Beds,"1 Meadowoods Ln, Moriches, NY 11955"
0,"$2,979 - 8,374",1-3 Beds,"1 Village Grn, Patchogue, NY 11772"
0,"$2,395 - 3,110",1-2 Beds,"100 Terrace, Bayport, NY 11705"
0,"$2,330 - 3,870",Studio - 3 Beds,"1710 Devonshire Rd, Hauppauge, NY 11788"
0,"$2,612 - 3,683",1-3 Beds,"1220 Orchid Cir, Bellport, NY 11713"
0,"$2,629 - 7,739",Studio - 3 Beds,"10 Halletts Pt, Astoria, NY 11102"
0,"$3,399 - 10,000",Studio - 3 Beds,"695 Merrick Ave, Westbury, NY 11590"
0,"$2,495 - 4,095",Studio - 2 Beds,"75 E Hoffman Ave, Lindenhurst, NY 11757"
0,"$2,550 - 4,250",Studio - 2 Beds,"2930 Rockaway Ave, Oceanside, NY 11572"
0,"$3,060 - 5,025",1-2 Beds,"1515 Surf Ave, Brooklyn, NY 11224"
0,"$2,390 - 4,250",Studio - 3 Beds,"366 Broadway, Amityville, NY 11701"
0,"$2,954 - 6,081",1-3 Beds,"303 Arrowhead Ln, South Setauket, NY 11720"
0,"$1,960 - 4,673",Studio - 2 Beds,"300 Carleton Ave, Central Islip, NY 11722"
0,"$3,943 - 4,920",2-3 Beds,"201 Jerusalem Hollow Rd, Manorville, NY 11949"
0,"$2,740 - 3,825",1-2 Beds,"75 Circle Dr, Central Islip, NY 11722"
0,"$2,600 - 4,200",Studio - 2 Beds,"190 Beach 69th St, Arverne, NY 11692"
0,"$3,094 - 7,348",Studio - 3 Beds,"21 India St, Brooklyn, NY 11222"
0,"$2,395 - 3,650",Studio - 3 Beds,"605-625 Tulip Ave, Stewart Manor, NY 11530"
0,"$2,475 - 3,295",1-2 Beds,"2 Victorian Ct, Holtsville, NY 11742"
0,"$2,189 - 3,537",Studio - 2 Beds,"39 Piedmont Dr, Port Jefferson Station, NY 11776"
0,"$3,020 - 5,233",1-2 Beds,"600 Pine Hollow Rd, East Norwich, NY 11732"
0,"$2,305 - 2,455",1-2 Beds,"248 Lake Pointe Cir, Middle Island, NY 11953"
0,"$2,565 - 2,940",1-2 Beds,"44 Route 25A, Smithtown, NY 11787"
0,"$2,610 - 3,245",1-2 Beds,"9 Williams Blvd, Lake Grove, NY 11755"
0,"$1,999 - 3,350",Studio - 2 Beds,"153-30 89th Ave, Jamaica, NY 11432"
0,"$2,795 - 3,330",1-2 Beds,"1000 Saddle Rock Rd, Holbrook, NY 11741"
0,"$2,450 - 2,940",1-2 Beds,"203 Pinewoods Cres, Middle Island, NY 11953"
0,"$2,470 - 3,290",1-2 Beds,"161 Milligan Rd, West Babylon, NY 11704"
0,"$3,229 - 4,304",1-2 Beds,"201 W Broadway, Port Jefferson, NY 11777"
0,"$3,248 - 6,862",Studio - 2 Beds,"2959 Northern Blvd, Long Island City, NY 11101"
0,"$2,760 - 5,000",1-2 Beds,"119 Searing Ave, Mineola, NY 11501"
0,"$2,660 - 14,440",Studio - 3 Beds,"1000 Mill Rd, Ronkonkoma, NY 11779"
0,"$3,295 - 4,495",2 Beds,"300 Sutton Ct, Mount Sinai, NY 11766"
0,"$3,650 - 5,400",2-3 Beds,"510 Horseblock Rd, Farmingville, NY 11738"
0,"$4,400",2 Beds,"109 Comsewogue Rd, East Setauket, NY 11733"
0,Call for Rent,2 Beds,"Hollis, NY 11423"
0,"$3,400 - 7,220",Studio - 2 Beds,"180 Boardwalk, Long Beach, NY 11561"
0,"$2,520 - 5,965",Studio - 3 Beds,"143 4th Ave, Bay Shore, NY 11706"
