,price,rooms,address
0,"$4,395 - 11,405",1-3 Beds,"1000 San Joaquin Plz, Newport Beach, CA 92660"
0,"$2,625 - 4,275",1-3 Beds,"2345 Newport Blvd, Costa Mesa, CA 92627"
0,"$1,664 - 2,985",Studio - 2 Beds,"880 Irvine Ave, Newport Beach, CA 92663"
0,"$2,365 - 5,380",Studio - 3 Beds,"1 Park Newport, Newport Beach, CA 92660"
0,"$11,000 - 20,000",2-3 Beds,"2240 Newport Blvd, Newport Beach, CA 92663"
0,"$2,645 - 8,610",Studio - 3 Beds,"100 Vilaggio, Newport Beach, CA 92660"
0,"$2,495 - 2,995",1-2 Beds,"1691 Mesa Dr, Newport Beach, CA 92660"
0,"$3,265 - 8,625",1-2 Beds,"200 Promontory Dr W, Newport Beach, CA 92660"
0,"$4,995 - 8,500",2-3 Beds,"919 Bayside Dr, Newport Beach, CA 92660"
0,"$2,220 - 2,990",1-2 Beds,"21661 Brookhurst St, Huntington Beach, CA 92646"
0,"$3,463 - 4,275",2-3 Beds,"18880 Douglas, Irvine, CA 92612"
0,"$2,644 - 6,769",Studio - 2 Beds,"3301 Michelson Dr, Irvine, CA 92612"
0,"$2,270 - 3,728",1-3 Beds,"21551 Brookhurst St, Huntington Beach, CA 92646"
0,"$2,099 - 2,596",1-2 Beds,"1330 SE Bristol St, Costa Mesa, CA 92626"
0,"$2,111 - 7,769",Studio - 2 Beds,"635 W Baker St, Costa Mesa, CA 92626"
0,"$2,860 - 6,600",1-2 Beds,"1 White Cap Ln, Newport Beach, CA 92657"
0,"$3,795 - 8,845",1-2 Beds,"5100 Colony Plz, Newport Beach, CA 92660"
0,"$2,195 - 2,545",Studio - 1 Bed,"1433 Superior Ave, Newport Beach, CA 92663"
0,"$2,449 - 9,748",1-2 Beds,"1561 Mesa Dr, Newport Beach, CA 92660"
0,"$2,495 - 6,710",1-2 Beds,"100 Turtle Crest Dr, Irvine, CA 92603"
0,"$4,276 - 29,018",1-3 Beds,"401-405 Rockefeller, Irvine, CA 92612"
0,"$2,965 - 4,795",Studio - 3 Beds,"2300 DuPont Dr, Irvine, CA 92612"
0,"$2,668 - 4,823",Studio - 3 Beds,"125 Baker St E, Costa Mesa, CA 92626"
0,"$2,662 - 4,277",1-2 Beds,"1850 Whittier Ave, Costa Mesa, CA 92627"
0,"$2,340 - 6,975",Studio - 3 Beds,"25 Palatine Rd, Irvine, CA 92612"
0,"$2,185 - 3,218",Studio - 2 Beds,"35 Via Lucca, Irvine, CA 92612"
0,"$3,975 - 8,515",2-3 Beds,"1 Ambroise, Newport Beach, CA 92657"
0,"$2,940 - 6,705",1-2 Beds,"2500 Baypointe Dr, Newport Beach, CA 92660"
0,"$2,515 - 7,380",1-3 Beds,"2 Milano Dr, Newport Beach, CA 92660"
0,"$2,495 - 8,725",1-3 Beds,"1 Baywood Dr, Newport Beach, CA 92660"
0,"$2,799 - 14,731",Studio - 2 Beds,"4201 Jamboree Rd, Newport Beach, CA 92660"
0,"$2,235 - 2,550",Studio - 1 Bed,"126 E 18th St, Costa Mesa, CA 92627"
0,"$2,135 - 3,195",Studio - 2 Beds,"2000 Parsons St, Costa Mesa, CA 92627"
0,"$2,955 - 5,385",1-3 Beds,"1000 Elements Way, Irvine, CA 92612"
0,"$2,150 - 2,700",1-2 Beds,"9632 Hamilton Ave, Huntington Beach, CA 92646"
0,"$1,950 - 2,850",Studio - 2 Beds,"825 Center St, Costa Mesa, CA 92627"
0,"$2,095",1-3 Beds,"241 Avocado St, Costa Mesa, CA 92627"
0,"$2,300",1 Bed,"790 Hamilton St, Costa Mesa, CA 92627"
0,"$1,950 - 2,700",1-2 Beds,"2300 Fairview Rd, Costa Mesa, CA 92626"
0,"$1,626 - 2,106",1 Bed,"1939 Wallace Ave, Costa Mesa, CA 92627"
