,price,rooms,address
0,"$1,599 - 2,114",1-2 Beds,"3229 W Montague Ave, North Charleston, SC 29418"
0,"$1,675 - 2,175",1-2 Beds,"3812 W Montague Ave, North Charleston, SC 29418"
0,"$1,025 - 1,675",1-3 Beds,"1920 McMillan Ave, North Charleston, SC 29405"
0,"$1,305 - 2,234",1-3 Beds,"3311 Mountainbrook Ave, North Charleston, SC 29420"
0,"$1,428 - 3,901",1-3 Beds,"8251 Windsor Hill Blvd, North Charleston, SC 29420"
0,"$1,743 - 2,807",1-3 Beds,"211 Satori Way, Johns Island, SC 29455"
0,"$1,329 - 2,095",1-3 Beds,"1005 Sonoran Cir, Summerville, SC 29483"
0,"$1,555 - 1,999",1-3 Beds,"9000 Palm Passage Loop, Summerville, SC 29483"
0,"$1,690 - 3,252",1-2 Beds,"1100 Hampton Rivers Rd, Charleston, SC 29414"
0,"$1,590 - 2,940",Studio - 3 Beds,"3915 William E Murray Blvd, Charleston, SC 29414"
0,"$1,248 - 2,379",1-2 Beds,"1725-1755 Ashley Hall Rd, Charleston, SC 29407"
0,"$1,480 - 2,538",Studio - 3 Beds,"1000 Channel Marker Way, Charleston, SC 29410"
0,"$1,677 - 4,502",Studio - 3 Beds,"50 Central Island St, Daniel Island, SC 29492"
0,"$1,415 - 2,025",1-3 Beds,"3340 Shipley St, Ladson, SC 29456"
0,"$1,380 - 2,280",Studio - 3 Beds,"1110 Mason Pond Pl, Ladson, SC 29456"
0,"$1,525 - 5,270",Studio - 2 Beds,"55 Romney St, Charleston, SC 29403"
0,"$1,290 - 1,645",1-2 Beds,"8240 Windsor Hill Blvd, North Charleston, SC 29420"
0,"$1,689 - 7,365",1-3 Beds,"3000 Cypress Lake Rd, North Charleston, SC 29420"
0,"$1,493 - 2,271",Studio - 2 Beds,"2403 Mall Dr, North Charleston, SC 29406"
0,"$1,533 - 2,274",1-3 Beds,"2155 Morris Baker Blvd, North Charleston, SC 29406"
0,"$1,386 - 1,936",1-3 Beds,"8708 Evangeline Dr, North Charleston, SC 29420"
0,"$1,463 - 2,658",1-2 Beds,"4501 Mixson Ave, North Charleston, SC 29405"
0,"$1,227 - 2,220",2-3 Beds,"6520 Dorchester Rd, North Charleston, SC 29418"
0,"$1,419 - 2,314",1-3 Beds,"6880 Rivers Ave, North Charleston, SC 29406"
0,"$1,516 - 2,866",1-3 Beds,"1945 Hanahan Rd, North Charleston, SC 29406"
0,"$1,603 - 2,357",1-3 Beds,"1235 Ashley Gardens Blvd, Charleston, SC 29414"
0,"$1,680 - 4,680",Studio - 2 Beds,"511 Meeting St, Charleston, SC 29403"
0,"$1,378 - 5,583",Studio - 3 Beds,"1001 Linger Longer Dr, Summerville, SC 29483"
0,"$1,589 - 6,685",Studio - 3 Beds,"201 Sawyer Cir, Charleston, SC 29492"
0,"$1,840 - 8,106",1-3 Beds,"20 Romney St, Charleston, SC 29403"
0,"$1,350 - 2,505",Studio - 3 Beds,"9691 Patriot Blvd, Ladson, SC 29456"
0,"$1,714 - 3,700",Studio - 2 Beds,"202 Promenade Vista St, Charleston, SC 29412"
0,"$1,525 - 3,683",1-3 Beds,"50 Cheryl Ln, Summerville, SC 29483"
0,"$1,506 - 6,749",1-3 Beds,"3202 Coastal Grass Way, Charleston, SC 29414"
0,"$1,592 - 3,210",1-3 Beds,"161 Grand Oaks Dr, Charleston, SC 29492"
0,"$1,711 - 7,013",Studio - 3 Beds,"174 Overlook Point Pl, Charleston, SC 29492"
0,"$1,450 - 1,895",1-3 Beds,"1109 Giddings Way, Ladson, SC 29456"
0,"$1,439 - 2,263",1-3 Beds,"6000 Front St, Summerville, SC 29486"
0,"$1,564 - 2,331",1-3 Beds,"8400 Palmetto Commerce Pky, Ladson, SC 29456"
0,"$1,807 - 3,609",Studio - 2 Beds,"1310 Meeting Street Rd, Charleston, SC 29405"
