,price,rooms,address
0,"$1,679 - 2,525",1-3 Beds,"4145 Scott Robinson Blvd, North Las Vegas, NV 89032"
0,"$1,640 - 2,516",1-2 Beds,"7089 Aliante Pky, North Las Vegas, NV 89084"
0,"$1,620 - 2,793",1-3 Beds,"7618 N Decatur Blvd, North Las Vegas, NV 89084"
0,"$1,110 - 2,220",1-2 Beds,"4201 E Craig Rd, North Las Vegas, NV 89030"
0,"$1,389 - 2,403",1-3 Beds,"2929 E Centennial Pky, North Las Vegas, NV 89081"
0,"$1,400 - 1,800",1-3 Beds,"5800 W Charleston Blvd, Las Vegas, NV 89146"
0,"$725 - 1,450",Studio - 1 Bed,"211 N 8th St, Las Vegas, NV 89101"
0,"$1,814 - 2,984",2-3 Beds,"2705 N Rancho Dr, Las Vegas, NV 89130"
0,"$995 - 1,950",1-3 Beds,"6501 W Charleston Blvd, Las Vegas, NV 89146"
0,"$935 - 1,456",Studio - 1 Bed,"2121 N Jones Blvd, Las Vegas, NV 89108"
0,"$1,325 - 2,020",1-3 Beds,"4429 Lawerence St, North Las Vegas, NV 89081"
0,"$1,293 - 4,368",1-3 Beds,"3305 E Rome Blvd, North Las Vegas, NV 89086"
0,"$1,910 - 1,950",2-4 Beds,"5955 Nuevo Leon St, North Las Vegas, NV 89031"
0,"$1,549 - 3,238",1-3 Beds,"4555 Camino Al Norte, North Las Vegas, NV 89031"
0,"$1,253 - 2,469",1-3 Beds,"4249 N Commerce St, North Las Vegas, NV 89032"
0,"$1,333 - 3,303",1-2 Beds,"6300 McCarran St, North Las Vegas, NV 89081"
0,"$1,410 - 2,076",1-3 Beds,"1827 W Gowan Rd, North Las Vegas, NV 89032"
0,"$2,400 - 2,450",3 Beds,"3349 Lunar Sky St, North Las Vegas, NV 89032"
0,Call for Rent,1-2 Beds,"1237 W Alexander Rd, North Las Vegas, NV 89032"
0,"$895 - 1,145",1-2 Beds,"1755 Palm St, Las Vegas, NV 89104"
0,"$1,050 - 1,350",1-2 Beds,"3700 E Bonanza Rd, Las Vegas, NV 89110"
0,"$1,065 - 1,880",1-3 Beds,"5150 E Sahara Ave, Las Vegas, NV 89142"
0,"$1,124 - 1,583",1-2 Beds,"6661 Silverstream Ave, Las Vegas, NV 89107"
0,"$1,435 - 3,265",1-3 Beds,"5850 Sky Pointe Dr, Las Vegas, NV 89130"
0,"$915 - 1,415",1-3 Beds,"4870 Nellis Oasis Ln, Las Vegas, NV 89115"
0,"$750 - 1,435",Studio - 2 Beds,"5025 Nellis Oasis Ln, Las Vegas, NV 89115"
0,"$1,293 - 6,632",1-3 Beds,"3900 Dalecrest Dr, Las Vegas, NV 89129"
0,"$1,208 - 2,714",1-2 Beds,"1700 Alta Dr, Las Vegas, NV 89106"
0,"$1,445 - 6,290",1-3 Beds,"7350 W Centennial Pky, Las Vegas, NV 89131"
0,"$1,327 - 3,245",Studio - 2 Beds,"1501 Rock Springs Dr, Las Vegas, NV 89128"
0,"$1,589 - 4,347",Studio - 2 Beds,"250 S City Pky, Las Vegas, NV 89106"
0,"$1,115 - 2,649",Studio - 3 Beds,"2660 N Buffalo Dr, Las Vegas, NV 89128"
0,"$1,340 - 2,057",Studio - 2 Beds,"4480 Meadows Ln, Las Vegas, NV 89107"
0,"$1,415 - 2,175",1-2 Beds,"1230 Lindell Rd, Las Vegas, NV 89146"
0,"$1,255 - 2,065",Studio - 3 Beds,"1500 N Rainbow Blvd, Las Vegas, NV 89108"
0,"$1,315 - 1,460",2-3 Beds,"4450 Karen Ave, Las Vegas, NV 89121"
0,"$1,045 - 1,809",1-3 Beds,"4801 E Sahara Ave, Las Vegas, NV 89104"
0,"$1,311 - 1,849",1-3 Beds,"6300 W Lake Mead Blvd, Las Vegas, NV 89108"
0,"$1,274 - 3,147",Studio - 2 Beds,"2656 N Buffalo Dr, Las Vegas, NV 89128"
0,"$1,440 - 4,594",1-2 Beds,"250 Promenade Pl, Las Vegas, NV 89106"
