,price,rooms,address
0,"$1,099 - 1,914",1-3 Beds,"1000 Applerock Dr, O'Fallon, MO 63368"
0,"$1,350 - 2,600",1-3 Beds,"1100 Vogt Dr, Weldon Spring, MO 63304"
0,"$1,231 - 2,455",1-3 Beds,"100 Winghaven Pointe Dr, O'Fallon, MO 63368"
0,"$1,290 - 1,890",1-3 Beds,"1000 Crown Jewel Cir, O'Fallon, MO 63366"
0,"$2,349 - 2,649",2 Beds,"120 Biscayne Bay Pl, O'Fallon, MO 63366"
0,"$910 - 1,750",1-2 Beds,"200 Casalon Pky, O'Fallon, MO 63366"
0,"$1,169 - 1,799",1-3 Beds,"611 Vinings Blvd, O'Fallon, MO 63366"
0,"$1,315 - 1,785",1-2 Beds,"1000 Sullivans Way, Lake Saint Louis, MO 63367"
0,"$1,375 - 1,840",1-3 Beds,"6800 Lake Saint Louis Blvd, Lake Saint Louis, MO 63367"
0,"$1,410 - 3,512",1-3 Beds,"101 Lemon Dr, Lake Saint Louis, MO 63367"
0,"$1,429 - 2,525",1-3 Beds,"1000 Watermark Dr, O'Fallon, MO 63368"
0,"$1,300",2 Beds,"825 Sanchos Cir, Dardenne Prairie, MO 63368"
0,"$1,560 - 2,185",1-3 Beds,"1000 Bramblett Crossing, O'Fallon, MO 63366"
0,"$2,475 - 2,575",3 Beds,"307 Willow Manor Dr, O'Fallon, MO 63367"
0,"$1,267 - 2,112",1-3 Beds,"700 Mallards Way, O'Fallon, MO 63368"
0,"$1,276 - 3,468",1-3 Beds,"1 Prairie Pointe Dr, O'Fallon, MO 63368"
0,"$1,319 - 2,019",1-3 Beds,"941 Clubhouse Ln, O'Fallon, MO 63366"
0,"$2,375 - 2,700",3 Beds,"210 Dogwood Prairie Dr, Dardenne Prairie, MO 63368"
0,"$2,325 - 2,575",2-3 Beds,"102 Ripple Creek Dr, Lake Saint Louis, MO 63367"
0,"$1,325 - 1,815",1-2 Beds,"210 Dogwood Prairie Dr, Dardenne Prairie, MO 63368"
0,"$1,235 - 2,270",1-3 Beds,"1000 Fountain Grass Dr, Lake Saint Louis, MO 63367"
0,"$1,170 - 1,395",1-2 Beds,"1 Savannah Garden Dr, O'Fallon, MO 63366"
0,"$875 - 1,200",1-3 Beds,"1 Southernside Ln, O'Fallon, MO 63368"
0,$695,2 Beds,"4000 Rosewood Terrace Dr, O'Fallon, MO 63366"
0,"$1,375 - 4,000",1-3 Beds,"100 Big River Dr, Lake St Louis, MO 63367"
0,"$1,300 - 1,650",1-3 Beds,"800 Aventura Way, Saint Peters, MO 63376"
0,"$2,000",3 Beds,"O'Fallon, MO 63368"
