,price,rooms,address
0,"$987 - 1,187",1-2 Beds,"8401 Highway 191, Odessa, TX 79765"
0,"$1,216 - 2,418",Studio - 2 Beds,"4001 De Morada Dr, Odessa, TX 79765"
0,"$1,375 - 2,925",1-3 Beds,"6900 Cross B Rd, Odessa, TX 79765"
0,"$1,099 - 2,232",1-2 Beds,"4121 San Antonio St, Odessa, TX 79765"
0,"$539 - 1,598",1-2 Beds,"4000 N San Antonio St, Odessa, TX 79765"
0,"$915 - 1,335",1-3 Beds,"6501 Eastridge Rd, Odessa, TX 79762"
0,"$1,501 - 1,637",1-2 Beds,"7701 E Highway 191, Odessa, TX 79762"
0,"$875 - 1,800",1-3 Beds,"4900 E University Blvd, Odessa, TX 79762"
0,"$1,515 - 1,965",1-3 Beds,"2741 Faudree Rd, Odessa, TX 79765"
0,"$1,250 - 2,185",Studio - 2 Beds,"8225 Dorado Dr, Odessa, TX 79765"
0,"$925 - 1,925",1-2 Beds,"2828 E 11th St, Odessa, TX 79761"
0,"$875 - 1,550",1-2 Beds,"2201 Rocky Lane Rd, Odessa, TX 79762"
0,"$1,219 - 1,402",2-3 Beds,"1000 E Monahans St, Odessa, TX 79761"
0,"$1,280 - 2,665",1-3 Beds,"5075 E 52nd St, Odessa, TX 79762"
0,"$850 - 1,500",1-4 Beds,"1220 Adams Ave, Odessa, TX 79761"
0,"$1,281 - 5,770",1-3 Beds,"1808 S Tradewinds Blvd, Midland, TX 79706"
0,"$1,275 - 1,725",1-2 Beds,"600 Dotsy Ave, Odessa, TX 79763"
0,"$965 - 1,324",1-2 Beds,"3720 Tanglewood Ln, Odessa, TX 79762"
0,"$935 - 1,855",1-2 Beds,"3727 Andrews Hwy, Odessa, TX 79762"
0,"$1,423 - 2,111",1-2 Beds,"8001 Brownstone Rd, Odessa, TX 79765"
0,"$945 - 2,240",1-2 Beds,"3965 Penbrook St, Odessa, TX 79762"
0,"$1,050 - 1,749",1-2 Beds,"4136 E 52nd St, Odessa, TX 79762"
0,"$950 - 1,500",1-2 Beds,"6401 Eastridge Rd, Odessa, TX 79762"
0,"$1,090 - 1,739",1-3 Beds,"2735 E 8th St, Odessa, TX 79761"
0,"$925 - 1,200",1-2 Beds,"4641 Oakwood Dr, Odessa, TX 79761"
0,"$1,190 - 1,790",1-3 Beds,"6500 Eastridge Rd, Odessa, TX 79762"
0,"$875 - 1,069",1-2 Beds,"222 N Dixie Blvd, Odessa, TX 79761"
0,"$979 - 1,449",1-3 Beds,"3843 Penbrook St, Odessa, TX 79762"
0,"$850 - 1,200",1-2 Beds,"2100 E 10th St, Odessa, TX 79761"
0,"$2,800 /mo","3 Beds, 2 Baths","Odessa, TX 79761"
0,"$2,099 /mo","3 Beds, 2 Baths","Odessa, TX 79762"
