,price,rooms,address
0,"$1,300 - 1,700",1-2 Beds,"4400 Washington Blvd, Ogden, UT 84403"
0,"$1,115 - 1,775",Studio - 2 Beds,"3697 S Riverdale Rd, Ogden, UT 84405"
0,"$1,500 - 1,700",1-2 Beds,"1060 12th St, Ogden, UT 84404"
0,"$1,580 - 1,915",1-3 Beds,"811 W 1340 N, Ogden, UT 84404"
0,"$1,099 - 1,995",Studio - 2 Beds,"2510 Washington Blvd, Ogden, UT 84401"
0,"$1,169 - 2,049",1-3 Beds,"250 W 1680 S, Ogden, UT 84404"
0,"$1,299 - 2,250",1-3 Beds,"2270 S 1100 West, West Haven, UT 84401"
0,"$1,599 - 1,775",1-3 Beds,"111 E 2250 N, North Ogden, UT 84414"
0,"$1,199 - 1,765",1-3 Beds,"1801 W 4650 S, Roy, UT 84067"
0,"$1,209 - 1,549",1-2 Beds,"487 Second St, Ogden, UT 84404"
0,"$1,249 - 1,429",1-2 Beds,"2860 Wall Ave, Ogden, UT 84401"
0,"$1,276 - 3,387",1-3 Beds,"381 N Washington Blvd, Ogden, UT 84404"
0,"$1,305 - 2,500",1-3 Beds,"6019 S Wasatch Dr, Ogden, UT 84403"
0,"$1,505",2 Beds,"2405 Hinckley Dr, West Haven, UT 84401"
0,"$1,995 - 2,375",3 Beds,"2379 W 3300 S, West Haven, UT 84401"
0,"$1,445 - 1,465",1-3 Beds,"3560 S Midland Dr, West Haven, UT 84401"
0,"$1,350 - 1,950",1-3 Beds,"1575 W Riverwalk Dr, West Haven, UT 84401"
0,"$1,280 - 1,487",2-3 Beds,"710 N Washington Blvd, Ogden, UT 84404"
0,"$1,185 - 1,377",1-2 Beds,"1775 W 4800 S, Roy, UT 84067"
0,"$1,550 - 2,052",1-3 Beds,"6045 S Ridgeline Dr, Ogden, UT 84405"
0,"$1,027 - 1,307",1-2 Beds,"3415 Harrison Blvd, Ogden, UT 84403"
0,"$1,178 - 3,555",Studio - 3 Beds,"2155 Grant Ave, Ogden, UT 84401"
0,"$1,239 - 1,599",1-2 Beds,"2276 Washington Blvd, Ogden, UT 84401"
0,"$999 - 1,800",Studio - 2 Beds,"955 Country Hills Dr, Ogden, UT 84403"
0,"$1,137 - 1,590",2-3 Beds,"1148 W Spring Valley Ln, Ogden, UT 84404"
0,"$1,875 - 2,075",2-3 Beds,"1630 W 2000 S, West Haven, UT 84401"
0,"$1,317",2 Beds,"4950 S 350 E, Washington Terrace, UT 84405"
0,"$1,985 - 2,115",2-3 Beds,"1684 W 1960 S, West Haven, UT 84401"
0,"$1,168 - 1,781",2-3 Beds,"2265 S 1100 W, West Haven, UT 84401"
0,"$1,924 - 2,599",1-3 Beds,"314 Park Ave, Ogden, UT 84401"
0,"$1,940 - 2,299",1-2 Beds,"4010 Adams Ave, Ogden, UT 84403"
0,"$1,380 - 1,599",2 Beds,"2703 Washington Blvd, Ogden, UT 84401"
0,"$1,250 - 1,455",2 Beds,"1258 Grant Ave, Ogden, UT 84404"
0,"$1,075 - 1,292",1-2 Beds,"525 Park Blvd, Ogden, UT 84401"
0,"$1,161 - 1,618",1-3 Beds,"1685 Wall Ave, Ogden, UT 84404"
0,"$1,675 - 2,050",1-3 Beds,"4499 S 1900 West, Roy, UT 84067"
0,"$1,749 - 1,799",3 Beds,"2100 North Highway 89 Highway, Harrisville, UT 84404"
0,"$1,095 - 1,195",1 Bed,"5785 Wasatch Dr, South Ogden, UT 84403"
0,"$1,374 - 1,599",1-2 Beds,"231 W 12TH St, Ogden, UT 84404"
0,"$1,259 - 2,061",1-3 Beds,"283 Park Blvd, Ogden, UT 84401"
