,price,rooms,address
0,"$1,210 - 3,123",1-3 Beds,"3916 NW 164th St, Oklahoma City, OK 73013"
0,"$1,015 - 1,497",1-3 Beds,"605 SW 119th St, Oklahoma City, OK 73170"
0,"$1,280 - 3,250",Studio - 2 Beds,"500 W Main St, Oklahoma City, OK 73102"
0,"$635 - 1,680",1-3 Beds,"12401-12401 N MacArthur Blvd, Oklahoma City, OK 73142"
0,"$1,710 - 12,925",Studio - 3 Beds,"140 N Park Ave, Oklahoma City, OK 73102"
0,"$1,190 - 1,750",1-3 Beds,"6929 S Sooner Rd, Oklahoma City, OK 73135"
0,"$1,060 - 1,520",Studio - 2 Beds,"4545 N Lincoln Blvd, Oklahoma City, OK 73105"
0,"$1,090 - 2,510",Studio - 3 Beds,"8500 N Oklahoma Ave, Oklahoma City, OK 73114"
0,"$1,475 - 2,401",1-3 Beds,"2145 Watermark Blvd, Oklahoma City, OK 73134"
0,"$950 - 1,170",1-2 Beds,"11239 N Pennsylvania Ave, Oklahoma City, OK 73120"
0,"$815 - 1,750",1-4 Beds,"8501 Candlewood Dr, Oklahoma City, OK 73132"
0,"$1,020 - 2,288",Studio - 2 Beds,"700 NW 4th St, Oklahoma City, OK 73102"
0,"$799 - 1,149",1-3 Beds,"701 E Wilshire Blvd, Oklahoma City, OK 73105"
0,"$900 - 1,800",Studio - 2 Beds,"200 N Harvey Ave, Oklahoma City, OK 73102"
0,"$784 - 1,449",1-3 Beds,"4396 NW 36th St, Oklahoma City, OK 73112"
0,"$899 - 1,129",1-2 Beds,"1209 W Hefner Rd, Oklahoma City, OK 73114"
0,"$1,099 - 1,699",1-3 Beds,"11141 Springhollow Rd, Oklahoma City, OK 73120"
0,"$850 - 1,080",1-2 Beds,"700 NE 122nd St, Oklahoma City, OK 73114"
0,"$804 - 1,624",Studio - 3 Beds,"12601-12701 N Pennsylvania Ave, Oklahoma City, OK 73120"
0,"$890 - 1,315",1-2 Beds,"900 NE 122nd St, Oklahoma City, OK 73114"
0,"$916 - 2,000",Studio - 3 Beds,"13331 N Macarthur Blvd, Oklahoma City, OK 73142"
0,"$1,558 - 2,200",1-2 Beds,"14201 N Kentucky Ave, Oklahoma City, OK 73134"
0,"$895 - 1,285",1-2 Beds,"5924 SW 12th St, Oklahoma City, OK 73128"
0,"$1,213 - 2,301",1-3 Beds,"2600 Watermark Blvd, Oklahoma City, OK 73134"
0,"$724 - 1,124",1-2 Beds,"408 Summit Ridge Dr, Oklahoma City, OK 73114"
0,"$1,034 - 2,995",Studio - 3 Beds,"800 N Oklahoma Ave, Oklahoma City, OK 73104"
0,"$900 - 1,665",Studio - 3 Beds,"13600 N Blackwelder Ave, Oklahoma City, OK 73120"
0,"$1,119 - 1,927",1-3 Beds,"4800 E Interstate 240 Service Rd, Oklahoma City, OK 73135"
0,"$1,070 - 2,916",Studio - 3 Beds,"835 W Sheridan Ave, Oklahoma City, OK 73106"
0,"$1,080 - 1,765",1-2 Beds,"15400 Lone Oak Rd, Oklahoma City, OK 73013"
0,"$1,800 - 6,450",1-3 Beds,"1305 N Classen Dr, Oklahoma City, OK 73103"
0,"$1,300 - 2,850",1-3 Beds,"1701 N Classen Blvd, Oklahoma City, OK 73106"
0,"$1,470 - 4,175",2 Beds,"2200 N Classen Blvd, Oklahoma City, OK 73106"
0,"$720 - 1,204",1-2 Beds,"8114 W Britton Rd, Oklahoma City, OK 73132"
0,"$664 - 1,049",1-2 Beds,"5577 NW 50th St, Oklahoma City, OK 73122"
0,"$1,125 - 2,200",1-3 Beds,"601 Robert S Kerr Ave, Oklahoma City, OK 73102"
0,"$699 - 1,050",1-2 Beds,"6401 N Warren Ave, Oklahoma City, OK 73116"
0,"$709 - 1,119",1-2 Beds,"4200 N Meridian Ave, Oklahoma City, OK 73112"
0,"$985 - 1,499",1-3 Beds,"3131 SW 89th St, Oklahoma City, OK 73159"
0,"$820 - 1,065",1-2 Beds,"5113 N Brookline Ave, Oklahoma City, OK 73112"
