,price,rooms,address
0,"$1,375 - 2,595",1-3 Beds,"12840 S Black Bob Rd, Olathe, KS 66062"
0,"$1,513 - 3,228",1-2 Beds,"8875 Maurer Ct, Lenexa, KS 66219"
0,"$975 - 3,239",1-3 Beds,"6705 W 141st St, Overland Park, KS 66223"
0,"$1,329 - 2,464",1-3 Beds,"11228 S Ridgeview Rd, Olathe, KS 66061"
0,"$1,595 - 1,995",2-3 Beds,"12500-12522 S Constance St, Olathe, KS 66062"
0,"$906 - 1,342",1-2 Beds,"12251-12289 S Strang Line Rd, Olathe, KS 66062"
0,"$1,489 - 2,865",1-2 Beds,"11691 S Ridgeview Rd, Olathe, KS 66051"
0,"$1,487 - 3,013",1-3 Beds,"12100 S Pflumm Rd, Olathe, KS 66062"
0,"$1,402 - 5,261",1-2 Beds,"8900 Maurer Ct, Lenexa, KS 66219"
0,"$1,200 - 3,233",Studio - 3 Beds,"10401 College Blvd, Overland Park, KS 66210"
0,"$1,161 - 3,632",1-3 Beds,"13220 Foster St, Overland Park, KS 66213"
0,"$1,313 - 3,963",1-3 Beds,"13331 Hauser St, Overland Park, KS 66213"
0,"$1,171 - 2,353",Studio - 2 Beds,"11501 W 81st St, Lenexa, KS 66215"
0,"$1,850 - 2,350",2-3 Beds,"15100 Lamar Ave, Overland Park, KS 66223"
0,"$1,569 - 2,905",1-3 Beds,"10925 Hauser St, Lenexa, KS 66210"
0,"$975 - 1,335",1-2 Beds,"12100 Willow Ln, Overland Park, KS 66213"
0,"$1,093 - 2,401",1-3 Beds,"8500 W 131st Pl, Overland Park, KS 66213"
0,"$1,452 - 3,355",1-3 Beds,"11001 W 133rd Ter, Overland Park, KS 66213"
0,"$980 - 1,435",1-3 Beds,"7171 W 115th St, Overland Park, KS 66210"
0,"$1,310 - 4,008",1-3 Beds,"11810 Farley St, Overland Park, KS 66210"
0,"$1,375 - 2,089",Studio - 3 Beds,"19501 W 102nd St, Lenexa, KS 66220"
0,"$1,083 - 1,650",1-2 Beds,"11846 Perry St, Overland Park, KS 66210"
0,"$1,279 - 3,172",1-3 Beds,"10460 Pflumm Rd, Lenexa, KS 66215"
0,"$1,315 - 2,250",1-3 Beds,"5750 W 137th St, Overland Park, KS 66223"
0,"$995 - 1,593",1-2 Beds,"11700 Stearns St, Overland Park, KS 66210"
0,"$1,396 - 2,259",1-3 Beds,"14631 Broadmoor St, Overland Park, KS 66223"
0,"$1,147 - 2,568",1-3 Beds,"13590 Earnshaw, Overland Park, KS 66221"
0,"$1,095 - 2,495",1-3 Beds,"9800 W 118th St, Overland Park, KS 66210"
0,"$1,672 - 2,417",1-3 Beds,"6801 W 138th Ter, Overland Park, KS 66223"
