,price,rooms,address
0,"$2,042 - 4,019",Studio - 3 Beds,"1900 E Inland Empire Blvd, Ontario, CA 91764"
0,"$2,609 - 4,999",1-3 Beds,"9350 The Resort Pky, Rancho Cucamonga, CA 91730"
0,"$2,240 - 3,320",1-3 Beds,"1056 E Philadelphia St, Ontario, CA 91761"
0,"$2,072 - 4,106",1-3 Beds,"2615 E Date Palm Paseos, Ontario, CA 91764"
0,"$2,046 - 4,100",1-2 Beds,"3303 S Archibald Ave, Ontario, CA 91761"
0,"$1,675 - 1,950",1-2 Beds,"154 N Palmetto Ave, Ontario, CA 91762"
0,"$2,050 - 3,020",1-2 Beds,"2550 E Riverside Dr, Ontario, CA 91761"
0,"$1,695 - 2,280",Studio - 2 Beds,"1539 W 7th St, Upland, CA 91786"
0,"$1,675 - 1,995",1-2 Beds,"11902 Central Ave, Chino, CA 91710"
0,"$2,175 - 2,945",1-3 Beds,"1265 E 9th St, Upland, CA 91786"
0,"$2,106 - 5,019",1-3 Beds,"11100 4th St, Rancho Cucamonga, CA 91730"
0,"$2,295 - 2,925",1-2 Beds,"8950 Arrow Route Rt, Rancho Cucamonga, CA 91730"
0,"$2,223 - 2,700",1-2 Beds,"1001 W Mission Blvd, Ontario, CA 91762"
0,"$2,850 - 3,250",2-3 Beds,"1625 E G St, Ontario, CA 91764"
0,"$2,190 - 3,430",1-2 Beds,"11838 Central Ave, Chino, CA 91710"
0,"$2,075 - 3,485",1-2 Beds,"11475 Central Ave, Chino, CA 91710"
0,"$2,115 - 2,265",2 Beds,"1790 W Arrow Rt, Upland, CA 91786"
0,"$2,195 - 2,910",1-2 Beds,"3364 Honeybrook, Ontario, CA 91761"
0,"$1,930 - 2,870",1-3 Beds,"1352 W 5th St, Ontario, CA 91762"
0,"$2,020 - 2,535",1-2 Beds,"850 N Center Ave, Ontario, CA 91764"
0,"$2,025 - 2,295",1-2 Beds,"451 E Riverside Dr, Ontario, CA 91761"
0,"$1,831 - 2,245",1-3 Beds,"1900 S Campus Ave, Ontario, CA 91761"
0,"$2,480 - 2,800",2 Beds,"5775 Riverside Dr, Chino, CA 91710"
0,"$2,045 - 2,750",1-2 Beds,"276 S Benson Ave, Upland, CA 91786"
0,"$2,587 - 3,830",1-3 Beds,"5464 W Homecoming Cir, Eastvale, CA 91752"
0,"$2,074 - 3,051",Studio - 2 Beds,"9400 Fairway View Pl, Rancho Cucamonga, CA 91730"
0,"$2,302 - 4,597",2-3 Beds,"8250 Vineyard Ave, Rancho Cucamonga, CA 91730"
0,"$1,895 - 2,350",1-2 Beds,"1040 W 7th St, Upland, CA 91786"
0,"$2,161 - 2,762",1-3 Beds,"11210 4th St, Rancho Cucamonga, CA 91730"
0,"$3,100 - 3,400",3-4 Beds,"8450 Carson Pl, Rancho Cucamonga, CA 91730"
0,"$2,037 - 7,499",1-2 Beds,"8255 Vineyard Ave, Rancho Cucamonga, CA 91730"
0,"$1,790 - 2,020",Studio - 2 Beds,"1413 San Bernardino Rd, Upland, CA 91786"
0,"$2,015 - 3,505",1-3 Beds,"9200 Milliken Ave, Rancho Cucamonga, CA 91730"
0,"$1,750 - 2,277",1-3 Beds,"408 W G St, Ontario, CA 91762"
0,"$1,910 - 2,175",Studio - 2 Beds,"1256 W Arrow Hwy, Upland, CA 91786"
0,"$2,025 - 2,495",1-2 Beds,"619 E Riverside Dr, Ontario, CA 91761"
0,"$2,024 - 5,477",1-2 Beds,"551 E Riverside Dr, Ontario, CA 91761"
0,"$2,396 - 2,870",1-3 Beds,"955 N Duesenberg Dr, Ontario, CA 91764"
0,"$2,343 - 6,669",1-3 Beds,"3410 E Fourth St, Ontario, CA 91764"
0,"$2,100 - 2,445",1-2 Beds,"910 W Phillips St, Ontario, CA 91762"
