,price,rooms,address
0,"$2,475 - 3,850",Studio - 2 Beds,"2727 N Mainplace Dr, Santa Ana, CA 92705"
0,"$2,445 - 3,745",1-2 Beds,"3530-3560 E La Palma Ave, Anaheim, CA 92806"
0,"$1,999 - 2,999",Studio - 2 Beds,"2414 N Tustin Ave, Santa Ana, CA 92705"
0,"$2,595 - 5,085",Studio - 3 Beds,"850 W Town And Country Rd, Orange, CA 92868"
0,"$2,530 - 5,875",Studio - 3 Beds,"1000 W Town And Country Rd, Orange, CA 92868"
0,"$1,980 - 3,126",Studio - 2 Beds,"200 City Blvd W, Orange, CA 92868"
0,"$1,943 - 2,830",Studio - 2 Beds,"175 N Feldner Rd, Orange, CA 92868"
0,"$2,295 - 6,150",Studio - 2 Beds,"299 N State College Blvd, Orange, CA 92868"
0,"$2,240 - 3,320",Studio - 2 Beds,"1725 S Auburn Way, Anaheim, CA 92805"
0,"$2,676 - 3,833",Studio - 3 Beds,"1921 Union St, Anaheim, CA 92805"
0,"$2,542 - 6,785",Studio - 3 Beds,"1912 S Jacaranda St, Anaheim, CA 92805"
0,"$2,409 - 4,235",Studio - 2 Beds,"1815 S Westside Dr, Anaheim, CA 92805"
0,"$1,934 - 3,233",Studio - 2 Beds,"12091-12156 Bayport St, Garden Grove, CA 92840"
0,"$2,335 - 2,915",1-2 Beds,"12851 Haster St, Garden Grove, CA 92840"
0,"$2,295 - 2,795",1-2 Beds,"2900 E Lincoln Ave, Anaheim, CA 92806"
0,"$2,745 - 3,880",1-2 Beds,"2100 E Katella Ave, Anaheim, CA 92806"
0,"$2,249 - 3,812",Studio - 3 Beds,"1910 S Union St, Anaheim, CA 92805"
0,"$2,518 - 5,589",Studio - 3 Beds,"385 S Manchester Ave, Orange, CA 92868"
0,"$2,230 - 3,315",1-2 Beds,"1201 E Fairhaven Ave, Santa Ana, CA 92705"
0,Call for Rent,2 Beds,"1844 E Fairway Dr, Orange, CA 92866"
0,"$2,275 - 2,795",1-2 Beds,"2960-2965 E Jackson Ave, Anaheim, CA 92806"
0,Call for Rent,Studio - 2 Beds,"1331 E Katella Ave, Anaheim, CA 92805"
0,"$2,510 - 3,615",Studio - 3 Beds,"2211 E Orangewood Ave, Anaheim, CA 92806"
0,"$2,600",2 Beds,"2045 S Haster St, Anaheim, CA 92802"
0,"$2,156 - 3,231",1-3 Beds,"2002 E Santa Clara Ave, Santa Ana, CA 92705"
0,"$1,790 - 2,615",1-2 Beds,"12777 Garden Grove Blvd, Garden Grove, CA 92843"
0,"$1,765 - 3,015",Studio - 2 Beds,"2301 E Ball Rd, Anaheim, CA 92806"
0,"$2,730 - 3,615",1-3 Beds,"1491 N Glassell St, Orange, CA 92867"
0,"$3,110 - 3,210",2 Beds,"501 E Katella Ave, Orange, CA 92867"
0,"$2,695 - 2,950",2 Beds,"201 N Wayfield St, Orange, CA 92867"
0,"$2,195 - 2,630",1-2 Beds,"2170 S Harbor Blvd, Anaheim, CA 92802"
0,"$1,999 - 2,580",1-2 Beds,"2841 E Lincoln Ave, Anaheim, CA 92806"
0,"$2,098 - 2,525",1-2 Beds,"450 N Armando St, Anaheim, CA 92806"
0,"$1,840 - 2,495",Studio - 2 Beds,"12621-12661 Lewis St, Garden Grove, CA 92840"
0,Call for Rent,Studio - 3 Beds,"1781 S Campton Ave, Anaheim, CA 92805"
0,Call for Rent,Studio - 2 Beds,"1105 E Katella Ave, Anaheim, CA 92805"
0,"$2,285 - 2,870",1-2 Beds,"138 E Briardale Ave, Orange, CA 92865"
0,"$2,383 - 5,464",Studio - 2 Beds,"1110 W Town and Country Rd, Orange, CA 92868"
0,Call for Rent,Studio - 2 Beds,"3099 W Chapman Ave, Orange, CA 92868"
0,"$3,308",Studio - 3 Beds,"1055 W Town And Country Rd, Orange, CA 92868"
