,price,rooms,address
0,"$975 - 3,239",1-3 Beds,"6705 W 141st St, Overland Park, KS 66223"
0,"$1,405 - 1,989",1-2 Beds,"3815 Somerset Dr, Prairie Village, KS 66208"
0,"$1,513 - 3,228",1-2 Beds,"8875 Maurer Ct, Lenexa, KS 66219"
0,"$1,375 - 2,595",1-3 Beds,"12840 S Black Bob Rd, Olathe, KS 66062"
0,"$810 - 1,647",1-2 Beds,"201 W 99th Ter, Kansas City, MO 64114"
0,"$995 - 2,055",Studio - 2 Beds,"7200 Eby Ave, Merriam, KS 66204"
0,"$807 - 3,027",1-2 Beds,"3808 Booth St 2, Kansas City, KS 66103"
0,"$1,672 - 2,417",1-3 Beds,"6801 W 138th Ter, Overland Park, KS 66223"
0,"$1,151 - 2,371",1-3 Beds,"7100-7200 W 141st St, Overland Park, KS 66223"
0,"$1,140 - 1,535",1-2 Beds,"9251 W 121st Pl, Overland Park, KS 66213"
0,"$1,430 - 3,310",1-2 Beds,"8961 Metcalf Ave, Overland Park, KS 66212"
0,"$1,580 - 2,532",1-2 Beds,"7201 W 80th St, Overland Park, KS 66204"
0,"$1,341 - 2,928",Studio - 3 Beds,"11450 Lamar Ave, Overland Park, KS 66211"
0,"$1,200 - 3,233",Studio - 3 Beds,"10401 College Blvd, Overland Park, KS 66210"
0,"$1,161 - 3,632",1-3 Beds,"13220 Foster St, Overland Park, KS 66213"
0,"$1,313 - 3,963",1-3 Beds,"13331 Hauser St, Overland Park, KS 66213"
0,"$1,442 - 3,530",1-3 Beds,"11201 Outlook St, Overland Park, KS 66211"
0,$950,Studio - 2 Beds,"6300 W 110th St, Overland Park, KS 66211"
0,"$1,850 - 2,350",2-3 Beds,"15100 Lamar Ave, Overland Park, KS 66223"
0,"$1,775 - 2,250",2 Beds,"9550 Ash St, Overland Park, KS 66207"
0,"$1,500 - 2,025",1-3 Beds,"6233 W 120th St, Overland Park, KS 66209"
0,"$975 - 1,335",1-2 Beds,"12100 Willow Ln, Overland Park, KS 66213"
0,"$1,093 - 2,401",1-3 Beds,"8500 W 131st Pl, Overland Park, KS 66213"
0,"$1,452 - 3,355",1-3 Beds,"11001 W 133rd Ter, Overland Park, KS 66213"
0,"$870 - 1,550",1-3 Beds,"6500 W 91st St, Overland Park, KS 66212"
0,"$980 - 1,435",1-3 Beds,"7171 W 115th St, Overland Park, KS 66210"
0,"$975 - 1,650",1-2 Beds,"7843 Riley St, Overland Park, KS 66204"
0,"$1,310 - 4,008",1-3 Beds,"11810 Farley St, Overland Park, KS 66210"
0,"$1,083 - 1,650",1-2 Beds,"11846 Perry St, Overland Park, KS 66210"
0,"$1,022 - 2,084",1-3 Beds,"8100 Perry St, Overland Park, KS 66204"
0,"$1,315 - 2,250",1-3 Beds,"5750 W 137th St, Overland Park, KS 66223"
0,"$1,575",1-3 Beds,"9130 Riggs Ln, Overland Park, KS 66212"
0,"$995 - 1,593",1-2 Beds,"11700 Stearns St, Overland Park, KS 66210"
0,"$1,396 - 2,259",1-3 Beds,"14631 Broadmoor St, Overland Park, KS 66223"
0,"$1,147 - 2,568",1-3 Beds,"13590 Earnshaw, Overland Park, KS 66221"
0,"$1,095 - 2,495",1-3 Beds,"9800 W 118th St, Overland Park, KS 66210"
0,"$1,295",2 Beds,"6009-6013 W King St, Shawnee, KS 66203"
0,"$1,358 - 2,910",1-3 Beds,"8401 Renner Blvd, Lenexa, KS 66219"
0,"$1,025 - 1,600",1-3 Beds,"9670 Halsey St, Lenexa, KS 66215"
0,"$815 - 1,275",1-3 Beds,"1100-1156 County Line Rd, Kansas City, KS 66103"
