,price,rooms,address
0,"$1,460 - 2,647",1-3 Beds,"205 Valor Dr SE, Palm Bay, FL 32907"
0,"$1,240 - 1,890",1-3 Beds,"1700 Woodlake Dr NE, Palm Bay, FL 32905"
0,"$1,609 - 2,799",1-3 Beds,"102 Ascend Cir, West Melbourne, FL 32904"
0,"$1,530 - 3,742",1-3 Beds,"145 Cinnamon Cove Dr, Melbourne, FL 32901"
0,"$1,498 - 5,487",1-3 Beds,"4315 S Babcock St, Melbourne, FL 32901"
0,"$1,377 - 2,267",1-3 Beds,"2331 Commerce Park Dr NE, Palm Bay, FL 32905"
0,"$1,278 - 1,875",1-3 Beds,"1880 Mogra Circle NE, Palm Bay, FL 32905"
0,"$1,315 - 1,990",1-3 Beds,"1000 Palm Place Dr NE, Palm Bay, FL 32905"
0,"$1,300 - 2,000",1-3 Beds,"484 Mercury Ave SE, Palm Bay, FL 32909"
0,"$1,634 - 2,696",1-3 Beds,"2155 Robert J Conlan Blvd NE, Palm Bay, FL 32905"
0,"$1,599 - 2,200",1-3 Beds,"1205 Jaslo St, Palm Bay, FL 32909"
0,"$1,035 - 1,576",Studio - 1 Bed,"4700 NE Dixie Hwy, Palm Bay, FL 32905"
0,"$1,303 - 2,346",1-3 Beds,"4152 Merrillville Dr, West Melbourne, FL 32904"
0,"$1,223 - 3,096",Studio - 3 Beds,"333 Lake in the Woods Dr, Melbourne, FL 32901"
0,"$1,360 - 1,752",1-2 Beds,"3595 Misty Oak Dr, Melbourne, FL 32901"
0,"$1,666 - 2,147",1-3 Beds,"4550 Explorer Dr, Melbourne, FL 32904"
0,"$1,775 - 1,813",2 Beds,"695 Short Hills Ln, Melbourne, FL 32905"
0,"$1,419 - 2,769",1-3 Beds,"110 Sagecrest Cir, West Melbourne, FL 32904"
0,"$1,495 - 2,019",1-3 Beds,"4714 Crosswind Ct, Melbourne, FL 32904"
0,"$1,395 - 2,840",1-3 Beds,"500 SW Malabar Rd, Palm Bay, FL 32907"
0,"$2,030 - 2,840",3-5 Beds,"3661 Verdi Cir SE, Palm Bay, FL 32909"
0,"$1,293 - 3,073",1-2 Beds,"1018 NE Malabar Lakes Dr, Palm Bay, FL 32905"
0,"$1,189 - 3,215",1-3 Beds,"3350 Wedgewood Dr NE, Palm Bay, FL 32905"
0,"$895 - 1,345",Studio - 2 Beds,"210 Interchange Dr NE, Palm Bay, FL 32907"
0,"$895 - 1,345",Studio - 2 Beds,"1530 NE Windwood Dr, Palm Bay, FL 32905"
0,"$920 - 1,260",1-3 Beds,"1200 SE Hadley Cir, Palm Bay, FL 32909"
0,"$1,391 - 2,105",1-3 Beds,"918 Aventine Dr, West Melbourne, FL 32904"
0,"$1,150 - 1,415",1-2 Beds,"248 E University Blvd, Melbourne, FL 32901"
0,"$1,149 - 1,586",1-2 Beds,"1245 Palm Bay Rd, Melbourne, FL 32905"
0,"$1,390 - 1,645",1-2 Beds,"100-500 Larch Cir NE, Palm Bay, FL 32905"
0,"$1,083 - 1,233",1 Bed,"1635 NE Monterey Dr, Palm Bay, FL 32905"
0,"$1,200 - 1,900",2 Beds,"1923 Pinewood Dr NE, Palm Bay, FL 32905"
0,"$1,550 - 1,750",2 Beds,"151 Eber Rd, Melbourne, FL 32901"
0,"$1,225 - 1,450",1-2 Beds,"325 E University Blvd, Melbourne, FL 32901"
0,"$1,280 - 1,650",1-3 Beds,"1501 Harvard Cir, Melbourne, FL 32905"
