,price,rooms,address
0,"$1,275 - 1,750",1-3 Beds,"3295 Casey Dr, Las Vegas, NV 89120"
0,"$1,099 - 1,399",1-2 Beds,"3200 Mcleod Dr, Las Vegas, NV 89121"
0,"$1,181 - 1,788",1-3 Beds,"3850 Mountain Vista St, Las Vegas, NV 89121"
0,"$1,205 - 1,720",1-2 Beds,"3275 E Flamingo Rd, Las Vegas, NV 89121"
0,"$1,175 - 1,974",1-3 Beds,"4455 E Twain Ave, Las Vegas, NV 89121"
0,"$1,100 - 1,700",1-3 Beds,"3900 E Sunset Rd, Las Vegas, NV 89120"
0,"$1,214 - 2,511",1-2 Beds,"4800 E Tropicana Ave, Las Vegas, NV 89121"
0,"$950 - 1,725",1-3 Beds,"3950 Mountain Vista St, Las Vegas, NV 89121"
0,"$1,600",2 Beds,"6335 Annie Oakley Dr, Las Vegas, NV 89120"
0,"$1,209 - 2,032",1-3 Beds,"5325 E Tropicana Ave, Las Vegas, NV 89122"
0,"$1,610 - 2,026",2-3 Beds,"3000 High View Dr, Henderson, NV 89014"
0,"$1,219 - 3,237",1-3 Beds,"6530 Annie Oakley Dr, Henderson, NV 89014"
0,"$945 - 1,735",1-3 Beds,"3800 S Nellis Blvd, Las Vegas, NV 89121"
0,"$1,700 - 1,801",3 Beds,"6650 S Sandhill Rd, Las Vegas, NV 89120"
0,"$1,200 - 1,950",1-3 Beds,"5145 Rawhide St, Las Vegas, NV 89122"
0,"$899 - 1,675",Studio - 3 Beds,"3225 S Pecos Rd, Las Vegas, NV 89121"
0,"$1,317 - 1,817",2-3 Beds,"6551 Annie Oakley Dr, Henderson, NV 89014"
0,"$1,367 - 2,722",1-2 Beds,"3055 S Nellis Blvd, Las Vegas, NV 89121"
0,"$1,335 - 1,655",1-3 Beds,"2120 Ramrod Ave, Henderson, NV 89014"
0,"$1,329 - 3,671",1-3 Beds,"5400 Mountain Vista St, Las Vegas, NV 89120"
0,"$1,050 - 1,614",1-2 Beds,"5055 Jeffreys St, Las Vegas, NV 89119"
0,"$1,222 - 1,702",1-2 Beds,"4895 E Russell Rd, Las Vegas, NV 89120"
0,"$1,575 - 1,650",1 Bed,"3513 E Viking Rd, Las Vegas, NV 89121"
0,"$1,299 - 1,525",1-3 Beds,"4965 S Nellis Blvd, Las Vegas, NV 89120"
0,"$1,149 - 1,946",1-2 Beds,"5500 Mountain Vista St, Las Vegas, NV 89120"
0,$976 - 995,2 Beds,"4990 Topaz St, Las Vegas, NV 89120"
0,"$1,470 - 1,910",1-3 Beds,"2950 N Green Valley Pky, Henderson, NV 89014"
0,"$1,050 - 1,585",1-3 Beds,"4255 Channel 10 Dr, Las Vegas, NV 89119"
0,"$1,349 - 2,991",1-2 Beds,"3210 S Sandhill Rd, Las Vegas, NV 89121"
0,"$1,301 - 2,081",1-3 Beds,"5035 E Russell Rd, Las Vegas, NV 89122"
0,"$1,083 - 3,161",Studio - 3 Beds,"2255 E Sunset Rd, Las Vegas, NV 89119"
0,"$1,285 - 2,138",1-2 Beds,"4375 E Sunset Rd, Henderson, NV 89014"
0,"$1,045 - 1,534",1-3 Beds,"3150 S Nellis Blvd, Las Vegas, NV 89121"
0,"$1,000 - 1,250",1-2 Beds,"3149 E Desert Inn Rd, Las Vegas, NV 89121"
0,"$1,425 - 1,475",1-2 Beds,"4316 E Tropicana Ave, Las Vegas, NV 89121"
0,"$940 - 1,320",Studio - 3 Beds,"4801 Harrison Dr, Las Vegas, NV 89121"
0,"$975 - 1,520",1-3 Beds,"4775 S Topaz St, Las Vegas, NV 89121"
0,"$900 - 1,149",1-2 Beds,"5101 E Twain Ave, Las Vegas, NV 89122"
0,"$1,220 - 1,610",1-2 Beds,"2096 Ramrod Ave, Henderson, NV 89014"
0,"$990 - 1,685",1-3 Beds,"4040 Boulder Hwy, Las Vegas, NV 89121"
