,price,rooms,address
0,"$2,928 - 5,099",Studio - 2 Beds,"44 N Madison Ave, Pasadena, CA 91101"
0,"$3,037 - 9,818",Studio - 3 Beds,"75 W Holly St, Pasadena, CA 91103"
0,"$2,410 - 4,310",Studio - 2 Beds,"265-275 S Arroyo Pky, Pasadena, CA 91105"
0,"$2,453 - 12,963",1-3 Beds,"218 N El Molino Ave, Pasadena, CA 91101"
0,"$2,525 - 4,300",Studio - 2 Beds,"3768 E Colorado Blvd, Pasadena, CA 91107"
0,"$4,930 - 8,550",1-2 Beds,"88 N Oakland Ave, Pasadena, CA 91101"
0,"$2,536 - 12,555",Studio - 3 Beds,"151-151 E Holly St, Pasadena, CA 91103"
0,"$3,495",2 Beds,"65 W Dayton St, Pasadena, CA 91105"
0,"$2,750 - 3,695",1-2 Beds,"22 W Green St, Pasadena, CA 91105"
0,"$2,200 - 2,800",1-2 Beds,"1800 State St, South Pasadena, CA 91030"
0,"$2,850 - 6,468",Studio - 2 Beds,"3330 E Foothill Blvd, Pasadena, CA 91107"
0,"$2,994 - 4,638",Studio - 3 Beds,"290 N Hudson Ave, Pasadena, CA 91101"
0,"$2,554 - 3,536",1-2 Beds,"325 E Cordova St, Pasadena, CA 91101"
0,"$3,350 - 4,900",2 Beds,"409 N Madison Ave, Pasadena, CA 91101"
0,"$2,795 - 3,785",1-2 Beds,"289 N El Molino Ave, Pasadena, CA 91101"
0,"$2,545 - 3,695",Studio - 2 Beds,"678 E Walnut St, Pasadena, CA 91101"
0,"$2,595 - 3,675",Studio - 2 Beds,"231 S De Lacey Ave, Pasadena, CA 91105"
0,"$2,775",Studio - 3 Beds,"168 W Green St, Pasadena, CA 91105"
0,"$1,223",Studio,"280 N Oakland Ave, Pasadena, CA 91101"
0,"$1,950 - 2,600",1 Bed,"6933 Rosemead Blvd, San Gabriel, CA 91775"
0,"$2,800",2 Beds,"Pasadena, CA 91101"
0,"$2,050 - 2,600",Studio - 1 Bed,"262 N Los Robles Ave, Pasadena, CA 91101"
0,"$1,995",Studio - 1 Bed,"6174 Mesa Ave, Los Angeles, CA 90042"
0,"$1,395 - 2,530",Studio - 2 Beds,"7016 N Rosemead Blvd, San Gabriel, CA 91775"
0,"$4,000 - 7,850",Studio - 2 Beds,"2954 E Del Mar Blvd, Pasadena, CA 91107"
0,"$2,923 - 5,105",Studio - 2 Beds,"75 W Walnut St, Pasadena, CA 91103"
0,"$2,675 - 3,750",1-2 Beds,"350 E California Blvd, Pasadena, CA 91106"
0,"$2,711 - 4,781",Studio - 2 Beds,"686 E Union St, Pasadena, CA 91101"
0,"$2,198 - 3,586",Studio - 2 Beds,"1769 E Walnut St, Pasadena, CA 91106"
0,"$2,610 - 4,615",Studio - 2 Beds,"375 E Green St, Pasadena, CA 91101"
0,"$1,766",Studio,"1070 N Lake Ave, Pasadena, CA 91104"
0,"$3,054 - 4,805",1-3 Beds,"801 E Walnut St, Pasadena, CA 91101"
0,"$2,343 - 2,543",1 Bed,"700 Locust St, Pasadena, CA 91101"
0,"$2,495 - 2,620",2 Beds,"570 N Los Robles Ave, Pasadena, CA 91101"
0,"$2,199 - 3,302",Studio - 3 Beds,"280 E Del Mar Blvd, Pasadena, CA 91101"
0,"$3,005 - 3,090",2 Beds,"1653 Amberwood Dr, South Pasadena, CA 91030"
0,"$2,014 - 2,565",Studio - 2 Beds,"101 Bridewell St, Los Angeles, CA 90042"
0,"$3,300",1 Bed,"465 S Los Robles Ave, Pasadena, CA 91101"
0,"$2,850 /mo","2 Beds, 1 Bath","Pasadena, CA 91104"
0,"$3,390",1 Bed,"Pasadena, CA 91101"
