,price,rooms,address
0,"$1,778 - 3,129",1-3 Beds,"13651 NW 4th St, Pembroke Pines, FL 33028"
0,"$2,102 - 3,371",1-2 Beds,"10400 City Center Blvd, Pembroke Pines, FL 33025"
0,"$2,365 - 3,205",1-2 Beds,"3991 NW 82nd Ave, Cooper City, FL 33024"
0,"$1,985 - 3,825",Studio - 3 Beds,"3155 SW 147th Ter, Miramar, FL 33027"
0,"$2,075 - 3,550",1-3 Beds,"11575 City Hall Prom, Miramar, FL 33025"
0,"$1,934 - 3,190",1-2 Beds,"11801 Pembroke Rd, Pembroke Pines, FL 33025"
0,"$2,280 - 3,303",1-3 Beds,"7850 Pasadena Blvd, Pembroke Pines, FL 33024"
0,"$1,932 - 2,951",1-3 Beds,"8530 SW 1st St, Pembroke Pines, FL 33025"
0,"$1,371 - 1,987",Studio - 2 Beds,"7400 Stirling Rd, Hollywood, FL 33024"
0,"$2,211 - 3,168",1-3 Beds,"3165 SW 122nd Ave, Miramar, FL 33025"
0,Call for Rent,1-3 Beds,"1 Main St, Miramar, FL 33025"
0,"$2,199 - 3,599",1-3 Beds,"3040 SW 119th Ave, Miramar, FL 33025"
0,"$3,021 - 4,338",2-3 Beds,"1601 S Hiatus Rd, Pembroke Pines, FL 33025"
0,"$2,345 - 3,428",1-3 Beds,"16700 Sheridan St, Pembroke Pines, FL 33028"
0,"$1,966 - 2,746",1-2 Beds,"10650 Washington St, Pembroke Pines, FL 33025"
0,"$2,270 - 3,935",1-3 Beds,"13401 NW 5th St, Pembroke Pines, FL 33028"
0,"$2,289 - 3,924",1-3 Beds,"10170 SW 7th St, Pembroke Pines, FL 33025"
0,"$1,846 - 7,159",Studio - 3 Beds,"10700 City Center Blvd, Pembroke Pines, FL 33025"
0,Call for Rent,1-2 Beds,"7840 NW 3RD St, Pembroke Pines, FL 33024"
0,"$2,242 - 3,235",Studio - 3 Beds,"2750 SW 113th Ln, Miramar, FL 33025"
0,"$2,324 - 4,977",1-3 Beds,"11000 Miramar Blvd, Miramar, FL 33025"
0,"$2,115 - 3,435",1-3 Beds,"11700 SW 26th St, Miramar, FL 33025"
0,"$1,941 - 5,038",1-3 Beds,"10720 N Preserve Way, Miramar, FL 33025"
0,"$1,635 - 2,285",1-3 Beds,"8440 N Sherman Cor, Miramar, FL 33025"
0,"$2,260 - 5,618",1-3 Beds,"500 SW 145th Ave, Pembroke Pines, FL 33027"
0,"$2,105 - 5,223",1-3 Beds,"11099 SW 5th St, Pembroke Pines, FL 33025"
0,"$1,802 - 3,198",1-3 Beds,"9900 Sheridan St, Pembroke Pines, FL 33024"
0,"$1,978 - 3,358",1-3 Beds,"250 NW 130th Ave, Pembroke Pines, FL 33028"
0,"$2,301 - 3,917",1-3 Beds,"2940 Solano Ave, Cooper City, FL 33024"
0,"$1,850 - 2,395",2-3 Beds,"5740 Mayo St, Hollywood, FL 33023"
0,"$1,695 - 2,295",1-2 Beds,"7550-7580 Stirling Rd, Hollywood, FL 33024"
0,"$2,020 - 2,500",1-3 Beds,"2436 Centergate Dr, Miramar, FL 33025"
0,"$2,810 /mo","3 Beds, 1 Bath","Hollywood, FL 33024"
