,price,rooms,address
0,"$1,795 - 7,995",Studio - 3 Beds,"1099 Germantown Ave, Philadelphia, PA 19123"
0,"$1,585 - 4,585",Studio - 2 Beds,"435 N Broad St, Philadelphia, PA 19123"
0,"$2,000 - 5,105",Studio - 3 Beds,"1134 Sansom St, Philadelphia, PA 19107"
0,"$1,395 - 2,865",Studio - 2 Beds,"4301 Chestnut St, Philadelphia, PA 19104"
0,"$1,465 - 3,145",Studio - 2 Beds,"1321 N American St, Philadelphia, PA 19122"
0,"$1,600 - 5,347",Studio - 3 Beds,"1500-1514 Locust St, Philadelphia, PA 19102"
0,"$1,800 - 2,900",1-2 Beds,"460 N Broad St, Philadelphia, PA 19130"
0,"$1,615 - 3,200",Studio - 2 Beds,"1102-34 N Germantown Ave, Philadelphia, PA 19123"
0,"$1,075 - 1,750",Studio - 3 Beds,"5100 Lebanon Ave, Philadelphia, PA 19131"
0,"$1,189 - 3,528",Studio - 4 Beds,"2930 Chestnut St, Philadelphia, PA 19104"
0,"$1,000 - 1,800",Studio - 1 Bed,"236 W Walnut Ln, Philadelphia, PA 19144"
0,"$1,444 - 1,794",1-2 Beds,"10825 E Keswick Rd, Philadelphia, PA 19154"
0,"$2,245 - 4,305",1-2 Beds,"1001 N 2nd St, Philadelphia, PA 19123"
0,"$1,100 - 1,750",Studio - 3 Beds,"4920-4950 City Ave, Philadelphia, PA 19131"
0,"$1,082 - 3,115",Studio - 3 Beds,"7600 Stenton Ave, Philadelphia, PA 19118"
0,"$1,443 - 4,821",Studio - 3 Beds,"3800-3900 City Ave, Philadelphia, PA 19131"
0,"$1,171 - 2,795",1-3 Beds,"7715 Crittenden St, Philadelphia, PA 19118"
0,$899,1 Bed,"3701 Chestnut St, Philadelphia, PA 19104"
0,"$1,295 - 2,345",Studio - 2 Beds,"633 W Rittenhouse St, Philadelphia, PA 19144"
0,"$1,676 - 3,229",1-3 Beds,"6100 City Ave, Philadelphia, PA 19131"
0,"$1,250 - 1,725",1-2 Beds,"4991 Parkside Ave N, Philadelphia, PA 19131"
0,"$1,810 - 6,005",Studio - 2 Beds,"3601 Market St, Philadelphia, PA 19104"
0,"$1,075 - 2,150",Studio - 2 Beds,"5450 Wissahickon Ave, Philadelphia, PA 19144"
0,"$2,685 - 8,795",Studio - 4 Beds,"1401 Spruce St, Philadelphia, PA 19102"
0,"$925 - 2,150",Studio - 3 Beds,"239-259 W Johnson St, Philadelphia, PA 19144"
0,"$1,399 - 2,162",Studio - 4 Beds,"7901 Henry Ave, Philadelphia, PA 19128"
0,"$1,695 - 3,799",Studio - 2 Beds,"401 Race St, Philadelphia, PA 19106"
0,"$1,360 - 2,410",Studio - 2 Beds,"1401 N 5th St, Philadelphia, PA 19122"
0,"$1,200 - 1,925",Studio - 2 Beds,"1410 N 31st St, Philadelphia, PA 19121"
0,"$1,150 - 1,850",Studio - 2 Beds,"780 S 52nd St, Philadelphia, PA 19143"
0,"$1,900 - 3,025",Studio - 2 Beds,"4125-4136 Chestnut St, Philadelphia, PA 19104"
0,"$1,805 - 6,195",Studio - 4 Beds,"901 N 9th St, Philadelphia, PA 19123"
0,"$2,095 - 4,395",1-2 Beds,"1222 N 2nd St, Philadelphia, PA 19122"
0,"$1,750 - 5,695",Studio - 3 Beds,"150 S Independence Mall W, Philadelphia, PA 19106"
0,"$1,745 - 2,075",Studio - 2 Beds,"1000-1038 W Girard Ave, Philadelphia, PA 19123"
0,"$1,099 - 2,791",Studio - 3 Beds,"2301 Woodward St, Philadelphia, PA 19115"
0,"$1,557 - 8,641",Studio - 2 Beds,"510 N Broad St, Philadelphia, PA 19130"
0,"$2,008 - 4,212",Studio - 2 Beds,"3025 John F. Kennedy Blvd, Philadelphia, PA 19104"
0,"$1,250 - 2,500",1-2 Beds,"1999 E Boston St, Philadelphia, PA 19125"
0,"$2,102 - 10,126",1-2 Beds,"1325 N Beach St, Philadelphia, PA 19125"
