,price,rooms,address
0,"$1,430 - 2,522",1-3 Beds,"28425 N Black Canyon Hwy, Phoenix, AZ 85085"
0,"$956 - 2,078",Studio - 2 Beds,"4620 W McDowell Rd, Phoenix, AZ 85035"
0,"$1,146 - 1,699",Studio - 2 Beds,"3040 E Shea Blvd, Phoenix, AZ 85028"
0,"$1,095 - 1,350",Studio - 2 Beds,"2928 E Osborn Rd, Phoenix, AZ 85016"
0,"$1,125 - 1,485",1-2 Beds,"8245 N 27th Ave, Phoenix, AZ 85051"
0,"$1,000 - 1,650",1-2 Beds,"7007 W Indian School Rd, Phoenix, AZ 85033"
0,"$1,464 - 2,829",Studio - 3 Beds,"909 E Camelback Rd, Phoenix, AZ 85014"
0,"$1,546 - 5,042",1-2 Beds,"1814 E Bell Rd, Phoenix, AZ 85022"
0,"$1,177 - 2,016",1-3 Beds,"3010 W Yorkshire Dr, Phoenix, AZ 85027"
0,"$1,497 - 2,280",Studio - 3 Beds,"31113 N North Valley Pky, Phoenix, AZ 85085"
0,"$1,399 - 2,289",1-3 Beds,"3400 E Southern Ave, Phoenix, AZ 85040"
0,"$1,076 - 3,175",Studio - 2 Beds,"200 W Monroe St, Phoenix, AZ 85003"
0,"$1,285 - 2,295",Studio - 3 Beds,"355 N Central Ave, Phoenix, AZ 85004"
0,"$1,582 - 2,856",Studio - 2 Beds,"555 N 5th Ave, Phoenix, AZ 85003"
0,"$1,608 - 4,250",Studio - 2 Beds,"222 E Jefferson St, Phoenix, AZ 85004"
0,"$1,575 - 2,425",1-3 Beds,"4747 N 99th Ave, Phoenix, AZ 85037"
0,"$1,393 - 2,618",Studio - 2 Beds,"31 E Thomas Rd, Phoenix, AZ 85012"
0,"$1,546 - 2,895",Studio - 3 Beds,"24100 N 19th Ave, Phoenix, AZ 85085"
0,"$1,450 - 2,299",Studio - 3 Beds,"500 W Camelback Rd, Phoenix, AZ 85013"
0,"$1,425 - 2,370",1-2 Beds,"26800 N 27th Ave, Phoenix, AZ 85085"
0,"$1,545 - 2,355",Studio - 2 Beds,"20350 N 7th Ave, Phoenix, AZ 85027"
0,"$2,415 - 2,920",2-3 Beds,"4288 W Denali Ln, Phoenix, AZ 85087"
0,Call for Rent,1-3 Beds,"2121 N 99th Ave, Phoenix, AZ 85037"
0,"$1,299 - 2,149",1-3 Beds,"4411 E Chandler Blvd, Phoenix, AZ 85048"
0,"$1,291 - 5,625",1-3 Beds,"2220 W Mission Ln, Phoenix, AZ 85021"
0,"$1,749 - 3,125",1-2 Beds,"4848 N Goldwater Blvd, Scottsdale, AZ 85251"
0,"$1,720 - 2,630",1-3 Beds,"15509 N Scottsdale Rd, Scottsdale, AZ 85254"
0,"$1,299 - 1,800",1-3 Beds,"5150 N 99th Ave, Glendale, AZ 85305"
0,"$1,500 - 4,470",Studio - 3 Beds,"2001 N Scottsdale Rd, Scottsdale, AZ 85257"
0,"$1,650 - 3,700",Studio - 3 Beds,"7115 E McDowell Rd, Scottsdale, AZ 85257"
0,"$1,795 - 2,750",Studio - 3 Beds,"2040-2060 N Scottsdale Rd, Scottsdale, AZ 85257"
0,"$1,645 - 2,739",1-2 Beds,"4343 S 103rd Ave, Tolleson, AZ 85353"
0,"$1,960 - 4,235",1-2 Beds,"15826 N Scottsdale Rd, Scottsdale, AZ 85254"
0,"$1,454 - 4,256",1-3 Beds,"1250 W Grove Pky, Tempe, AZ 85283"
0,"$1,405 - 1,715",1-2 Beds,"4727 E Warner Rd, Phoenix, AZ 85044"
0,"$1,268 - 4,543",1-3 Beds,"32615 N Valley Pky, Phoenix, AZ 85085"
0,"$1,078 - 2,024",1-3 Beds,"1450 E Bell Rd, Phoenix, AZ 85022"
0,"$1,472 - 3,720",1-3 Beds,"3625 E Ray Rd, Phoenix, AZ 85044"
0,"$1,633 - 2,048",1-3 Beds,"3606 E Baseline Rd, Phoenix, AZ 85042"
0,"$1,325 - 2,570",1-3 Beds,"110 E Greenway Pky, Phoenix, AZ 85022"
