,price,rooms,address
0,"$945 - 1,530",Studio - 3 Beds,"275 Oakville Dr, Pittsburgh, PA 15220"
0,"$1,649 - 4,499",Studio - 2 Beds,"6105 Spirit St, Pittsburgh, PA 15206"
0,"$1,046 - 3,646",Studio - 2 Beds,"2239 Railroad St, Pittsburgh, PA 15222"
0,"$1,608 - 3,680",Studio - 2 Beds,"3234 Liberty Ave, Pittsburgh, PA 15201"
0,"$1,868 - 4,945",Studio - 3 Beds,"5819 Centre Ave, Pittsburgh, PA 15206"
0,"$1,810 - 4,220",Studio - 2 Beds,"2695 S Water St, Pittsburgh, PA 15203"
0,"$1,350 - 3,350",Studio - 3 Beds,"300 Hillview Dr, Pittsburgh, PA 15237"
0,"$915 - 1,900",Studio - 3 Beds,"300 Chatham Park Dr, Pittsburgh, PA 15220"
0,"$1,600 - 1,950",1 Bed,"121 7th St, Pittsburgh, PA 15222"
0,"$2,395 - 5,800",1-3 Beds,"2349 Railroad St, Pittsburgh, PA 15222"
0,"$1,040 - 1,670",1-3 Beds,"2400 Village Rd, Pittsburgh, PA 15205"
0,"$1,150 - 2,300",Studio - 2 Beds,"4601 Bayard St, Pittsburgh, PA 15213"
0,"$1,470 - 1,830",2 Beds,"5530 5th Ave, Pittsburgh, PA 15232"
0,"$1,349 - 1,849",1-2 Beds,"5925 5th Ave, Pittsburgh, PA 15232"
0,"$734 - 1,124",Studio - 3 Beds,"5492 Youngridge Dr, Pittsburgh, PA 15236"
0,"$1,330 - 1,620",1-2 Beds,"100 Park Plaza Dr, Pittsburgh, PA 15229"
0,$530 - 930,Studio - 2 Beds,"1553 Parkline Dr, Pittsburgh, PA 15227"
0,"$1,800 - 2,400",1-2 Beds,"75 S 26th St, Pittsburgh, PA 15203"
0,"$867 - 1,930",Studio - 3 Beds,"80 Sandune Dr, Pittsburgh, PA 15239"
0,"$1,650 - 4,188",1-3 Beds,"501 Riverfront Dr, Pittsburgh, PA 15238"
0,"$1,288 - 2,830",Studio - 2 Beds,"1100 Liberty Ave, Pittsburgh, PA 15222"
0,"$1,251 - 5,569",1-2 Beds,"100 Bryn Mawr Ct, Pittsburgh, PA 15221"
0,"$1,050 - 1,565",Studio - 3 Beds,"651 Oaklynn Ct, Pittsburgh, PA 15220"
0,"$1,025 - 1,695",1-2 Beds,"3200 Chestnut Ridge Dr, Pittsburgh, PA 15205"
0,"$1,037 - 3,267",Studio - 4 Beds,"1420 Centre Ave, Pittsburgh, PA 15219"
0,"$1,075 - 2,035",Studio - 2 Beds,"272 Shady Ave, Pittsburgh, PA 15206"
0,"$1,400 - 1,800",1 Bed,"607-609 Penn Ave, Pittsburgh, PA 15222"
0,"$1,400 - 3,585",1-2 Beds,"2525-2539 E Carson St, Pittsburgh, PA 15203"
0,"$1,100 - 2,600",Studio - 3 Beds,"3955 Bigelow Blvd, Pittsburgh, PA 15213"
0,"$840 - 2,805",Studio - 2 Beds,"10 Allegheny Ctr, Pittsburgh, PA 15212"
0,"$1,275 - 3,440",1-2 Beds,"700 Duncan Ave, Pittsburgh, PA 15237"
0,"$1,481 - 6,013",Studio - 2 Beds,"2645 Railroad St, Pittsburgh, PA 15222"
0,"$770 - 1,120",1-3 Beds,"795-10 Pine Valley Dr, Pittsburgh, PA 15239"
0,"$1,125 - 2,300",Studio - 3 Beds,"3333 Forbes Ave, Pittsburgh, PA 15213"
0,"$1,768 - 2,628",1-3 Beds,"300 Heinz St, Pittsburgh, PA 15212"
0,"$1,295 - 2,700",Studio - 3 Beds,"22 Strayhorn Way, Pittsburgh, PA 15213"
0,"$1,483 - 3,165",Studio - 2 Beds,"4107 Willow St, Pittsburgh, PA 15201"
0,"$742 - 6,845",Studio - 3 Beds,"3922 Foster St, Pittsburgh, PA 15201"
0,Call for Rent,Studio - 2 Beds,"5765 Centre Ave, Pittsburgh, PA 15206"
0,"$1,952 - 9,434",1-2 Beds,"160 E Station Square Dr, Pittsburgh, PA 15219"
