,price,rooms,address
0,"$1,138 - 5,849",Studio - 2 Beds,"5765 Bozeman Dr, Plano, TX 75024"
0,"$1,349 - 2,799",1-3 Beds,"3201 Wynwood Dr, Plano, TX 75074"
0,"$1,316 - 2,755",Studio - 2 Beds,"4216 Sloane St, Carrollton, TX 75007"
0,"$1,559 - 2,994",1-3 Beds,"1165 Montgomery Blvd, Allen, TX 75013"
0,"$1,601 - 7,323",Studio - 2 Beds,"5750 Grandscape Blvd, The Colony, TX 75056"
0,"$2,317 - 3,372",2 Beds,"6606 Mapleshade Ln, Dallas, TX 75252"
0,"$1,589 - 3,161",1-2 Beds,"9300 Coit Rd, Plano, TX 75025"
0,"$1,259 - 3,709",1-3 Beds,"7200 Preston Rd, Plano, TX 75024"
0,"$978 - 2,915",1-3 Beds,"1201 E Park Blvd, Plano, TX 75074"
0,"$1,220 - 3,762",1-3 Beds,"3001 Communications Pky, Plano, TX 75093"
0,"$1,325 - 2,160",1-2 Beds,"2501 Ohio Dr, Plano, TX 75093"
0,"$1,906 - 3,414",1-4 Beds,"4701 Charles Pl, Plano, TX 75093"
0,"$1,340 - 3,335",Studio - 3 Beds,"3700 Maple Shade Ln, Plano, TX 75075"
0,"$1,330 - 2,915",1-2 Beds,"8401 Memorial Ln, Plano, TX 75024"
0,"$1,514 - 3,595",1-3 Beds,"1550 W Plano Pky, Plano, TX 75075"
0,"$1,149 - 1,950",Studio - 3 Beds,"7001 Parkwood Blvd, Plano, TX 75024"
0,"$1,184 - 3,203",1-2 Beds,"2523 Ohio Dr, Plano, TX 75093"
0,"$1,559 - 3,638",1-3 Beds,"5301 W Spring Creek Pky, Plano, TX 75024"
0,"$1,326 - 2,459",1-3 Beds,"2600 Ventura Dr, Plano, TX 75093"
0,"$1,557 - 3,654",1-3 Beds,"1025 Preston Rd, Plano, TX 75093"
0,"$1,420 - 3,815",Studio - 2 Beds,"4925 Rasor Blvd, Plano, TX 75024"
0,"$2,109 - 21,481",Studio - 3 Beds,"7200 Dallas Pky, Plano, TX 75024"
0,"$1,405 - 4,395",Studio - 3 Beds,"6501 Excellence Way, Plano, TX 75023"
0,"$1,205 - 1,949",Studio - 2 Beds,"1410 K Ave, Plano, TX 75074"
0,"$1,345 - 2,699",Studio - 2 Beds,"601 Patton Blvd, Plano, TX 75075"
0,"$1,730 - 4,095",1-3 Beds,"2100 Legacy Dr, Plano, TX 75023"
0,"$1,480 - 3,355",Studio - 3 Beds,"601 Belpree Dr, Plano, TX 75075"
0,Call for Rent,1-3 Beds,"1345 14th St, Plano, TX 75074"
0,"$1,341 - 3,114",1-3 Beds,"6248 Assembly Park Blvd, Plano, TX 75074"
0,"$1,125 - 4,905",Studio - 3 Beds,"6500 Excellence Way, Plano, TX 75023"
0,"$1,538 - 3,177",1-4 Beds,"9601 Custer Rd, Plano, TX 75025"
0,"$1,196 - 7,025",1-3 Beds,"1800 E Spring Creek Pky, Plano, TX 75074"
0,"$1,068 - 4,343",1-3 Beds,"4701 14th St, Plano, TX 75074"
0,"$1,457 - 2,111",1-2 Beds,"6900 Preston Rd, Plano, TX 75024"
0,"$1,427 - 2,958",1-3 Beds,"6201 Chapel Hill Blvd, Plano, TX 75093"
0,"$1,386 - 2,312",1-3 Beds,"10200 Independence Pky, Plano, TX 75025"
0,"$1,252 - 3,509",1-3 Beds,"3200 Parkwood Blvd, Plano, TX 75093"
0,"$1,223 - 6,613",Studio - 3 Beds,"3825 Mapleshade Ln, Plano, TX 75075"
0,"$895 - 4,001",Studio - 3 Beds,"2301 Pebble Vale Dr, Plano, TX 75075"
0,"$1,135 - 3,640",Studio - 2 Beds,"5741 Martin Rd, Plano, TX 75024"
