,price,rooms,address
0,"$2,550 - 3,110",Studio - 3 Beds,"3880 W Broward Blvd, Plantation, FL 33312"
0,"$2,300 - 4,133",1-3 Beds,"8500 Cleary Blvd, Plantation, FL 33324"
0,"$2,088 - 4,678",Studio - 3 Beds,"321 N University Dr, Plantation, FL 33324"
0,"$2,430 - 3,605",1-3 Beds,"700 SW 78th Ave, Plantation, FL 33324"
0,"$2,368 - 4,400",1-3 Beds,"3001 NW 130th Ter, Sunrise, FL 33323"
0,"$2,206 - 5,360",1-3 Beds,"1650 SW 78th Ave, Plantation, FL 33324"
0,"$1,880 - 4,254",1-3 Beds,"150 SW 91st Ave, Plantation, FL 33324"
0,"$2,100 - 3,684",1-3 Beds,"13500 NW 3rd St, Plantation, FL 33325"
0,"$2,446 - 3,286",2-3 Beds,"8000 Cleary Blvd, Plantation, FL 33324"
0,"$1,850 - 2,595",Studio - 2 Beds,"1 S Pine Island Rd, Plantation, FL 33324"
0,"$2,075 - 4,715",1-3 Beds,"6901 W Sunrise Blvd, Plantation, FL 33313"
0,"$2,500 - 4,102",1-3 Beds,"8021 Peters Rd, Plantation, FL 33324"
0,"$2,523 - 3,825",1-3 Beds,"1301 SW 80th Ter, Plantation, FL 33324"
0,"$2,337 - 3,575",1-3 Beds,"1711 N University Dr, Plantation, FL 33322"
0,"$1,739 - 3,110",Studio - 2 Beds,"1171 Lakepointe L..., Plantation, FL 33322"
0,"$1,525 - 2,425",1-3 Beds,"7001-7081 NW 16th St, Plantation, FL 33313"
0,"$948 - 1,215",Studio - 2 Beds,"4200 NW 19th St, Lauderhill, FL 33313"
0,"$1,950 - 3,275",1-3 Beds,"1640 NW 128th Dr, Sunrise, FL 33323"
0,"$1,750 - 2,630",1-3 Beds,"2360 NW 56th Ave, Lauderhill, FL 33313"
0,"$2,247 - 3,906",1-3 Beds,"5971 Toscana Dr, Davie, FL 33314"
0,"$1,863 - 5,633",1-3 Beds,"11000 Cameron Ct, Davie, FL 33324"
0,"$1,933 - 2,881",1-3 Beds,"8210 SW 12th St, Plantation, Fl 33324"
0,"$1,825 - 3,090",1-2 Beds,"461 NW 87th Rd, Plantation, FL 33324"
0,"$2,076 - 2,537",1-2 Beds,"8101 NW 14th St, Plantation, FL 33322"
0,"$1,889 - 6,567",1-3 Beds,"7350 NW 4th St, Plantation, FL 33317"
0,"$1,680 - 2,500",Studio - 2 Beds,"8760 NW 4th St, Plantation, FL 33324"
0,"$2,007 - 4,667",Studio - 3 Beds,"5800 Reese Rd, Davie, FL 33314"
0,"$2,299 - 2,387",2 Beds,"6857 College Ct, Davie, FL 33317"
0,"$2,081 - 3,505",1-3 Beds,"6300 SW 24th Pl, Davie, FL 33314"
0,"$1,925 - 3,175",1-2 Beds,"2750 SW 73rd Way, Davie, FL 33314"
0,"$1,732 - 1,782",1-2 Beds,"1196 NW 40th Ave, Fort Lauderdale, FL 33311"
0,"$2,111 - 4,481",1-3 Beds,"2903 NW 130th Ave, Sunrise, FL 33323"
0,"$2,024 - 6,254",1-4 Beds,"6351 Palm Trace Landings Dr, Davie, FL 33314"
0,"$1,632 - 3,108",1-3 Beds,"4491 NW 19th St, Lauderhill, FL 33313"
0,"$1,980 - 2,450",2-3 Beds,"2011-2051 NW 43rd Ter, Lauderhill, FL 33313"
0,"$2,015 - 4,237",1-3 Beds,"200 Commodore Dr, Plantation, FL 33325"
0,"$2,125 - 4,932",1-3 Beds,"335 N State Road 7, Plantation, FL 33317"
0,"$2,226 - 4,804",1-2 Beds,"601 NW 82nd Ave, Plantation, FL 33324"
0,"$2,139 - 4,930",1-3 Beds,"9733 NW 7th Cir, Plantation, FL 33324"
0,"$1,989 - 5,092",1-3 Beds,"9000 NW 9th St, Plantation, FL 33324"
