,price,rooms,address
0,"$2,299 - 3,970",1-3 Beds,"5650 Owens Dr, Pleasanton, CA 94588"
0,"$2,410 - 4,850",Studio - 3 Beds,"7688 Saint Patrick Way, Dublin, CA 94568"
0,Call for Rent,1-2 Beds,"4800 Tassajara Rd, Dublin, CA 94568"
0,"$2,318 - 5,598",Studio - 3 Beds,"5421 Campbell Ln, Dublin, CA 94568"
0,"$2,617 - 6,135",1-2 Beds,"4320 Valley Ave, Pleasanton, CA 94566"
0,"$2,150 - 3,217",1-3 Beds,"3819 Vineyard Ave, Pleasanton, CA 94566"
0,"$2,555 - 3,120",1-2 Beds,"3650 Andrews Dr, Pleasanton, CA 94588"
0,"$2,213 - 3,098",1-2 Beds,"5196 Golden Rd, Pleasanton, CA 94566"
0,"$2,770 - 2,825",2 Beds,"5300 Case Ave, Pleasanton, CA 94566"
0,"$2,585 - 6,798",Studio - 2 Beds,"6250 Stoneridge Mall Rd, Pleasanton, CA 94588"
0,"$1,995 - 3,295",1-2 Beds,"5000 Owens Dr, Pleasanton, CA 94588"
0,"$2,456 - 6,832",1-3 Beds,"6233 Dougherty Rd, Dublin, CA 94568"
0,"$2,236 - 7,638",1-3 Beds,"5050 Hacienda Dr, Dublin, CA 94568"
0,"$2,093 - 2,806",1-2 Beds,"7585 Amador Valley Blvd, Dublin, CA 94568"
0,"$2,670 - 3,135",1-2 Beds,"3992 Stoneridge Dr, Pleasanton, CA 94588"
0,"$2,395 - 3,573",1-2 Beds,"4890 Bernal Ave, Pleasanton, CA 94566"
0,"$3,411 - 3,979",2-3 Beds,"1552 E Gate Way, Pleasanton, CA 94566"
0,"$2,600",2 Beds,"3767 Vineyard Ave, Pleasanton, CA 94566"
0,"$2,704 - 3,722",1-3 Beds,"5723 W Las Positas Blvd, Pleasanton, CA 94588"
0,"$2,249 - 3,919",Studio - 3 Beds,"4410 Hacienda Dr, Pleasanton, CA 94588"
0,"$2,450 - 2,650",2 Beds,"2323 Santa Rita Rd, Pleasanton, CA 94566"
0,"$1,970 - 6,290",1-2 Beds,"5505 Springhouse Dr, Pleasanton, CA 94588"
0,"$2,695 - 5,000",1-2 Beds,"6450 Dougherty Rd, Dublin, CA 94568"
0,"$2,325 - 3,794",1-3 Beds,"7550 St Patrick Way, Dublin, CA 94568"
0,"$2,480 - 3,530",1-3 Beds,"5095 Haven Pl, Dublin, CA 94568"
0,"$2,415 - 3,960",Studio - 3 Beds,"5300 Iron Horse Pky, Dublin, CA 94568"
0,"$2,519 - 5,955",1-3 Beds,"6601 Dublin Blvd, Dublin, CA 94568"
0,"$2,345 - 4,365",Studio - 3 Beds,"5200 Iron Horse Pky, Dublin, CA 94568"
0,"$2,050 - 3,555",Studio - 2 Beds,"6775 Golden Gate Dr, Dublin, CA 94568"
0,"$2,250",1 Bed,"4161 Keegan St, Dublin, CA 94568"
0,"$1,266 - 2,470",1-2 Beds,"3115 Finnian Way, Dublin, CA 94568"
0,"$3,450",2 Beds,"Dublin, CA 94568"
