,price,rooms,address
0,"$1,599 - 2,699",1-3 Beds,"6110 Quinwood Ln N, Plymouth, MN 55442"
0,"$1,240 - 1,690",Studio - 2 Beds,"3205 Harbor Ln N, Plymouth, MN 55447"
0,"$1,655 - 4,165",1-3 Beds,"10000 Highway 55, Plymouth, MN 55441"
0,"$1,415 - 3,695",1-2 Beds,"300 Carlson Pky, Minnetonka, MN 55305"
0,"$1,106 - 3,180",Studio - 3 Beds,"301 Shelard Pky, Saint Louis Park, MN 55426"
0,"$1,995 - 5,400",1-2 Beds,"12501 Ridgedale Dr, Minnetonka, MN 55305"
0,"$1,625 - 4,011",Studio - 3 Beds,"9920 Wayzata Blvd, Minneapolis, MN 55426"
0,"$1,451 - 5,852",1-3 Beds,"15730 Rockford Rd, Plymouth, MN 55446"
0,"$1,704 - 2,114",1-2 Beds,"14550 34th Ave N, Plymouth, MN 55447"
0,"$1,175 - 2,750",1-3 Beds,"1020 W Medicine Lake Dr, Plymouth, MN 55441"
0,"$1,130 - 1,450",1-2 Beds,"3601-3651 Lancaster Ln N, Plymouth, MN 55441"
0,"$1,375 - 1,675",1-3 Beds,"400 Ford Rd, Saint Louis Park, MN 55426"
0,"$954 - 1,740",1-3 Beds,"8500-8516 63rd Ave N, Minneapolis, MN 55428"
0,"$1,598 - 3,528",Studio - 3 Beds,"501 Carlson Pky, Minnetonka, MN 55305"
0,"$1,595 - 3,994",1-3 Beds,"11700 Wayzata Blvd, Minnetonka, MN 55305"
0,"$6,000",2 Beds,"Wayzata, MN 55391"
0,"$1,445 - 3,900",1-2 Beds,"12610 Ridgedale Dr, Minnetonka, MN 55305"
0,"$1,575 - 3,070",Studio - 3 Beds,"8400 Bass Lake Rd, New Hope, MN 55428"
0,"$1,254 - 1,680",1-2 Beds,"275 Shelard Pky, Saint Louis Park, MN 55426"
0,"$1,143 - 9,125",1-3 Beds,"12300 Marion Ln, Minnetonka, MN 55305"
0,"$1,405 - 2,205",1-3 Beds,"4545 Nathan Ln N, Plymouth, MN 55442"
0,"$1,190 - 2,380",Studio - 2 Beds,"135-235 Nathan Ln N, Plymouth, MN 55441"
0,"$1,300 - 2,475",1-2 Beds,"3925 Lancaster Ln N, Plymouth, MN 55441"
0,"$1,380 - 2,175",1-3 Beds,"15300 37th Ave N, Plymouth, MN 55446"
0,"$1,849 - 2,419",2-3 Beds,"5814 Teakwood Ln N, Plymouth, MN 55442"
0,"$1,395 - 1,790",Studio - 3 Beds,"3501 Xenium Ln N, Plymouth, MN 55441"
0,"$1,170 - 1,924",1-3 Beds,"3610 Lancaster Ln N, Plymouth, MN 55441"
0,"$1,960 - 2,440",2-3 Beds,"1798 Magnolia Ln N, Plymouth, MN 55441"
0,"$1,100 - 1,250",1-2 Beds,"3301 Highway 169 N, Plymouth, MN 55441"
0,"$2,074 - 4,403",1-2 Beds,"350 Superior Blvd, Wayzata, MN 55391"
0,"$2,515 - 3,012",Studio - 2 Beds,"1700 Plymouth Rd, Minnetonka, MN 55305"
0,"$1,400 - 1,740",1-2 Beds,"6400 N Sycamore Ln, Maple Grove, MN 55369"
0,"$1,225 - 1,555",1-3 Beds,"5625 Boone Ave N, Minneapolis, MN 55428"
0,"$1,120 - 1,930",1-3 Beds,"2701 Hillsboro Ave N, New Hope, MN 55427"
0,"$1,275 - 2,110",Studio - 2 Beds,"5200-5300 Annapolis Ln N, Plymouth, MN 55446"
0,"$1,440 - 3,011",1-2 Beds,"9201 Golden Valley Rd, Golden Valley, MN 55427"
0,"$1,900 - 2,295",2-3 Beds,"6876 Vicksburg Ln, Maple Grove, MN 55311"
0,"$1,422 - 4,493",1-2 Beds,"350 Nathan Ln N, Plymouth, MN 55441"
0,"$1,530 - 3,045",1-3 Beds,"4540 Nathan Ln N, Plymouth, MN 55442"
0,"$1,550 - 2,299",1-3 Beds,"10000 59th Ave N, Plymouth, MN 55442"
