,price,rooms,address
0,"$2,582 - 7,930",1-3 Beds,"1333 S Ocean Blvd, Pompano Beach, FL 33062"
0,"$2,200 - 3,195",Studio - 3 Beds,"601 N Federal Hwy, Pompano Beach, FL 33062"
0,"$1,650 - 2,400",1-3 Beds,"1850 NE 48th St, Pompano Beach, FL 33064"
0,"$1,549",Studio,"500 E McNab Rd, Pompano Beach, FL 33060"
0,"$2,134 - 14,519",1-3 Beds,"1631 S Federal Hwy, Pompano Beach, FL 33062"
0,"$1,825 - 2,395",1-2 Beds,"2801 N Course Dr, Pompano Beach, FL 33069"
0,"$1,635 - 2,373",Studio - 2 Beds,"401 NW 34th St, Pompano Beach, FL 33064"
0,"$2,040 - 3,796",1-3 Beds,"4611 N Federal Hwy, Pompano Beach, FL 33064"
0,"$2,136 - 3,052",1-3 Beds,"3360 NW 1st Ct, Pompano Beach, FL 33069"
0,"$1,840 - 4,871",Studio - 2 Beds,"200 NE 1st Ave, Pompano Beach, FL 33060"
0,"$2,105 - 4,515",Studio - 3 Beds,"11 NE 24th Ave, Pompano Beach, FL 33062"
0,"$1,865 - 3,376",Studio - 2 Beds,"1621 S Dixie Hwy, Pompano Beach, FL 33060"
0,"$1,872 - 3,172",1-3 Beds,"1700 S State Rd 7, N Lauderdale, FL 33068"
0,"$1,750 - 2,850",1-3 Beds,"4768 W Atlantic Blvd, Coconut Creek, FL 33063"
0,"$1,670 - 2,570",1-3 Beds,"3800 Coral Tree Cir, Coconut Creek, FL 33073"
0,"$1,875 - 2,905",1-3 Beds,"1949 Cove Lake Rd, North Lauderdale, FL 33068"
0,"$1,949 - 2,952",1-2 Beds,"3801 Crystal Lake Dr, Deerfield Beach, FL 33064"
0,"$1,892 - 2,880",1-3 Beds,"3800 Crystal Lake Dr, Deerfield Beach, FL 33064"
0,"$3,450 - 3,800",3-4 Beds,"1000 NE 58th St, Oakland Park, FL 33334"
0,"$1,909 - 2,100",1-2 Beds,"2201 NE 36th St, Lighthouse Point, FL 33064"
0,"$1,775 - 2,350",1-2 Beds,"250 W Sample Rd, Pompano Beach, FL 33064"
0,"$1,350 - 1,875",1-2 Beds,"900-902 SE 1st St, Pompano Beach, FL 33060"
0,"$2,734 - 7,298",Studio - 3 Beds,"3333 Port Royale Dr S, Fort Lauderdale, FL 33308"
0,"$1,920 - 3,396",1-2 Beds,"3101 Port Royale Blvd, Fort Lauderdale, FL 33308"
0,"$1,794 - 3,463",1-2 Beds,"4303 W Atlantic Blvd, Coconut Creek, FL 33066"
0,"$1,975 - 4,415",1-3 Beds,"4411 N Federal Hwy, Pompano Beach, FL 33064"
0,"$2,017 - 4,335",Studio - 3 Beds,"425-475 SE 1st St, Pompano Beach, FL 33060"
0,"$2,995 - 3,500",2-4 Beds,"250 SW 6th Pl, Pompano Beach, FL 33060"
0,"$1,760 - 2,045",1-2 Beds,"3505 W Atlantic Blvd, Pompano Beach, FL 33069"
0,"$1,425 - 2,200",1-3 Beds,"1671 NE 33rd St, Pompano Beach, FL 33064"
0,"$1,300 - 1,450",1-2 Beds,"874 SW 10th Dr, Pompano Beach, FL 33060"
0,"$1,695 - 2,695",1-3 Beds,"5600 SW 12th St, North Lauderdale, FL 33068"
0,Call for Rent,1-3 Beds,"2400 NE 65Th St, Fort Lauderdale, FL 33308"
0,"$1,650 - 1,695",1 Bed,"5501-5631 SW 11th St, Margate, FL 33068"
0,Call for Rent,2 Beds,"5390 NE 5th Ter, Deerfield Beach, FL 33064"
0,"$1,602 - 1,652",1 Bed,"1323-1325 SE 8th Ave, Deerfield Beach, FL 33441"
0,"$1,400",1 Bed,"5930-5990 NE 18th Ave, Fort Lauderdale, FL 33334"
0,"$1,599 - 2,230",1-2 Beds,"5201 N Dixie Hwy, Fort Lauderdale, FL 33334"
0,"$2,300",2 Beds,"Pompano Beach, FL 33069"
0,"$2,679",1 Bed,"Pompano Beach, FL 33069"
