,price,rooms,address
0,"$1,251 - 3,395",Studio - 2 Beds,"1784 NW Northrup St, Portland, OR 97209"
0,"$1,330 - 1,886",Studio - 1 Bed,"1339 NW 19th Ave, Portland, OR 97209"
0,"$1,780 - 6,400",Studio - 2 Beds,"3720 SW Bond Ave, Portland, OR 97239"
0,"$1,467 - 4,632",Studio - 2 Beds,"750 SW 9th Ave, Portland, OR 97205"
0,"$1,419 - 3,560",Studio - 2 Beds,"878 N Fremont St, Portland, OR 97227"
0,"$1,619 - 2,782",1-2 Beds,"1411 NW Quimby St, Portland, OR 97209"
0,"$1,495 - 2,499",Studio - 3 Beds,"3650 SE 29th Ave, Portland, OR 97202"
0,"$1,647 - 3,750",Studio - 2 Beds,"1905 NW 23rd Ave, Portland, OR 97210"
0,"$1,195 - 1,325",Studio,"3255 SE 17th Ave, Portland, OR 97202"
0,"$1,105 - 2,215",Studio - 3 Beds,"5620 N Interstate Ave, Portland, OR 97217"
0,"$1,542 - 4,801",Studio - 2 Beds,"1550 NW Naito Pky, Portland, OR 97209"
0,"$2,734 - 10,967",Studio - 3 Beds,"1140 SW Washington St, Portland, OR 97205"
0,"$1,611 - 2,745",1-2 Beds,"110 N Tomahawk Island Dr, Portland, OR 97217"
0,"$1,968 - 10,203",1-3 Beds,"3820 S River Pky, Portland, OR 97267"
0,"$2,900 - 6,000",1-2 Beds,"10357 SE Waverly Ct, Milwaukie, OR 97222"
0,"$1,543 - 2,913",Studio - 2 Beds,"636 W 6th St, Vancouver, WA 98660"
0,"$1,460 - 3,131",Studio - 3 Beds,"10999 SE 37th Ave, Milwaukie, OR 97222"
0,"$925 - 1,208",Studio,"1430 NW Pettygrove St, Portland, OR 97209"
0,"$1,535 - 3,783",1-3 Beds,"4949 SW Landing Dr, Portland, OR 97239"
0,"$1,240 - 4,668",Studio - 3 Beds,"1818 SW 4th Ave, Portland, OR 97201"
0,"$1,453 - 2,793",Studio - 2 Beds,"2020 NE Multnomah St, Portland, OR 97232"
0,"$1,479 - 5,933",Studio - 2 Beds,"255 NW 10th Ave, Portland, OR 97209"
0,"$1,299 - 2,906",Studio - 2 Beds,"3956 N Vancouver Ave, Portland, OR 97227"
0,"$1,529 - 5,575",1-3 Beds,"1510 SW Alder St, Portland, OR 97205"
0,"$1,250 - 2,720",Studio - 2 Beds,"1315 NW Johnson St, Portland, OR 97209"
0,"$1,413 - 5,000",Studio - 3 Beds,"1720 SW 4th Ave, Portland, OR 97201"
0,"$1,950 - 2,150",2 Beds,"1115 SW Market St, Portland, OR 97201"
0,"$1,069 - 2,485",Studio - 3 Beds,"1717 SW Park Ave, Portland, OR 97201"
0,"$1,705 - 3,900",1-2 Beds,"900 NW Lovejoy St, Portland, OR 97209"
0,"$1,445 - 1,645",2 Beds,"17310 SE Naegeli Dr, Portland, OR 97236"
0,"$1,595 - 10,000",Studio - 3 Beds,"430 SW 13th Ave, Portland, OR 97205"
0,"$1,400 - 2,225",Studio - 2 Beds,"1155 NW Everett St, Portland, OR 97209"
0,"$1,195 - 1,595",Studio - 2 Beds,"3202 SE 92nd Ave, Portland, OR 97266"
0,"$1,505 - 3,305",Studio - 2 Beds,"735 SW Saint Clair Ave, Portland, OR 97205"
0,"$1,350 - 2,699",Studio - 2 Beds,"2625 E Burnside St, Portland, OR 97214"
0,"$1,640 - 2,295",Studio - 3 Beds,"1250 NW Kearney St, Portland, OR 97209"
0,"$1,505 - 2,605",1-3 Beds,"7828 SE Aspen Summit Dr, Portland, OR 97266"
0,"$1,100 - 1,500",Studio - 1 Bed,"1417 SW 10th Ave, Portland, OR 97201"
0,Call for Rent,Studio - 2 Beds,"550-550 NW 19th Ave, Portland, OR 97209"
0,"$1,495 - 1,795",2 Beds,"12345 SE Fuller Rd, Portland, OR 97222"
