,price,rooms,address
0,"$2,210 - 3,200",Studio - 2 Beds,"7 Crown Dr, Quincy, MA 02169"
0,"$2,480 - 4,467",Studio - 2 Beds,"780 Morrissey Blvd, Dorchester, MA 02122"
0,"$2,225 - 3,800",Studio - 2 Beds,"100 Whitwell St, Quincy, MA 02169"
0,"$2,215 - 2,855",Studio - 1 Bed,"1190 Hancock St, Quincy, MA 02169"
0,"$2,475 - 4,135",1-2 Beds,"790 Willard St, Quincy, MA 02169"
0,"$2,701 - 5,154",1-2 Beds,"2 Hancock St, Quincy, MA 02171"
0,"$1,850 - 3,250",Studio - 2 Beds,"1500 Hancock St, Quincy, MA 02169"
0,"$2,630 - 2,725",1 Bed,"116 E Howard St, Quincy, MA 02169"
0,"$2,250 - 3,100",Studio - 2 Beds,"1 Newport Ave, Quincy, MA 02171"
0,"$2,177 - 5,620",Studio - 2 Beds,"255 Hancock St, Quincy, MA 02171"
0,"$1,800 - 3,500",Studio - 2 Beds,"33 Furnace Ave, Quincy, MA 02169"
0,"$2,650 - 2,950",1-2 Beds,"445 Willard St, Quincy, MA 02169"
0,"$2,228 - 5,853",Studio - 4 Beds,"1037 Southern Artery, Quincy, MA 02169"
0,"$2,594 - 5,810",Studio - 2 Beds,"10 Faxon Ave, Quincy, MA 02169"
0,"$2,200 - 3,655",Studio - 2 Beds,"229 Quarry St, Quincy, MA 02169"
0,"$2,615 - 5,586",1-3 Beds,"333 Ricciuti Dr, Quincy, MA 02169"
0,"$2,674 - 4,039",Studio - 2 Beds,"7 Seaport Dr, Quincy, MA 02171"
0,"$2,599 - 3,473",Studio - 2 Beds,"21 Chestnut St, Quincy, MA 02169"
0,"$2,350 - 2,550",1-2 Beds,"151 Sea St, Quincy, MA 02169"
0,"$2,420 - 3,353",1-2 Beds,"1205 Hancock St, Quincy, MA 02169"
0,"$2,400 - 3,300",1-2 Beds,"1 Chestnut Pl, Quincy, MA 02169"
0,"$2,100 - 2,800",Studio - 2 Beds,"95 W Squantum St, Quincy, MA 02171"
0,"$2,379 - 3,099",1-2 Beds,"800 West St, Braintree, MA 02184"
0,"$2,005 - 2,660",Studio - 2 Beds,"725 Adams St, Dorchester, MA 02122"
0,"$2,400",1 Bed,"357 Newport Ave, Quincy, MA 02170"
0,"$2,400 - 4,870",1-2 Beds,"2001 Falls Blvd, Quincy, MA 02169"
0,"$2,295",1 Bed,"68 Beale St, Quincy, MA 02170"
0,"$2,508 - 7,754",Studio - 4 Beds,"552 Victory Rd, Quincy, MA 02171"
0,"$2,795",2 Beds,"18-22 Mechanic St, Quincy, MA 02169"
0,"$2,175 - 4,377",Studio - 2 Beds,"625 Thomas E. Burgin Pky, Quincy, MA 02169"
0,"$2,000 - 2,100",1 Bed,"65 Miller St, Quincy, MA 02169"
0,"$2,260 - 3,425",Studio - 2 Beds,"200 Quarry Hills Dr, Quincy, MA 02169"
0,"$2,220 - 3,688",Studio - 2 Beds,"1 Canton Rd, Quincy, MA 02171"
0,"$2,200 - 3,500",Studio - 2 Beds,"33 Newport Ave, Quincy, MA 02171"
0,"$1,950 - 3,300",1-2 Beds,"75 Palmer St, Quincy, MA 02169"
0,"$2,000 - 2,400",2 Beds,"99 Granite St, Quincy, MA 02169"
0,"$1,295 - 1,700",Studio - 1 Bed,"3 Cottage Ave, Quincy, MA 02169"
0,"$1,680 - 2,105",1-2 Beds,"1020 Southern Artery, Quincy, MA 02169"
0,"$2,400 - 3,550",1-3 Beds,"2 McCusker Dr, Braintree, MA 02184"
0,"$2,320 - 2,860",1-2 Beds,"5 Pacella Park Dr, Randolph, MA 02368"
