,price,rooms,address
0,"$1,100 - 1,800",1-3 Beds,"4001-4117 Deep Hollow Dr, Raleigh, NC 27612"
0,"$1,350 - 2,060",1-3 Beds,"5425 Dana Dr, Raleigh, NC 27606"
0,"$1,189 - 1,863",1-2 Beds,"3235 Trimblestone Ln, Raleigh, NC 27616"
0,"$1,165 - 1,880",1-3 Beds,"7880 Triangle Promenade Dr, Raleigh, NC 27616"
0,"$1,448 - 2,950",1-3 Beds,"4301 Mill Village Rd, Raleigh, NC 27612"
0,"$1,312 - 2,759",Studio - 2 Beds,"408 E Hargett St, Raleigh, NC 27601"
0,"$1,300 - 2,516",1-3 Beds,"7760 Midtown Market Ave, Raleigh, NC 27616"
0,"$1,293 - 2,270",Studio - 3 Beds,"2911 Mid Century Dr, Raleigh, NC 27604"
0,"$1,380 - 2,635",Studio - 3 Beds,"4710 Mint Leaf Ln, Raleigh, NC 27612"
0,"$1,394 - 2,397",Studio - 2 Beds,"700 Corporate Center Dr, Raleigh, NC 27607"
0,"$899 - 1,408",1 Bed,"1105 Navaho Dr, Raleigh, NC 27609"
0,"$1,343 - 2,275",1-2 Beds,"11100 Madison Elm Ln, Raleigh, NC 27614"
0,"$1,699 - 4,353",Studio - 2 Beds,"9 N Harrington St, Raleigh, NC 27603"
0,"$1,000 - 1,750",1-3 Beds,"4722 Dansey Dr, Raleigh, NC 27616"
0,"$1,295 - 1,960",1-2 Beds,"7303 Bryn Athyn Way, Raleigh, NC 27615"
0,"$1,100 - 1,640",1-2 Beds,"3105 Holston Ln, Raleigh, NC 27610"
0,"$1,050 - 1,700",1-2 Beds,"2000 Spring Dr, Garner, NC 27529"
0,"$1,250 - 2,293",Studio - 2 Beds,"1017 Umstead Hollow Pl, Cary, NC 27513"
0,"$1,235 - 2,075",1-3 Beds,"485 Traebert Cir, Knightdale, NC 27545"
0,"$1,355 - 2,472",1-2 Beds,"3818 Page Rd, Durham, NC 27703"
0,"$1,452 - 3,439",1-3 Beds,"1010 Legacy Village Dr, Cary, NC 27518"
0,"$1,213 - 1,915",1-3 Beds,"2038 Quail Forest Dr, Raleigh, NC 27609"
0,"$999 - 1,729",1-3 Beds,"6317 Shanda Dr, Raleigh, NC 27609"
0,"$1,449 - 6,059",1-3 Beds,"3301 Cotton Mill Dr, Raleigh, NC 27612"
0,"$1,220 - 3,387",Studio - 3 Beds,"1009 Wade Ave, Raleigh, NC 27605"
0,"$980 - 2,184",Studio - 2 Beds,"1328-1410 Steinbeck Dr, Raleigh, NC 27609"
0,"$1,195 - 1,595",1-2 Beds,"7816 Six Forks Rd, Raleigh, NC 27615"
0,"$1,250 - 2,095",1-3 Beds,"9500 Muirfield Club Dr, Raleigh, NC 27615"
0,"$1,200 - 1,929",1-3 Beds,"1302 Rio Valley Dr, Raleigh, NC 27614"
0,"$1,239 - 3,139",Studio - 2 Beds,"4451 Vilana Rdg, Raleigh, NC 27612"
0,"$1,261 - 4,855",Studio - 2 Beds,"141 Park at North Hills St, Raleigh, NC 27609"
0,"$1,240 - 1,929",1-3 Beds,"8224 Green Lantern St, Raleigh, NC 27613"
0,"$1,151 - 2,158",1-3 Beds,"4600-4612 Dansey Dr, Raleigh, NC 27616"
0,"$1,078 - 5,908",1-3 Beds,"1500 Sunbow Falls Ln, Raleigh, NC 27609"
0,"$1,215 - 3,075",Studio - 3 Beds,"1300 Tribute Center Dr, Raleigh, NC 27612"
0,"$1,233 - 4,728",1-3 Beds,"10200 Crichton St, Raleigh, NC 27617"
0,"$1,265 - 1,615",1-3 Beds,"2080-2080 Brentmoor Dr, Raleigh, NC 27604"
0,"$1,175 - 2,085",1-3 Beds,"6350-6350 Terra Verde Dr, Raleigh, NC 27609"
0,"$1,325 - 2,705",1-3 Beds,"8810 Autumn Winds Dr, Raleigh, NC 27615"
0,"$1,043 - 3,688",1-3 Beds,"1140 Trinity Pine Ln, Raleigh, NC 27607"
