,price,rooms,address
0,"$2,180 - 4,024",1-3 Beds,"11660 Church St, Rancho Cucamonga, CA 91730"
0,"$2,609 - 4,999",1-3 Beds,"9350 The Resort Pky, Rancho Cucamonga, CA 91730"
0,"$2,335 - 3,669",1-3 Beds,"13250 Foothill Blvd, Rancho Cucamonga, CA 91739"
0,"$2,042 - 4,019",Studio - 3 Beds,"1900 E Inland Empire Blvd, Ontario, CA 91764"
0,"$2,235 - 3,250",Studio - 3 Beds,"8200 Haven Ave, Rancho Cucamonga, CA 91730"
0,"$1,800 - 2,600",1-2 Beds,"8389 Fir Dr, Rancho Cucamonga, CA 91730"
0,"$2,106 - 5,019",1-3 Beds,"11100 4th St, Rancho Cucamonga, CA 91730"
0,"$2,295 - 2,925",1-2 Beds,"8950 Arrow Route Rt, Rancho Cucamonga, CA 91730"
0,"$2,215 - 3,600",1-3 Beds,"10130 Foothill Blvd, Rancho Cucamonga, CA 91730"
0,"$2,299 - 3,405",1-2 Beds,"7878 East Avenue, Rancho Cucamonga, CA 91739"
0,"$2,175 - 2,945",1-3 Beds,"1265 E 9th St, Upland, CA 91786"
0,"$2,900 - 3,460",2-3 Beds,"1501 Golf Club Dr, Upland, CA 91784"
0,"$2,072 - 4,106",1-3 Beds,"2615 E Date Palm Paseos, Ontario, CA 91764"
0,"$2,580 - 4,300",1-4 Beds,"13995 Foothill Blvd, Fontana, CA 92335"
0,"$2,397 - 3,138",1-2 Beds,"11343 Mountain View Dr, Rancho Cucamonga, CA 91730"
0,"$2,799 - 4,335",1-4 Beds,"10855 CHURCH St, Rancho Cucamonga, CA 91730"
0,"$2,563 - 4,345",1-3 Beds,"10850 Church St, Rancho Cucamonga, CA 91730"
0,"$2,274 - 3,664",1-3 Beds,"7868 Milliken Ave, Rancho Cucamonga, CA 91730"
0,"$3,209 - 4,484",1-4 Beds,"11755 Malaga Dr, Rancho Cucamonga, CA 91730"
0,"$2,025 - 2,375",1-2 Beds,"9600 Lomita Ct, Rancho Cucamonga, CA 91701"
0,"$2,074 - 3,051",Studio - 2 Beds,"9400 Fairway View Pl, Rancho Cucamonga, CA 91730"
0,"$2,150 - 3,395",1-3 Beds,"10801 Lemon Ave, Rancho Cucamonga, CA 91737"
0,"$2,313 - 3,049",1-3 Beds,"10730 Church St, Rancho Cucamonga, CA 91730"
0,"$2,302 - 4,597",2-3 Beds,"8250 Vineyard Ave, Rancho Cucamonga, CA 91730"
0,"$2,161 - 2,762",1-3 Beds,"11210 4th St, Rancho Cucamonga, CA 91730"
0,"$1,899 - 3,733",Studio - 3 Beds,"10935 Terra Vista Pky, Rancho Cucamonga, CA 91730"
0,"$3,100 - 3,400",3-4 Beds,"8450 Carson Pl, Rancho Cucamonga, CA 91730"
0,"$2,037 - 7,499",1-2 Beds,"8255 Vineyard Ave, Rancho Cucamonga, CA 91730"
0,"$2,015 - 3,505",1-3 Beds,"9200 Milliken Ave, Rancho Cucamonga, CA 91730"
0,"$2,912 - 8,964",1-3 Beds,"6653 Canary Pine Ave, Alta Loma, CA 91737"
0,"$2,020 - 2,535",1-2 Beds,"850 N Center Ave, Ontario, CA 91764"
0,"$1,790 - 2,020",Studio - 2 Beds,"1413 San Bernardino Rd, Upland, CA 91786"
0,"$1,895 - 2,795",1-3 Beds,"9850 19th St, Rancho Cucamonga, CA 91737"
0,"$2,065 - 2,470",1-2 Beds,"9600 19th St, Alta Loma, CA 91737"
0,"$3,050 - 3,832",2-3 Beds,"10950 Church St, Rancho Cucamonga, CA 91730"
0,"$1,710 - 1,850",1-2 Beds,"6628 Amethyst St, Rancho Cucamonga, CA 91737"
0,"$2,462 - 6,321",1-3 Beds,"1162 E 19th St, Upland, CA 91784"
0,"$2,280 - 2,495",1-2 Beds,"1420 Chaffee St, Upland, CA 91786"
0,"$2,100 - 2,600",2 Beds,"8150 Cottonwood Ave, Fontana, CA 92335"
0,"$2,396 - 2,870",1-3 Beds,"955 N Duesenberg Dr, Ontario, CA 91764"
