,price,rooms,address
0,"$1,899 - 3,899",Studio - 2 Beds,"2651 156th Ave NE, Redmond, WA 98052"
0,"$1,872 - 4,102",Studio - 2 Beds,"12540 120th Ave NE, Kirkland, WA 98034"
0,"$2,337 - 3,803",Studio - 2 Beds,"8300 160th Ave NE, Redmond, WA 98052"
0,"$2,250 - 6,369",Studio - 2 Beds,"7405 168th Ave NE, Redmond, WA 98052"
0,"$1,740 - 2,715",Studio - 2 Beds,"7601 159th Pl NE, Redmond, WA 98052"
0,"$1,935 - 3,545",Studio - 2 Beds,"15301 NE Turing St, Redmond, WA 98052"
0,"$1,811 - 8,784",Studio - 2 Beds,"15551 NE Turing St, Redmond, WA 98052"
0,"$1,784 - 2,299",Studio - 2 Beds,"15808 Bear Creek Pky, Redmond, WA 98052"
0,"$2,221 - 3,973",Studio - 2 Beds,"2808 Calder Ave NE, Redmond, WA 98052"
0,"$2,055 - 4,330",Studio - 3 Beds,"15602 NE 40th St, Redmond, WA 98052"
0,"$1,899 - 3,500",Studio - 2 Beds,"8460 164th Ave NE, Redmond, WA 98052"
0,"$2,035 - 3,602",1-3 Beds,"15606 NE 40th St, Redmond, WA 98052"
0,"$1,925 - 3,199",1-3 Beds,"8935 160th Ave NE, Redmond, WA 98052"
0,"$2,055 - 3,680",Studio - 3 Beds,"2690 152nd Ave NE, Redmond, WA 98052"
0,"$2,100 - 2,300",1-2 Beds,"16405 NE 95th St, Redmond, WA 98052"
0,"$2,265 - 3,660",1-3 Beds,"17771 NE 90th St, Redmond, WA 98052"
0,"$3,344 - 4,447",2-4 Beds,"15850 NE 98th Way, Redmond, WA 98052"
0,"$1,773 - 2,545",Studio - 2 Beds,"11415 NE Slater Ave, Kirkland, WA 98033"
0,"$2,640 - 2,735",1 Bed,"12670 120th Ave NE, Kirkland, WA 98034"
0,"$2,342 - 5,750",1-2 Beds,"885 154th Pl NE, Bellevue, WA 98007"
0,"$1,918 - 6,325",1-3 Beds,"18100 NE 95th St, Redmond, WA 98052"
0,"$2,350 - 3,680",Studio - 2 Beds,"8397 158th Ave NE, Redmond, WA 98052"
0,"$1,795 - 3,735",Studio - 2 Beds,"16590 NE 83rd St, Redmond, WA 98052"
0,"$2,305",1 Bed,"8356 165th Ave NE, Redmond, WA 98052"
0,"$1,871 - 3,702",Studio - 2 Beds,"15400 NE 20th St, Bellevue, WA 98007"
0,"$1,873 - 2,875",1-3 Beds,"13215 NE 123rd St, Kirkland, WA 98034"
0,"$1,859 - 4,608",Studio - 2 Beds,"2170 Bel-Red Rd, Bellevue, WA 98052"
0,"$2,599 - 5,254",Studio - 2 Beds,"15350 Bel-Red Rd, Redmond, WA 98052"
0,"$2,105 - 6,066",Studio - 2 Beds,"6180 E Lake Sammamish Pky NE, Redmond, WA 98052"
0,"$1,760 - 5,515",Studio - 2 Beds,"3040 148th Ave NE, Redmond, WA 98052"
0,"$1,889 - 3,737",Studio - 2 Beds,"8709 161st Ave NE, Redmond, WA 98052"
0,"$1,860 - 5,290",Studio - 3 Beds,"17620 NE 69th Ct, Redmond, WA 98052"
0,"$1,985 - 3,435",Studio - 3 Beds,"8020 161st Ave NE, Redmond, WA 98052"
0,"$1,895 - 5,418",Studio - 3 Beds,"6335 180th Pl NE, Redmond, WA 98052"
0,"$2,145 - 2,775",1-2 Beds,"16550 NE 79th St, Redmond, WA 98052"
0,"$2,085 - 3,317",Studio - 2 Beds,"16015 Cleveland St, Redmond, WA 98052"
0,"$1,700 - 3,649",Studio - 3 Beds,"15803 Bear Creek Pky, Redmond, WA 98052"
0,"$851 - 2,047",Studio - 3 Beds,"2710 Tagore Ave, Redmond, WA 98052"
0,"$2,090 - 4,483",Studio - 2 Beds,"12655 120th Ave NE, Kirkland, WA 98034"
0,"$2,070 - 4,906",1-2 Beds,"14710 NE 40th St, Bellevue, WA 98007"
