,price,rooms,address
0,"$1,470 - 2,940",1-3 Beds,"875 Damonte Ranch Pky, Reno, NV 89521"
0,"$1,485 - 2,035",1-3 Beds,"1195 Selmi Dr, Reno, NV 89512"
0,"$1,455 - 1,535",2 Beds,"3277 Reno Vista Dr, Reno, NV 89512"
0,"$1,518 - 2,325",1-3 Beds,"6155 Plumas St, Reno, NV 89519"
0,"$1,400 - 2,200",1-3 Beds,"1675 Sky Mountain Dr, Reno, NV 89523"
0,"$1,278 - 1,435",1-3 Beds,"8000 Offenhauser Dr, Reno, NV 89511"
0,"$1,171 - 2,484",1-3 Beds,"9455 Sky Vista Pky, Reno, NV 89506"
0,"$1,599 - 1,975",1-2 Beds,"2490 Eastshore Dr, Reno, NV 89509"
0,"$1,350 - 1,500",Studio - 2 Beds,"303 W 3rd St, Reno, NV 89501"
0,"$1,969 - 3,387",1-3 Beds,"6900 Sharlands Ave, Reno, NV 89523"
0,"$1,345 - 1,795",1-2 Beds,"7711 Sky Vista Pky, Reno, NV 89506"
0,"$1,235 - 2,950",1-3 Beds,"4275 W 4th St, Reno, NV 89523"
0,"$2,508 - 3,060",3-4 Beds,"548 Aurora View Ct, Reno, NV 89506"
0,"$1,643 - 3,543",Studio - 3 Beds,"9200 Double R Blvd, Reno, NV 89521"
0,"$1,618 - 3,431",1-3 Beds,"1100 Solitude Trl, Reno, NV 89503"
0,"$1,863 - 3,570",Studio - 3 Beds,"2060 Experience Ave, Reno, NV 89502"
0,"$1,482 - 2,320",1-3 Beds,"1555 Sky Valley Dr, Reno, NV 89523"
0,"$1,305 - 1,605",1-2 Beds,"825 Delucchi Ln, Reno, NV 89502"
0,"$1,275 - 1,695",1-2 Beds,"444 Kirman Ave, Reno, NV 89502"
0,"$1,565 - 2,265",1-3 Beds,"11380 S Virginia St, Reno, NV 89511"
0,"$1,387 - 2,286",1-2 Beds,"1415 C St, Sparks, NV 89431"
0,"$1,475 - 2,075",1-3 Beds,"7000 Mae Anne Ave, Reno, NV 89523"
0,"$1,542 - 1,970",1-2 Beds,"3300 Skyline Blvd, Reno, NV 89509"
0,"$1,199 - 1,909",1-3 Beds,"4500 Mira Loma Dr, Reno, NV 89502"
0,"$1,495 - 2,475",1-3 Beds,"850 Arrowcreek Pky, Reno, NV 89511"
0,"$1,516 - 4,451",1-3 Beds,"14001 Summit Sierra Blvd, Reno, NV 89511"
0,"$1,000 - 1,605",Studio - 2 Beds,"205 S Sierra St, Reno, NV 89501"
0,"$1,435 - 2,200",1-2 Beds,"14 Park St, Reno, NV 89502"
0,"$2,299",1-3 Beds,"11165 Veterans Pky, Reno, NV 89521"
0,"$1,299 - 4,845",Studio - 2 Beds,"2450 Valley Rd, Reno, NV 89512"
0,"$1,542 - 3,599",Studio - 3 Beds,"1160 Damonte Ranch Pky, Reno, NV 89521"
0,"$1,265 - 3,579",1-3 Beds,"800 Redfield Pky, Reno, NV 89509"
0,"$1,728 - 4,091",1-3 Beds,"1555 Ridgeview Dr, Reno, NV 89519"
0,"$1,764 - 2,045",1-3 Beds,"5200 Summit Ridge Dr, Reno, NV 89523"
0,"$1,199 - 1,823",1-3 Beds,"1100 15th St, Sparks, NV 89431"
0,"$1,268 - 2,323",1-2 Beds,"1400 Avenue Of The Oaks, Sparks, NV 89431"
0,"$1,407 - 3,059",1-3 Beds,"4800 Kietzke Ln, Reno, NV 89502"
0,"$2,550 - 2,925",3-4 Beds,"7595 Plump Jack Ln, Reno, NV 89506"
0,"$1,512 - 2,508",1-2 Beds,"9755 Silver Sky Pky, Reno, NV 89506"
0,"$999 - 1,815",Studio - 1 Bed,"695 W 3rd St, Reno, NV 89503"
