,price,rooms,address
0,"$1,630 - 3,200",1-3 Beds,"1650 Eagle Ridge Dr S, Renton, WA 98055"
0,"$1,455 - 6,830",Studio - 3 Beds,"229 Andover Park E, Seattle, WA 98188"
0,"$1,693 - 2,136",1-2 Beds,"500 Monroe Ave NE, Renton, WA 98056"
0,"$1,670 - 2,310",1-2 Beds,"3788 NE 4th St, Renton, WA 98056"
0,"$2,005 - 3,836",1-3 Beds,"10930 SE 172nd St, Renton, WA 98055"
0,"$2,080 - 5,094",1-3 Beds,"10619 SE 172nd St, Renton, WA 98055"
0,"$1,539 - 2,640",1-3 Beds,"17425 120th Ln SE, Renton, WA 98058"
0,"$1,559 - 3,920",Studio - 2 Beds,"3815 NE 4th St, Renton, WA 98056"
0,"$1,592 - 6,674",1-3 Beds,"17333 121st Ln SE, Renton, WA 98058"
0,"$1,490 - 8,559",1-2 Beds,"1300 Eagle Ridge Dr S, Renton, WA 98055"
0,"$2,228 - 5,684",2 Beds,"7920 110th Ave SE, Newcastle, WA 98056"
0,"$1,799 - 2,431",1-2 Beds,"18414 108th Ave SE, Renton, WA 98055"
0,"$1,729 - 2,659",1-3 Beds,"17600 134Th Ave SE, Renton, WA 98058"
0,"$2,945 - 3,045",3 Beds,"1500-1510 S Puget Dr, Renton, WA 98055"
0,"$1,699 - 2,060",1-2 Beds,"14121 SE 177th St, Renton, WA 98058"
0,"$1,588 - 3,117",Studio - 2 Beds,"1202 N 10th Pl, Renton, WA 98057"
0,"$1,710 - 2,705",1-3 Beds,"17440 103rd Ave SE, Renton, WA 98055"
0,Call for Rent,2 Beds,"2800 NE Sunset Blvd, Renton, WA 98056"
0,Call for Rent,1-3 Beds,"2955 NE 11th St, Renton, WA 98056"
0,"$1,961 - 4,596",Studio - 2 Beds,"411 Baker Blvd, Tukwila, WA 98188"
0,"$1,450 - 1,945",1-2 Beds,"15110 Macadam Rd S, Tukwila, WA 98188"
0,"$1,244 - 1,477",Studio - 1 Bed,"12511 69th Ave, Seattle, WA 98178"
0,"$1,450 - 1,700",1-2 Beds,"12825 60th Ln S, Seattle, WA 98178"
0,"$1,983 - 2,918",1-3 Beds,"17735 105Th Pl SE, Renton, WA 98055"
0,"$2,378 - 4,859",2-3 Beds,"2223 Benson Rd, Renton, WA 98055"
0,"$1,595 - 1,795",1-2 Beds,"607-609 Williams Ave S, Renton, WA 98057"
0,"$1,795 - 2,395",1-2 Beds,"110 Williams Ave S, Renton, WA 98057"
0,"$1,570 - 3,240",1-3 Beds,"2101 SW Sunset Blvd, Renton, WA 98057"
0,"$1,700 - 1,975",1-2 Beds,"5851 S 152nd St, Tukwila, WA 98188"
0,"$1,900 - 2,160",2 Beds,"6801 S 133rd St, Seattle, WA 98178"
0,"$1,458 - 7,223",1-3 Beds,"11101 SE 208th St, Kent, WA 98031"
0,"$1,890 - 2,880",1-2 Beds,"207 Main Ave S, Renton, WA 98057"
0,"$1,847 - 6,165",Studio - 3 Beds,"95 Burnett Ave S, Renton, WA 98057"
0,"$1,789 - 2,449",1-2 Beds,"1205 Grant Ave S, Renton, WA 98055"
0,"$2,075 - 7,545",1-3 Beds,"11100 SE Petrovitsky Rd, Renton, WA 98055"
0,"$1,523 - 4,398",Studio - 2 Beds,"339 Burnett Ave S, Renton, WA 98057"
0,"$2,607 - 7,331",2-3 Beds,"2100 Lake Washington Blvd N, Renton, WA 98056"
0,"$1,659 - 1,959",1-2 Beds,"2307 NE 4th St, Renton, WA 98056"
0,"$1,968 - 2,990",1-2 Beds,"1300 N 20th St, Renton, WA 98056"
0,"$1,725 - 1,899",Studio - 2 Beds,"6802 Coal Creek Pky SE, Renton, WA 98059"
