,price,rooms,address
0,"$1,133 - 1,640",1-2 Beds,"601 Orange Ave NE, Roanoke, VA 24016"
0,"$999 - 1,450",1-2 Beds,"2215 Montauk Rd, Roanoke, VA 24017"
0,"$1,350 - 2,275",1-3 Beds,"2801 Hersberger Rd NW, Roanoke, VA 24017"
0,"$1,205 - 1,915",1-3 Beds,"6525 Greenway Dr, Roanoke, VA 24019"
0,"$1,240 - 1,355",2-3 Beds,"3464 Colonial Ave SW, Roanoke, VA 24018"
0,"$1,116 - 3,018",1-3 Beds,"16 Old Woods Ave, Roanoke, VA 24016"
0,"$1,490 - 2,465",1-3 Beds,"25 Daleville Ln, Daleville, VA 24083"
0,"$1,249 - 1,805",1-3 Beds,"65 Town Center St, Daleville, VA 24083"
0,"$1,085 - 4,020",1-3 Beds,"3343 GLADE CREEK Blvd NE, ROANOKE, VA 24012"
0,"$1,217 - 1,908",2-3 Beds,"5204 Lancelot Ln, Roanoke, VA 24019"
0,"$1,200 - 1,700",2-4 Beds,"733 29th St NW, Roanoke, VA 24017"
0,"$1,010 - 3,085",1-3 Beds,"3006 Hickory Woods Dr, Roanoke, VA 24012"
0,"$949 - 1,149",1-2 Beds,"1726 Rutrough Rd SE, Roanoke, VA 24014"
0,"$925 - 1,160",1-3 Beds,"410-1 Westside Blvd NW, Roanoke, VA 24017"
0,"$949 - 1,629",1-3 Beds,"3030 Ordway Dr NW, Roanoke, VA 24017"
0,"$1,200 - 1,725",1-3 Beds,"900 Camelot Dr, Salem, VA 24153"
0,"$1,099 - 1,399",1-3 Beds,"777 Roanoke Blvd, Salem, VA 24153"
0,"$1,099 - 1,350",1-2 Beds,"150 Fieldstone Ln, Daleville, VA 24083"
0,"$1,185 - 1,299",2-3 Beds,"2318 Highland Farm Rd NW, Roanoke, VA 24017"
0,"$1,481 - 1,581",3 Beds,"5400 Bernard Dr, Roanoke, VA 24018"
0,"$1,200 - 2,055",1-3 Beds,"2550 Orange Ave NE, Roanoke, VA 24012"
0,"$1,215 - 1,595",2-3 Beds,"3157-27 Berry Ln, Roanoke, VA 24018"
0,"$999 - 1,399",1-3 Beds,"4823 Rutgers St NW, Roanoke, VA 24012"
0,"$1,025 - 1,499",1-2 Beds,"206 Williamson Rd SE, Roanoke, VA 24011"
0,"$1,099 - 1,299",1-2 Beds,"3420 Chaparral Dr, Roanoke, VA 24018"
0,"$1,199 - 1,399",1-2 Beds,"6441 Archcrest Dr, Roanoke, VA 24019"
0,"$934 - 2,454",1-2 Beds,"3101 Honeywood Ln, Roanoke, VA 24018"
0,"$967 - 3,297",1-3 Beds,"3345 Circle Brook Dr SW, Roanoke, VA 24018"
0,"$965 - 1,345",1-2 Beds,"4302-4410 Plantation Rd NE, Roanoke, VA 24012"
0,"$1,199 - 1,399",1-2 Beds,"6354 Township Dr, Roanoke, VA 24019"
0,"$877 - 3,725",1-3 Beds,"4630 Roxbury Ln SW, Roanoke, VA 24018"
0,"$1,118 - 1,283",2-3 Beds,"7266 S Barrens Rd, Roanoke, VA 24019"
0,"$899 - 1,346",1-3 Beds,"4301 Garst Mill Rd, Roanoke, VA 24018"
0,"$1,175 - 2,695",2 Beds,"100 KIMBALL Ave, SALEM, VA 24153"
0,"$1,090 - 3,070",1-3 Beds,"128 RUTLEDGE Dr, SALEM, VA 24153"
0,"$1,014 - 1,509",1-2 Beds,"424 Yorkshire St, Salem, VA 24153"
0,"$1,099 - 1,499",2-3 Beds,"1650 Lancing Dr, Salem, VA 24153"
0,"$2,900",3 Beds,"Roanoke, VA 24014"
0,"$2,800",3 Beds,"Roanoke, VA 24014"
