,price,rooms,address
0,"$1,350 - 1,925",Studio - 2 Beds,"4871 Pines View Pl NW, Rochester, MN 55901"
0,"$1,325 - 3,385",Studio - 3 Beds,"4850 Maine Ave SE, Rochester, MN 55904"
0,"$1,399 - 2,500",Studio - 2 Beds,"511 3rd Ave, Rochester, MN 55902"
0,"$934 - 2,378",Studio - 2 Beds,"3955 Superior Dr, Rochester, MN 55901"
0,"$1,395 - 3,655",1-3 Beds,"6635 Lodge View Rd NW, Rochester, MN 55901"
0,"$1,324 - 1,999",1-2 Beds,"3345 41st St NW, Rochester, MN 55901"
0,"$1,549 - 2,399",1-3 Beds,"350 Boulder Rd SE, Rochester, MN 55904"
0,"$2,099 - 2,400",2-3 Beds,"692 Stone Haven Dr, Byron, MN 55920"
0,"$1,030 - 1,714",1-2 Beds,"101 Civic Center Dr NE, Rochester, MN 55906"
0,"$1,350 - 3,200",Studio - 2 Beds,"412 SE 3rd Ave, Rochester, MN 55904"
0,"$1,563 - 2,538",Studio - 3 Beds,"1728 Quarry Ridge Pl NW, Rochester, MN 55901"
0,"$1,299 - 1,500",2-3 Beds,"5041 Weatherstone Cir NW, Rochester, MN 55901"
0,"$1,450 - 1,870",Studio - 2 Beds,"722 W Center St, Rochester, MN 55902"
0,"$1,325 - 1,485",1-2 Beds,"6717 Gaillardia Dr NW, Rochester, MN 55901"
0,"$1,375 - 1,655",1-2 Beds,"6520 Clarkia Dr NW, Rochester, MN 55901"
0,"$1,610 - 2,050",1-3 Beds,"4400 Red Hawk Dr SE, Rochester, MN 55904"
0,"$1,239 - 2,278",Studio - 2 Beds,"1610 Center St, Rochester, MN 55902"
0,"$1,495 - 3,495",1-3 Beds,"449 E Center St, Rochester, MN 55904"
0,"$1,561 - 5,905",Studio - 3 Beds,"217 14th Ave SW, Rochester, MN 55902"
0,"$1,430 - 4,505",Studio - 2 Beds,"425 S Broadway, Rochester, MN 55904"
0,"$1,045 - 1,575",Studio - 2 Beds,"3745 NW Technology Dr, Rochester, MN 55901"
0,"$1,141 - 1,795",Studio - 2 Beds,"2712 Commerce Dr NW, Rochester, MN 55901"
0,Call for Rent,1-3 Beds,"2251 26th St NW, Rochester, MN 55906"
0,Call for Rent,1-2 Beds,"112 7th St NE, Rochester, MN 55906"
0,"$1,703 - 3,268",1-4 Beds,"182 Grandeville Rd SW, Rochester, MN 55902"
0,"$940 - 1,050",1-3 Beds,"3908 19th Ave NW, Rochester, MN 55901"
0,"$885 - 1,175",1-3 Beds,"2015 41st St NW, Rochester, MN 55901"
0,"$1,135 - 3,770",1-3 Beds,"937 41st St NW, Rochester, MN 55901"
0,"$1,340 - 2,665",Studio - 2 Beds,"6470 37th Ave NW, Rochester, MN 55901"
0,"$1,695 - 1,745",2-3 Beds,"2301 Crystal Bay Ct SW, Rochester, MN 55902"
0,"$1,395 - 1,695",2-3 Beds,"2670 Georgetowne Pl NW, Rochester, MN 55901"
0,"$1,250 - 3,200",Studio - 2 Beds,"501 1st Ave SW, Rochester, MN 55902"
0,"$1,200 - 1,550",2-3 Beds,"1505 Marion Rd SE, Rochester, MN 55904"
0,"$1,475 - 1,765",1-2 Beds,"1721 3rd St SW, Rochester, MN 55902"
0,"$1,400 - 4,200",1-2 Beds,"123 6th Ave SE, Rochester, MN 55904"
0,"$2,715 - 5,780",1-2 Beds,"Rochester, MN 55901"
0,"$1,399 - 3,805",Studio - 2 Beds,"839 16th St SW, Rochester, MN 55902"
0,"$1,225 - 3,185",Studio - 3 Beds,"560 28th St SE, Rochester, MN 55904"
0,"$1,379",2 Beds,"2850-2852 59th St NW, Rochester, MN 55901"
0,"$1,340 - 2,401",1-3 Beds,"3639 41st St NW, Rochester, MN 55901"
