,price,rooms,address
0,"$1,410 - 1,900",2-3 Beds,"708 Glamorgan Way, Rock Hill, SC 29730"
0,"$1,175 - 1,725",1-2 Beds,"2172 Ebinport Rd, Rock Hill, SC 29732"
0,"$1,225 - 1,775",1-3 Beds,"1800 Marett Blvd, Rock Hill, SC 29732"
0,"$1,250 - 2,150",1-2 Beds,"371 Technology Centre Way, Rock Hill, SC 29730"
0,"$1,075 - 1,575",1-3 Beds,"2400 Celanese Rd, Rock Hill, SC 29732"
0,"$1,500",1-3 Beds,"810 S York Ave, Rock Hill, SC 29730"
0,"$1,689 - 2,530",1-2 Beds,"1065 Traditions Dr, Fort Mill, SC 29715"
0,"$1,413 - 1,999",Studio - 3 Beds,"117 E White St, Rock Hill, SC 29730"
0,"$1,474 - 1,729",2-3 Beds,"709 Patriot Pky, Rock Hill, SC 29730"
0,"$1,198 - 2,579",1-2 Beds,"303 Walkers Mill Cir, Rock Hill, SC 29732"
0,"$991 - 1,170",1-2 Beds,"830 Wilkerson Rd, Rock Hill, SC 29730"
0,"$1,285 - 1,965",1-3 Beds,"820 Sebring Dr, Rock Hill, SC 29730"
0,"$1,220 - 1,470",1-2 Beds,"1712 India Hook Rd, Rock Hill, SC 29732"
0,"$1,290 - 1,540",2-3 Beds,"2600 Celanese Rd, Rock Hill, SC 29732"
0,"$1,155 - 1,475",1-2 Beds,"1890 Cathedral Mills Ln, Rock Hill, SC 29732"
0,"$1,272 - 2,101",1-3 Beds,"517 Pink Moon Dr, Rock Hill, SC 29730"
0,"$1,203 - 3,180",1-3 Beds,"417 Bushmill Dr, Rock Hill, SC 29730"
0,"$990 - 2,991",Studio - 3 Beds,"752 Patriot Pky, Rock Hill, SC 29730"
0,"$1,255 - 2,946",1-3 Beds,"1878 Gingercake Cir, Rock Hill, SC 29732"
0,"$1,275 - 1,995",1-3 Beds,"823 Carmen Way, Rock Hill, SC 29730"
0,"$1,335 - 1,550",1-2 Beds,"793 Patriot Pky, Rock Hill, SC 29730"
0,"$1,050 - 1,475",1-3 Beds,"1364 Riverview Rd, Rock Hill, SC 29732"
0,"$999 - 1,604",1-3 Beds,"1817 Paces River Ave, Rock Hill, SC 29732"
0,"$1,000 - 1,400",Studio - 3 Beds,"211 Garden Way, Rock Hill, SC 29732"
0,"$1,100 - 1,500",2-3 Beds,"1775 Cedar Post Ln, Rock Hill, SC 29730"
0,"$1,258 - 1,460",2-3 Beds,"1103 Springdale Rd, Rock Hill, SC 29730"
0,"$950 - 1,400",1-3 Beds,"1825 Heather Sq, Rock Hill, SC 29732"
0,"$1,300 - 2,050",Studio - 2 Beds,"652 Herrons Ferry Rd, Rock Hill, SC 29730"
0,"$1,107 - 1,503",Studio - 3 Beds,"1061 Hearn St, Rock Hill, SC 29732"
0,"$1,050 - 1,400",1-3 Beds,"1304 StoneyPointe Dr, Rock Hill, SC 29732"
0,"$1,285 - 1,925",1-3 Beds,"819 Arklow Dr, Rock Hill, SC 29730"
0,"$1,429 - 2,526",1-2 Beds,"108 E Main St, Rock Hill, SC 29730"
0,"$1,215 - 1,725",1-3 Beds,"1310 Cypress Pointe Dr, Rock Hill, SC 29730"
