,price,rooms,address
0,"$1,999 - 2,895",1-3 Beds,"1601 Vineyard Rd, Roseville, CA 95747"
0,"$2,171 - 2,693",1-3 Beds,"1900 Blue Oaks Blvd, Roseville, CA 95747"
0,Call for Rent,1-3 Beds,"3200 Pleasant Grove Blvd, Roseville, CA 95747"
0,"$2,115 - 2,600",1-3 Beds,"6201 W Oaks Blvd, Rocklin, CA 95765"
0,"$1,707 - 2,722",1-3 Beds,"1299 Antelope Creek Dr, Roseville, CA 95678"
0,"$1,982 - 2,121",1-3 Beds,"5 Marcia Way, Roseville, CA 95747"
0,"$1,930 - 3,649",1-3 Beds,"1100 Roseville Pky, Roseville, CA 95678"
0,"$2,040 - 2,485",1-2 Beds,"1298 Antelope Creek Dr, Roseville, CA 95678"
0,"$2,325 - 3,143",2-3 Beds,"1890 Junction Blvd, Roseville, CA 95747"
0,"$1,904 - 2,723",1-3 Beds,"8800 Sierra College Blvd, Roseville, CA 95661"
0,"$2,124 - 4,075",1-4 Beds,"500 Roseville Pky, Roseville, CA 95747"
0,"$3,005 - 3,325",3-4 Beds,"2000 Rydal Cir, Roseville, CA 95747"
0,"$2,575 - 3,650",2-4 Beds,"2151 Prairie Town Way, Roseville, CA 95747"
0,"$1,950 - 2,600",1-3 Beds,"1501 Secret Ravine Pkwy, Roseville, CA 95661"
0,"$2,321 - 3,233",1-4 Beds,"3339 Marlee Way, Rocklin, CA 95677"
0,"$1,829 - 2,329",1-3 Beds,"101 Coppervale Cir, Rocklin, CA 95765"
0,"$2,631 - 3,825",1-4 Beds,"6122 Plaza Loop, Rocklin, CA 95765"
0,"$1,895 - 2,915",1-3 Beds,"700 Gibson Dr, Roseville, CA 95678"
0,"$2,005 - 2,670",1-2 Beds,"6601 Blue Oaks Blvd, Rocklin, CA 95765"
0,"$1,646",1 Bed,"8123 Sunrise Blvd, Citrus Heights, CA 95610"
0,"$1,833 - 2,956",1-2 Beds,"1010 Madden Ln, Roseville, CA 95661"
0,"$2,091 - 7,208",1-3 Beds,"1801 Eureka Rd, Roseville, CA 95661"
0,"$2,000 - 4,310",1-3 Beds,"2801 Alexandra Dr, Roseville, CA 95661"
0,"$1,941 - 6,381",Studio - 3 Beds,"301 Gibson Dr, Roseville, CA 95678"
0,"$2,095 - 2,700",1-3 Beds,"701 Gibson Dr, Roseville, CA 95678"
0,"$1,615 - 3,270",1-2 Beds,"1900 S Cirby Way, Roseville, CA 95661"
0,"$1,650 - 2,100",1-2 Beds,"1605 Santa Clara Dr, Roseville, CA 95661"
0,Call for Rent,1-2 Beds,"5800 Woodside Dr, Rocklin, CA 95677"
0,"$2,098 - 2,480",2-3 Beds,"6115 Brookside Cir, Rocklin, CA 95677"
0,"$1,800 - 2,185",1-2 Beds,"333 Cirby Way, Roseville, CA 95678"
0,"$1,659 - 2,107",1-2 Beds,"1148 Conroy Ln, Roseville, CA 95661"
