,price,rooms,address
0,"$1,220 - 2,470",1-3 Beds,"600 Old Holcomb Bridge Rd, Roswell, GA 30076"
0,"$1,421 - 6,483",1-4 Beds,"1450 Raintree Way, Roswell, GA 30076"
0,"$1,260 - 1,825",1-2 Beds,"700 Summit Place Dr, Sandy Springs, GA 30350"
0,"$1,505 - 4,019",1-3 Beds,"32000 Gardner Dr, Alpharetta, GA 30009"
0,"$1,290 - 2,965",1-3 Beds,"8805 Dunwoody Pl, Sandy Springs, GA 30350"
0,"$1,994 - 4,380",1-2 Beds,"4115 Lake St, Alpharetta, GA 30009"
0,"$1,637 - 3,025",1-3 Beds,"11042 Alpharetta Hwy, Roswell, GA 30076"
0,"$2,399 - 5,800",1-3 Beds,"1037 Alpharetta St, Roswell, GA 30075"
0,"$1,349 - 2,707",1-2 Beds,"2200 Belcourt Pky, Roswell, GA 30076"
0,"$1,650 - 2,355",2-4 Beds,"1500 Harbor Landing, Roswell, GA 30076"
0,"$1,254 - 2,155",1-3 Beds,"100 Calibre Creek Pky, Roswell, GA 30076"
0,"$1,311 - 3,440",1-3 Beds,"11251 Alpharetta Hwy, Roswell, GA 30076"
0,"$1,747 - 3,892",1-2 Beds,"3000 Forrest Walk, Roswell, GA 30075"
0,"$1,455 - 1,910",1-2 Beds,"2745 Holcomb Bridge, Alpharetta, GA 30022"
0,"$2,375 - 5,942",1-2 Beds,"2001 Commerce St, Alpharetta, GA 30009"
0,"$2,107 - 4,973",Studio - 2 Beds,"6000 Summit Plz, Alpharetta, GA 30009"
0,"$1,723 - 4,288",1-2 Beds,"9000 Beaver Creek Rd, Alpharetta, GA 30022"
0,"$1,365 - 3,940",1-2 Beds,"1000 Fanfare Way, Alpharetta, GA 30009"
0,"$1,207 - 4,120",1-3 Beds,"9230 Nesbit Ferry Rd, Alpharetta, GA 30022"
0,"$1,548 - 2,945",1-3 Beds,"1000 Lexington Farms Dr, Alpharetta, GA 30004"
0,"$1,635 - 3,753",1-2 Beds,"26000 Mill Creek Ave, Alpharetta, GA 30022"
0,"$1,338 - 2,082",1-3 Beds,"6516 Spalding Dr NE, Peachtree Corners, GA 30092"
0,"$1,325 - 2,075",1-3 Beds,"9200 Roberts Dr, Sandy Springs, GA 30350"
0,"$1,388 - 3,788",1-3 Beds,"8520 S Holcomb Bridge Way, Alpharetta, GA 30022"
0,"$1,451 - 1,816",1-2 Beds,"8600 Roberts Dr, Dunwoody, GA 30350"
0,"$1,225 - 2,145",1-3 Beds,"100 Greyfield Ln, Atlanta, GA 30350"
0,"$1,183 - 2,708",1-2 Beds,"1000 Holcomb Bridge Rd, Roswell, GA 30076"
0,"$1,306 - 5,011",1-4 Beds,"501 N River Pky, Sandy Springs, GA 30350"
0,"$1,341 - 2,854",1-3 Beds,"1500 Huntcliff Village Ct, Sandy Springs, GA 30350"
0,"$1,453 - 2,536",1 Bed,"100 Legacy Oaks Cir, Roswell, GA 30076"
0,"$1,474 - 2,505",1-3 Beds,"100 Autumn Ridge Trl, Roswell, GA 30076"
0,"$1,385 - 3,284",1-3 Beds,"100 Hemingway Ln, Roswell, GA 30075"
0,"$1,530 - 3,416",1-3 Beds,"100 Chattahoochee Cir, Roswell, GA 30075"
0,"$1,096 - 2,002",1-3 Beds,"1045 Holcomb Bridge Rd, Roswell, GA 30075"
0,"$1,097 - 1,375",1-3 Beds,"8601 Roberts Dr, Atlanta, GA 30350"
0,"$1,428 - 2,789",1-3 Beds,"1300 Gran Crique Dr, Roswell, GA 30076"
0,"$1,145 - 1,690",1-2 Beds,"8800 Dunwoody Pl, Sandy Springs, GA 30350"
0,"$1,370 - 2,385",1-3 Beds,"401 Huntington Dr, Roswell, GA 30076"
0,"$1,599 - 3,119",1-3 Beds,"88 Barrington Oaks Rdg, Roswell, GA 30075"
0,"$1,195 - 2,156",1-3 Beds,"555 Eagles Crest Village Ln, Roswell, GA 30076"
