,price,rooms,address
0,"$1,495 - 1,945",1-3 Beds,"189 E 1st Ave 76, Salt Lake City, UT 84103"
0,"$1,229 - 5,855",Studio - 3 Beds,"510 S 300 W, Salt Lake City, UT 84101"
0,"$1,350 - 2,100",Studio - 1 Bed,"25 S 300 E, Salt Lake City, UT 84111"
0,"$1,196 - 2,534",Studio - 3 Beds,"371 S 200 W, Salt Lake City, UT 84101"
0,"$1,595 - 3,470",Studio - 2 Beds,"33 S 600 E, Salt Lake City, UT 84102"
0,"$1,375 - 3,700",Studio - 2 Beds,"555 E 2100 S, Salt Lake City, UT 84106"
0,"$1,400 - 2,300",1-2 Beds,"817 S 200 W, Salt Lake City, UT 84101"
0,"$1,500 - 3,000",Studio - 3 Beds,"2225 S 700 E, Salt Lake City, UT 84106"
0,"$1,649 - 2,315",Studio - 2 Beds,"1235 E Wilmington Ave, Salt Lake City, UT 84106"
0,"$1,479 - 2,806",Studio - 2 Beds,"1155 E 2100 S, Salt Lake City, UT 84106"
0,"$1,249 - 2,360",1-3 Beds,"4422 S Muirfield Dr, Salt Lake City, UT 84124"
0,"$1,134 - 2,099",1-3 Beds,"4150 S 300 E, Salt Lake City, UT 84107"
0,"$1,575 - 2,850",1-3 Beds,"974 E 2100 S, Salt Lake City, UT 84106"
0,"$1,285 - 2,475",Studio - 2 Beds,"315 W Pierpont Ave, Salt Lake City, UT 84101"
0,"$1,190 - 1,894",1-2 Beds,"360 S 200 W, Salt Lake City, UT 84101"
0,"$1,199 - 1,724",Studio - 2 Beds,"4929 S Lake Pines Dr, Salt Lake City, UT 84107"
0,"$1,335 - 2,533",Studio - 2 Beds,"360 S 400 W, Salt Lake City, UT 84101"
0,"$1,456 - 3,751",Studio - 2 Beds,"255 N 400 W, Salt Lake City, UT 84103"
0,"$1,125 - 1,799",Studio - 2 Beds,"3808 S W Temple, Salt Lake City, UT 84115"
0,"$1,399 - 2,800",Studio - 2 Beds,"241 W 200 S, Salt Lake City, UT 84101"
0,"$1,399 - 3,382",Studio - 2 Beds,"380 S 400 East, Salt Lake City, UT 84111"
0,"$1,578 - 28,984",Studio - 3 Beds,"455 W 200 N, Salt Lake City, UT 84103"
0,"$1,550 - 2,900",Studio - 2 Beds,"308 North Temple, Salt Lake City, UT 84103"
0,"$1,060 - 2,471",Studio - 2 Beds,"30 N Orange St, Salt Lake City, UT 84116"
0,"$1,400 - 2,385",Studio - 2 Beds,"160 S 300 W, Salt Lake City, UT 84101"
0,"$1,255 - 1,699",1-2 Beds,"1977 S 300 W, Salt Lake City, UT 84115"
0,"$1,349 - 2,249",Studio - 2 Beds,"480 E South Temple, Salt Lake City, UT 84111"
0,"$1,430 - 3,815",Studio - 3 Beds,"1240 E Stringham Ave, Salt Lake City, UT 84106"
0,"$1,620 - 3,985",Studio - 3 Beds,"218 S 200 E, Salt Lake City, UT 84111"
0,"$1,675 - 2,250",1-3 Beds,"63 S 600 W, Salt Lake City, UT 84101"
0,"$1,080 - 2,150",Studio - 3 Beds,"1740 W Gertie Ave, Salt Lake City, UT 84116"
0,"$1,129 - 1,369",Studio - 2 Beds,"915 Washington St, Salt Lake City, UT 84101"
0,"$1,300 - 3,200",1-2 Beds,"515 S 400 E, Salt Lake City, UT 84111"
0,"$1,325 - 2,750",Studio - 2 Beds,"702 S Main St, Salt Lake City, UT 84101"
0,"$1,335 - 4,125",Studio - 3 Beds,"1111 E Brickyard Rd, Salt Lake City, UT 84106"
0,"$1,430 - 2,300",Studio - 2 Beds,"764 S 200 W, Salt Lake City, UT 84101"
0,"$1,420 - 3,475",Studio - 3 Beds,"5350 W 200 S, Salt Lake City, UT 84101"
0,"$1,365 - 2,315",1-3 Beds,"1812 W 4100 S, Salt Lake City, UT 84119"
0,"$1,155 - 1,640",Studio,"640 S West Temple, Salt Lake City, UT 84101"
0,"$1,146",1 Bed,"182 N 900 W, Salt Lake City, UT 84116"
