,price,rooms,address
0,"$1,400 - 1,700",2-3 Beds,"4225 S Jackson St, San Angelo, TX 76903"
0,"$995 - 1,465",1-3 Beds,"1880 Northwest Dr, San Angelo, TX 76901"
0,"$1,075 - 1,625",1-3 Beds,"1825 W Loop 306, San Angelo, TX 76904"
0,"$975 - 1,100",1-2 Beds,"1737 Knickerbocker Rd, San Angelo, TX 76904"
0,"$799 - 1,760",1-3 Beds,"2431 College Hills Blvd, San Angelo, TX 76904"
0,$525,1 Bed,"1521 S Bryant Blvd, San Angelo, TX 76903"
0,"$800 - 1,200",1-2 Beds,"4125 Ben Ficklin Rd, San Angelo, TX 76903"
0,"$815 - 1,035",1-2 Beds,"2123 Industrial Ave, San Angelo, TX 76904"
0,"$1,150 - 1,876",1-3 Beds,"6133 Sherwood Way, San Angelo, TX 76901"
0,"$775 - 1,275",1-3 Beds,"2508 Sweetbriar Dr, San Angelo, TX 76904"
0,"$877 - 1,260",1-2 Beds,"3018 Knickerbocker Rd, San Angelo, TX 76904"
0,$800 - 925,1-2 Beds,"3433 Arden Rd, San Angelo, TX 76901"
0,"$1,000 - 1,350",1-2 Beds,"5014 Westway Dr, San Angelo, TX 76904"
0,$700 - 975,1-2 Beds,"1929 Raney St, San Angelo, TX 76901"
0,"$739 - 1,314",1-3 Beds,"4001 Sul Ross St, San Angelo, TX 76904"
0,"$717 - 1,098",1-2 Beds,"555 Smith Blvd, San Angelo, TX 76905"
0,"$736 - 1,058",1-2 Beds,"2901 Sunset Dr, San Angelo, TX 76904"
0,"$1,049 - 1,399",1-3 Beds,"4022 Green Meadow Dr, San Angelo, TX 76904"
0,"$1,249 - 2,004",1-3 Beds,"5702 Melrose Ave, San Angelo, TX 76901"
0,"$750 - 1,475",Studio - 2 Beds,"2617 Southland Blvd, San Angelo, TX 76904"
0,$750 - 975,1-2 Beds,"4190 Ben Ficklin Rd, San Angelo, TX 76903"
0,$550 - 950,Studio - 3 Beds,"3302-3306 N Bryant Blvd, San Angelo, TX 76903"
0,"$725 - 1,100",Studio - 2 Beds,"1818 S Lincoln St, San Angelo, TX 76904"
0,$700 - 850,1-2 Beds,"San Angelo, TX 76903"
0,$825 - 975,1-2 Beds,"San Angelo, TX 76904"
