,price,rooms,address
0,"$712 - 1,422",1-3 Beds,"6400 Wurzbach Rd, San Antonio, TX 78229"
0,"$800 - 1,225",1-2 Beds,"5235 Glen Ridge Dr, San Antonio, TX 78229"
0,"$999 - 1,679",Studio - 2 Beds,"7139 Wurzbach Rd, San Antonio, TX 78240"
0,"$1,096 - 2,015",1-3 Beds,"5511 Pecan Springs Rd, San Antonio, TX 78249"
0,"$890 - 1,440",1-2 Beds,"3379-3380 Timber View Dr, San Antonio, TX 78251"
0,"$863 - 2,284",1-2 Beds,"1111 Vista Valet, San Antonio, TX 78216"
0,"$1,099 - 2,599",1-3 Beds,"12235 Vance Jackson Rd, San Antonio, TX 78230"
0,"$1,193 - 3,416",1-3 Beds,"3231 N Loop 1604 W, San Antonio, TX 78257"
0,"$1,240 - 3,440",Studio - 3 Beds,"6107 Via La Cantera, San Antonio, TX 78256"
0,"$1,197 - 3,013",1-3 Beds,"6455 De Zavala Rd, San Antonio, TX 78249"
0,"$1,226 - 2,305",1-3 Beds,"5219 Rogers Rd, San Antonio, TX 78251"
0,"$1,163 - 4,133",1-3 Beds,"15150 Blanco Rd, San Antonio, TX 78232"
0,"$1,120 - 3,227",Studio - 3 Beds,"6215 Via La Cantera, San Antonio, TX 78256"
0,"$784 - 1,389",Studio - 2 Beds,"4822 Gus Eckert Ln, San Antonio, TX 78240"
0,"$810 - 1,405",1-2 Beds,"9939 Fredericksburg Rd, San Antonio, TX 78240"
0,"$741 - 1,483",1-3 Beds,"5055 Von Scheele Dr, San Antonio, TX 78229"
0,"$799 - 1,244",1-3 Beds,"8715 Datapoint Dr, San Antonio, TX 78229"
0,"$1,151 - 1,922",1-3 Beds,"5623 Hamilton Wolfe Rd, San Antonio, TX 78240"
0,"$979 - 3,180",Studio - 3 Beds,"7733 Louis Pasteur Dr, San Antonio, TX 78229"
0,"$780 - 1,080",Studio - 2 Beds,"8711 Cinnamon Creek Dr, San Antonio, TX 78240"
0,"$1,235 - 1,957",1-2 Beds,"4835 USAA Blvd, San Antonio, TX 78240"
0,"$2,099 - 2,825",2-4 Beds,"8642 Oakland Blvd, San Antonio, TX 78240"
0,"$1,249 - 1,674",1-2 Beds,"2 Spurs Ln, San Antonio, TX 78240"
0,"$859 - 1,672",Studio - 2 Beds,"4801 Gus Eckert Rd, San Antonio, TX 78240"
0,"$876 - 4,117",1-2 Beds,"7575 Callaghan Rd, San Antonio, TX 78229"
0,"$792 - 1,460",1-2 Beds,"4900 Usaa Blvd, San Antonio, TX 78240"
0,"$882 - 1,312",1-2 Beds,"5380 Medical Dr, San Antonio, TX 78240"
0,"$1,035 - 2,326",1-3 Beds,"12222 Vance Jackson Rd, San Antonio, TX 78230"
0,"$983 - 1,693",1-2 Beds,"3838 Lockhill Selma Rd, San Antonio, TX 78230"
0,"$875 - 1,815",1-3 Beds,"13999 Old Blanco Rd, San Antonio, TX 78216"
0,"$1,185 - 1,841",1-3 Beds,"11300 Expo Blvd, San Antonio, TX 78230"
0,"$839 - 1,649",1-3 Beds,"3431 Oakdale St, San Antonio, TX 78229"
0,"$1,199 - 1,829",1-3 Beds,"6418 Eckhert Rd, San Antonio, TX 78240"
0,"$1,153 - 2,469",1-3 Beds,"16505 La Cantera Pky, San Antonio, TX 78256"
0,"$1,042 - 2,290",1-3 Beds,"9931 Hyatt Resort Dr, San Antonio, TX 78251"
0,"$853 - 1,455",1-2 Beds,"11711 Wall St, San Antonio, TX 78230"
0,$580 - 835,2-4 Beds,"8102 W Hausman Rd, San Antonio, TX 78249"
0,"$1,169 - 2,729",1-3 Beds,"16631 Vance Jackson, San Antonio, TX 78257"
0,"$944 - 1,599",1-2 Beds,"14838 Vance Jackson Rd, San Antonio, TX 78249"
0,"$915 - 1,251",1-3 Beds,"535 S Acme Rd, San Antonio, TX 78237"
