,price,rooms,address
0,"$3,000 - 3,200",1-2 Beds,"2015 Hancock St, San Diego, CA 92110"
0,"$2,230 - 8,795",Studio - 3 Beds,"300 14th St, San Diego, CA 92101"
0,"$3,398 - 4,363",2 Beds,"6345 Gullstrand St, San Diego, CA 92122"
0,"$2,283 - 4,929",1-3 Beds,"1150 E St, San Diego, CA 92101"
0,"$2,558 - 12,047",Studio - 2 Beds,"310 A St, San Diego, CA 92101"
0,"$3,125 - 6,845",Studio - 3 Beds,"1011 Union St, San Diego, CA 92101"
0,"$2,604 - 5,587",1-3 Beds,"10977 Pacific Point Pl, San Diego, CA 92129"
0,"$2,851 - 5,314",1-3 Beds,"9840 Carroll Canyon Rd, San Diego, CA 92131"
0,"$2,455 - 4,455",Studio - 2 Beds,"3250 Barnett Ave, San Diego, CA 92110"
0,"$2,999 - 6,299",Studio - 2 Beds,"2426 4th Ave, San Diego, CA 92101"
0,"$2,929 - 7,086",1-3 Beds,"101 River Park Dr, San Diego, CA 92108"
0,"$2,450 - 4,889",Studio - 2 Beds,"3829 5th Ave, San Diego, CA 92103"
0,"$2,849 - 4,110",1-2 Beds,"4360 Twain Ave, San Diego, CA 92120"
0,"$2,440 - 7,190",Studio - 2 Beds,"330 13th St, San Diego, CA 92101"
0,"$2,318 - 5,000",1-2 Beds,"2225-2295 River Run Dr, San Diego, CA 92108"
0,"$2,589 - 3,098",1-2 Beds,"4611-4649 Governor Dr, San Diego, CA 92122"
0,"$1,950 - 2,750",1-2 Beds,"9494 Carroll Canyon Rd, San Diego, CA 92126"
0,"$2,344 - 6,848",Studio - 3 Beds,"7777 Westside Dr, San Diego, CA 92108"
0,"$1,995 - 10,730",1-3 Beds,"424 15th St, San Diego, CA 92101"
0,"$3,375 - 8,810",1-3 Beds,"4200 Brooke Ct, San Diego, CA 92122"
0,"$2,582 - 4,459",1-3 Beds,"1440 Hotel Cir N, San Diego, CA 92108"
0,"$3,347 - 7,393",1-3 Beds,"13385 Highlands Pl, San Diego, CA 92130"
0,"$1,995 - 2,495",1-2 Beds,"4260 Palm Ave, San Diego, CA 92154"
0,"$2,900 - 3,900",2-3 Beds,"15095 Via Hondonada, San Diego, CA 92129"
0,"$1,899 - 2,625",Studio - 1 Bed,"606 3rd Ave, San Diego, CA 92101"
0,"$2,290",1 Bed,"3131 Cauby St, San Diego, CA 92110"
0,"$2,195 - 3,802",1-2 Beds,"1471 8th Ave, San Diego, CA 92101"
0,"$2,549 - 4,691",1-2 Beds,"9320-9370 Hillery Dr, San Diego, CA 92126"
0,"$2,515 - 5,760",1-3 Beds,"6555 Ambrosia Dr, San Diego, CA 92124"
0,"$2,335 - 3,245",Studio - 2 Beds,"11102 Caminito Alvarez, San Diego, CA 92126"
0,"$2,374 - 5,000",1-2 Beds,"11203 Paseo Montanoso, San Diego, CA 92127"
0,"$2,751 - 4,887",1-3 Beds,"3455 Kearny Villa Rd, San Diego, CA 92123"
0,"$3,126 - 6,708",Studio - 2 Beds,"4855 Ariva Way, San Diego, CA 92123"
0,"$2,375 - 4,965",Studio - 3 Beds,"8720 Costa Verde Blvd, San Diego, CA 92122"
0,"$2,306 - 5,776",1-2 Beds,"3417 Lebon Dr, San Diego, CA 92122"
0,"$2,600",Studio - 2 Beds,"505 W Broadway, San Diego, CA 92101"
0,"$3,131 - 6,131",1-3 Beds,"7800 Westside Dr, San Diego, CA 92108"
0,"$1,907 - 2,693",Studio - 1 Bed,"453 13th St, San Diego, CA 92101"
0,"$2,056 - 2,800",Studio - 2 Beds,"3883 Ingraham St, San Diego, CA 92109"
0,"$3,025",1-2 Beds,"8155 Cargill Ave, San Diego, CA 92122"
