,price,rooms,address
0,"$4,105 - 10,774",Studio - 3 Beds,"1011-1023 3rd St, San Francisco, CA 94158"
0,"$2,162 - 7,300",Studio - 3 Beds,"1028 Market St, San Francisco, CA 94102"
0,"$2,795 - 8,193",Studio - 3 Beds,"150 Van Ness Ave, San Francisco, CA 94102"
0,"$2,199 - 3,949",Studio - 2 Beds,"515 John Muir Dr, San Francisco, CA 94132"
0,"$3,150 - 5,700",1-2 Beds,"2 Townsend St, San Francisco, CA 94107"
0,"$2,758 - 6,095",Studio - 2 Beds,"8 10th St, San Francisco, CA 94103"
0,"$2,915 - 6,692",Studio - 2 Beds,"100 Van Ness Ave, San Francisco, CA 94102"
0,"$1,902 - 4,069",Studio - 2 Beds,"1066 Market St, San Francisco, CA 94102"
0,"$2,060 - 3,435",Studio - 2 Beds,"1532 Harrison St, San Francisco, CA 94103"
0,"$2,170 - 6,775",Studio - 3 Beds,"1140 Harrison St, San Francisco, CA 94103"
0,"$1,970 - 3,922",Studio - 3 Beds,"331 Park Plaza Dr, Daly City, CA 94015"
0,"$2,930 - 7,615",Studio - 2 Beds,"30 Otis St, San Francisco, CA 94103"
0,"$1,496 - 2,281",Studio,"361 Turk St, San Francisco, CA 94102"
0,"$1,250 - 1,950",Studio,"229 Ellis St, San Francisco, CA 94102"
0,"$2,800 - 6,450",Studio - 3 Beds,"99 Ocean Ave, San Francisco, CA 94112"
0,"$3,207 - 6,178",Studio - 3 Beds,"2095 Bryant St, San Francisco, CA 94110"
0,"$2,634 - 5,819",Studio - 2 Beds,"1 Brady St, San Francisco, CA 94103"
0,"$2,800 - 10,000",Studio - 3 Beds,"55 Oak St, San Francisco, CA 94102"
0,"$2,072 - 2,998",Studio - 2 Beds,"1190 Mission St, San Francisco, CA 94103"
0,"$2,624 - 8,599",Studio - 3 Beds,"375-399 Fremont St, San Francisco, CA 94105"
0,"$1,992 - 2,229",Studio - 1 Bed,"1188 Mission St, San Francisco, CA 94103"
0,"$2,213 - 3,498",Studio - 2 Beds,"33 8th St, San Francisco, CA 94103"
0,"$1,860 - 5,224",Studio - 2 Beds,"737 Post St, San Francisco, CA 94109"
0,"$2,862 - 4,502",Studio - 2 Beds,"355 Berry St, San Francisco, CA 94158"
0,"$2,735 - 6,885",Studio - 3 Beds,"855 Brannan St, San Francisco, CA 94103"
0,"$2,668 - 6,677",Studio - 3 Beds,"1301 16th St, San Francisco, CA 94103"
0,"$2,277 - 4,335",Studio - 3 Beds,"2000 Post St, San Francisco, CA 94115"
0,"$3,043 - 5,424",Studio - 2 Beds,"2245 3rd St, San Francisco, CA 94107"
0,"$2,344 - 5,676",Studio - 3 Beds,"One Saint Francis Pl, San Francisco, CA 94107"
0,"$2,615 - 5,007",Studio - 3 Beds,"21 Clarence Pl, San Francisco, CA 94107"
0,"$2,107 - 5,574",Studio - 3 Beds,"1475 Fillmore St, San Francisco, CA 94115"
0,"$2,625 - 4,800",Studio - 2 Beds,"1333 Gough St, San Francisco, CA 94109"
0,"$2,244 - 5,730",Studio - 4 Beds,"460 Davis Ct, San Francisco, CA 94111"
0,"$2,471 - 4,189",Studio - 2 Beds,"788 Harrison St, San Francisco, CA 94107"
0,"$3,046 - 4,625",Studio - 2 Beds,"8 Locksley Ave, San Francisco, CA 94122"
0,"$3,275 - 3,900",2-3 Beds,"222 Halleck St, San Francisco, CA 94129"
0,"$2,898 - 7,277",Studio - 3 Beds,"388 Beale St, San Francisco, CA 94105"
0,"$2,541 - 5,790",Studio - 2 Beds,"299 Fremont St, San Francisco, CA 94105"
