,price,rooms,address
0,"$4,355 - 12,549",1-3 Beds,"3069 E Kyne St, San Mateo, CA 94403"
0,"$2,674 - 3,486",2-3 Beds,"3204 Casa De Campo Way, San Mateo, CA 94403"
0,"$2,559 - 3,902",1-3 Beds,"3055 La Selva Ln, San Mateo, CA 94403"
0,"$2,815 - 4,304",1-3 Beds,"1987 Bridgepointe Pky, San Mateo, CA 94404"
0,"$2,945 - 5,595",Studio - 2 Beds,"815 Old County Rd, Belmont, CA 94002"
0,"$2,403 - 3,445",Studio - 2 Beds,"700 Marlin Ave, Foster City, CA 94404"
0,"$3,045 - 5,275",Studio - 2 Beds,"1325 Old Country Rd, Belmont, CA 94002"
0,"$2,200 - 3,335",Studio - 2 Beds,"10 De Sabla Rd, San Mateo, CA 94402"
0,"$7,952 - 9,388",2-3 Beds,"2901 E Kyne St, San Mateo, CA 94403"
0,"$2,695 - 4,245",Studio - 2 Beds,"250 Baldwin Ave, San Mateo, CA 94401"
0,"$4,892 - 6,095",1-3 Beds,"3068 Kyne St W, San Mateo, CA 94403"
0,"$3,875 - 7,056",1-3 Beds,"3098 Kyne St W, San Mateo, CA 94403"
0,"$2,599 - 4,199",Studio - 3 Beds,"430 Station Park Cir S100, San Mateo, CA 94402"
0,"$3,815 - 5,850",Studio - 3 Beds,"282 Pony Ln, San Mateo, CA 94403"
0,"$3,665 - 5,749",1-3 Beds,"338 S Fremont St, San Mateo, CA 94401"
0,"$3,911 - 6,852",1-2 Beds,"1650 S Delaware St, San Mateo, CA 94402"
0,"$3,223 - 5,554",1-3 Beds,"1101-1101 Park Pl, San Mateo, CA 94403"
0,"$2,840 - 4,546",1-3 Beds,"85 W 5th Ave, San Mateo, CA 94402"
0,"$1,825 - 1,925",Studio,"420 N Bayshore Fwy, San Mateo, CA 94401"
0,"$2,079 - 3,245",1-3 Beds,"480 E 4th Ave, San Mateo, CA 94401"
0,"$2,698 - 4,013",1-2 Beds,"703 Catamaran St, Foster City, CA 94404"
0,"$3,637 - 5,890",1-3 Beds,"333 El Camino Real, San Carlos, CA 94070"
0,"$3,690 - 5,752",1-3 Beds,"55 Triton Park Ln, Foster City, CA 94404"
0,"$3,697 - 15,769",1-3 Beds,"100 Grand Ln, Foster City, CA 94404"
0,"$2,566 - 4,722",1-2 Beds,"777 Shell Blvd, Foster City, CA 94404"
0,"$2,995 - 3,150",2 Beds,"2200 Lake Rd, Belmont, CA 94002"
0,"$2,857 - 3,525",1-2 Beds,"244 Rock Harbor Ln, Foster City, CA 94404"
0,"$2,000 - 3,095",Studio - 2 Beds,"1039 Continentals Way, Belmont, CA 94002"
0,"$2,149 - 3,818",Studio - 2 Beds,"1080 Carolan Ave, Burlingame, CA 94010"
0,"$2,405 - 3,740",Studio - 2 Beds,"900 E Hillsdale Blvd, Foster City, CA 94404"
0,"$2,465 - 3,638",Studio - 2 Beds,"120 W 3rd Ave, San Mateo, CA 94402"
0,"$2,325 - 2,625",1 Bed,"145 N El Camino Real, San Mateo, CA 94401"
0,"$2,125 - 3,145",Studio - 2 Beds,"2021-2037 S Delaware St, San Mateo, CA 94403"
0,"$2,420 - 2,465",1 Bed,"804-820 19th Ave, San Mateo, CA 94403"
0,"$2,160 - 3,944",1 Bed,"460 N Humboldt St, San Mateo, CA 94401"
0,"$2,225 - 3,095",1-2 Beds,"400 E Hillsdale Blvd, San Mateo, CA 94403"
0,Call for Rent,1-2 Beds,"1000 Continentals Way, Belmont, CA 94002"
0,"$2,098 - 4,913",Studio - 1 Bed,"1401 Floribunda Ave, Burlingame, CA 94010"
0,"$2,849 - 4,225",1-3 Beds,"1633 Marina Ct, San Mateo, CA 94403"
0,Call for Rent,1-2 Beds,"525 N El Camino Real, San Mateo, CA 94401"
