,price,rooms,address
0,"$2,295 - 4,195",1-3 Beds,"7300 Parkwood Cir, Dublin, CA 94568"
0,"$2,400 - 3,775",1-2 Beds,"8105 N Lake Dr, Dublin, CA 94568"
0,"$2,075 - 4,320",1-3 Beds,"9200 Alcosta Blvd, San Ramon, CA 94583"
0,"$2,417 - 4,052",Studio - 2 Beds,"401 Canyon Woods Pl, San Ramon, CA 94582"
0,"$2,698 - 2,925",1-2 Beds,"1000 Canyon Village Cir, San Ramon, CA 94583"
0,"$2,295 - 3,262",1-2 Beds,"500 Copperset Rd, San Ramon, CA 94582"
0,"$2,300 - 3,653",1-3 Beds,"2311 Ivy Hill Way, San Ramon, CA 94582"
0,"$2,250 - 3,130",1-2 Beds,"6500 Cotton Wood Cir, Dublin, CA 94568"
0,"$2,273 - 2,960",1-2 Beds,"17115 Bollinger Canyon Rd, San Ramon, CA 94582"
0,"$2,281 - 3,115",1-3 Beds,"2200 Brookcliff Cir, San Ramon, CA 94582"
0,"$2,202 - 3,618",1-3 Beds,"1700 Promontory Ln, San Ramon, CA 94583"
0,"$2,200 - 2,951",1-2 Beds,"309 Springfield Dr, San Ramon, CA 94583"
0,"$2,349 - 3,880",1-3 Beds,"2100 Waterstone Pl, San Ramon, CA 94582"
0,"$2,050 - 2,775",1-2 Beds,"12355 Alcosta Blvd, San Ramon, CA 94583"
0,"$2,183 - 3,303",1-3 Beds,"1200 Goldenbay Ave, San Ramon, CA 94582"
0,"$1,919 - 3,570",Studio - 2 Beds,"2000 Shoreline Loop, San Ramon, CA 94582"
0,"$2,230 - 2,999",1-3 Beds,"1 Amberstone Ln, San Ramon, CA 94582"
0,"$2,895 - 3,295",2 Beds,"4000 Bollinger Crest Cmn, San Ramon, CA 94583"
0,"$2,195 - 3,595",1-3 Beds,"3300 Promontory Way, San Ramon, CA 94583"
