,price,rooms,address
0,"$1,260 - 2,085",1-2 Beds,"500 Harbor Pointe Pky, Sandy Springs, GA 30350"
0,"$1,290 - 2,965",1-3 Beds,"8805 Dunwoody Pl, Sandy Springs, GA 30350"
0,"$1,506 - 3,948",Studio - 2 Beds,"6075 Roswell Rd, Sandy Springs, GA 30328"
0,"$1,260 - 1,825",1-2 Beds,"700 Summit Place Dr, Sandy Springs, GA 30350"
0,"$1,460 - 3,015",1-3 Beds,"7843 Roswell Rd, Sandy Springs, GA 30350"
0,"$1,421 - 6,483",1-4 Beds,"1450 Raintree Way, Roswell, GA 30076"
0,"$1,499 - 2,899",Studio - 2 Beds,"60 Perimeter Center Pl NE, Atlanta, GA 30346"
0,"$1,494 - 2,685",Studio - 2 Beds,"2020 Powers Ferry Rd SE, Atlanta, GA 30339"
0,"$1,558 - 3,216",Studio - 2 Beds,"101 High St, Atlanta, GA 30346"
0,"$1,777 - 19,717",1-3 Beds,"2180 Shadowood Pky, Atlanta, GA 30339"
0,"$1,257 - 1,941",1-2 Beds,"7227 NE Peachtree Dunwoody Rd, Atlanta, GA 30328"
0,"$963 - 3,245",1-3 Beds,"1067 Pitts Rd, Sandy Springs, GA 30350"
0,"$1,416 - 4,353",1-3 Beds,"6850 Peachtree Dunwoody Rd, Sandy Springs, GA 30328"
0,"$1,307 - 4,473",1-3 Beds,"789 Hammond Dr, Sandy Springs, GA 30328"
0,"$1,419 - 6,414",1-3 Beds,"6925 Roswell Rd NE, Sandy Springs, GA 30328"
0,"$1,663 - 4,973",1-3 Beds,"100 Preston Woods Trl, Sandy Springs, GA 30338"
0,"$1,056 - 1,965",1-2 Beds,"1800 Windridge Dr, Sandy Springs, GA 30350"
0,"$1,325 - 2,075",1-3 Beds,"9200 Roberts Dr, Sandy Springs, GA 30350"
0,"$1,247 - 1,681",1-2 Beds,"7889 Roswell Rd, Sandy Springs, GA 30350"
0,"$1,412 - 6,942",Studio - 3 Beds,"1160 Hammond Dr, Sandy Springs, GA 30328"
0,"$1,197 - 3,763",1-3 Beds,"7000 Roswell Rd NE, Sandy Springs, GA 30328"
0,"$1,400 - 2,775",Studio - 2 Beds,"6558 Roswell Rd NE, Sandy Springs, GA 30328"
0,"$1,670 - 3,497",1-2 Beds,"550 Northridge Pkwy, Sandy Springs, GA 30350"
0,"$1,614 - 3,474",1-2 Beds,"1160 Johnson Ferry Rd NE, Sandy Springs, GA 30342"
0,"$1,400 - 2,100",1-2 Beds,"6096 Barfield Rd, Sandy Springs, GA 30328"
0,"$1,396 - 1,739",1-2 Beds,"5550 Glenridge Dr NE, Sandy Springs, GA 30342"
0,"$1,502 - 2,330",1-3 Beds,"5470 Glenridge Dr NE, Sandy Springs, GA 30342"
0,"$1,030 - 2,720",1-2 Beds,"8350 Roswell Rd, Sandy Springs, GA 30350"
0,"$1,086 - 2,837",1-3 Beds,"7600 Roswell Rd, Sandy Springs, GA 30350"
0,"$1,439 - 3,669",1-2 Beds,"31 Perimeter Ctr E, Atlanta, GA 30346"
0,"$1,234 - 2,040",1-2 Beds,"800 NE Lake Placid Dr, Atlanta, GA 30342"
0,"$1,380 - 6,095",Studio - 3 Beds,"4403 Northside Pky NW, Atlanta, GA 30327"
0,"$1,035 - 1,989",1-3 Beds,"501 Northridge Rd, Atlanta, GA 30350"
0,"$1,211 - 3,240",1-3 Beds,"100 Akers Ridge Dr, Atlanta, GA 30339"
0,"$1,279 - 2,949",1-3 Beds,"5675 Roswell Rd, Atlanta, GA 30342"
0,"$1,281 - 4,721",1-3 Beds,"350 Perimeter Ctr N, Dunwoody, GA 30346"
0,"$1,338 - 2,082",1-3 Beds,"6516 Spalding Dr NE, Peachtree Corners, GA 30092"
0,"$1,229 - 2,959",1-3 Beds,"5555 Roswell Rd, Atlanta, GA 30342"
0,"$1,320 - 3,531",1-3 Beds,"1000 Shadowood Pky SE, Atlanta, GA 30339"
0,"$1,365 - 3,650",Studio - 2 Beds,"4090 Roswell Rd NE, Atlanta, GA 30342"
