,price,rooms,address
0,"$1,299 - 1,939",1-2 Beds,"10428 S Jordan Gateway, South Jordan, UT 84095"
0,"$1,296 - 3,124",Studio - 3 Beds,"942 E North Union Ave, Midvale, UT 84047"
0,"$1,235 - 2,290",Studio - 3 Beds,"6945 S Well Wood Rd, Midvale, UT 84047"
0,"$1,173 - 2,221",Studio - 3 Beds,"159 E Midvillage Blvd, Sandy, UT 84070"
0,"$1,285 - 2,000",1-3 Beds,"32 E Princeton Dr, Sandy, UT 84070"
0,"$1,219 - 3,380",Studio - 3 Beds,"168 E Midvillage Rd, Sandy, UT 84070"
0,"$3,025",2-4 Beds,"11171 S Apple Cider Dr, Sandy, UT 84070"
0,"$1,350 - 1,845",1-3 Beds,"9425 S Riverside Dr, Sandy, UT 84070"
0,"$1,370 - 3,025",1-3 Beds,"9551 S Brandy Spring Ln, Sandy, UT 84070"
0,"$1,275 - 2,035",1-3 Beds,"124 E Dry Creek Ridge Ln, Sandy, UT 84070"
0,"$1,309 - 2,019",1-3 Beds,"880 E Canyon Ridge Way, Midvale, UT 84047"
0,"$1,465 - 2,200",1-3 Beds,"7601 S Union Park Ave, Midvale, UT 84047"
0,"$1,083 - 3,419",Studio - 3 Beds,"1171 E Broadwing Ln, Cottonwood Heights, UT 84121"
0,"$1,040 - 1,653",1-2 Beds,"1550 E Fort Union Blvd, Salt Lake City, UT 84121"
0,"$1,293 - 3,300",1-2 Beds,"9035 S Hidden Peak Dr, West Jordan, UT 84088"
0,"$999 - 1,849",Studio - 2 Beds,"80 E 7800 S, Midvale, UT 84047"
0,"$1,429 - 1,829",1-3 Beds,"12092 S Draper Crest Ln, Draper, UT 84020"
0,"$1,421 - 4,560",1-3 Beds,"9678 S Kalina Way, Sandy, UT 84092"
0,"$1,121 - 3,805",Studio - 3 Beds,"213 W Civic Center Dr, Sandy, UT 84070"
0,"$1,487 - 2,207",1-3 Beds,"903 - 9000 E South S, Sandy, UT 84094"
0,"$1,289 - 2,118",1-3 Beds,"11251 S State St, Sandy, UT 84070"
0,"$1,485 - 2,165",1-3 Beds,"11065 Sterling View Dr, South Jordan, UT 84095"
0,"$1,494 - 2,294",1-3 Beds,"7673 S Highland Dr, Cottonwood Heights, UT 84121"
0,"$1,379 - 2,299",Studio - 3 Beds,"10668 S Monica Ridge Way, South Jordan, UT 84095"
0,"$1,200 - 2,424",1-4 Beds,"6942 S Boulder Dr, Salt Lake City, UT 84121"
0,"$1,875 - 1,950",2 Beds,"129 W Center St, Midvale, UT 84047"
0,"$2,272 - 2,373",2-3 Beds,"300 E 7200 S, Midvale, UT 84047"
0,"$925 - 1,035",Studio - 1 Bed,"8260 S Lance St, Midvale, UT 84047"
0,"$1,281 - 2,748",1-3 Beds,"1175 E View Point Dr, Sandy, UT 84094"
0,"$1,378 - 2,256",1-2 Beds,"9206 S 700 E, Sandy, UT 84070"
0,"$1,395 - 1,595",1-3 Beds,"8176 S 1300 E, Sandy, UT 84094"
0,"$1,340 - 2,204",1-3 Beds,"845 E 9000 S, Sandy, UT 84094"
0,"$1,299 - 1,499",1-2 Beds,"8804 S State St, Sandy, UT 84070"
0,"$1,413 - 2,629",1-3 Beds,"966 Powder Hill Rd, Midvale, UT 84047"
0,"$1,496 - 2,669",1-3 Beds,"776 W , Grand Rose Way, South Jordan, UT 84095"
0,"$1,484 - 3,534",1-3 Beds,"449 E 12205 S, Draper, UT 84020"
0,"$1,505 - 3,036",1-3 Beds,"7311 S Union Creek Way, Midvale, UT 84047"
0,"$1,381 - 3,235",1-3 Beds,"7865 S Bingham Junction Blvd, Midvale, UT 84047"
0,"$2,600 - 3,100",2-3 Beds,"12553 S Fort St, Draper, UT 84020"
0,"$1,188 - 2,182",1-3 Beds,"7400 S State St, Midvale, UT 84047"
