,price,rooms,address
0,"$2,492 - 3,548",1-3 Beds,"19300 Maybrook Ln, Santa Clarita, CA 91351"
0,"$2,215 - 2,885",1-3 Beds,"25399 The Old Rd, Stevenson Ranch, CA 91381"
0,"$2,160 - 2,776",1-2 Beds,"23645 Meadow Ridge Dr, Santa Clarita, CA 91321"
0,"$2,032 - 3,245",1-3 Beds,"23639 Newhall Ave, Santa Clarita, CA 91321"
0,"$2,415 - 5,446",Studio - 3 Beds,"17350 Humphreys Pky, Santa Clarita, CA 91387"
0,"$2,813 - 3,288",2-3 Beds,"17619 Lynne Ct, Canyon Country, CA 91387"
0,"$3,288 - 3,397",1-3 Beds,"21311 Alder Dr, Santa Clarita, CA 91321"
0,"$2,054 - 2,592",1-2 Beds,"18414 W Jakes Way, Santa Clarita, CA 91351"
0,"$2,587 - 3,548",1-3 Beds,"18005 W Annes Cir, Santa Clarita, CA 91387"
0,"$1,835 - 2,825",1-3 Beds,"22900 Oak Ridge Dr, Santa Clarita, CA 91350"
0,"$2,550 - 4,000",1-3 Beds,"24555 Town Center Dr, Valencia, CA 91355"
0,"$2,450 - 3,410",1-2 Beds,"25330 Silver Aspen Way, Valencia, CA 91355"
0,"$2,220 - 3,583",2-3 Beds,"23700 Valle del Oro, Newhall, CA 91321"
0,"$2,353 - 2,817",1-3 Beds,"27303 N Sara St, Canyon Country, CA 91387"
0,"$2,563 - 3,657",1-3 Beds,"24979 Constitution Ave, Stevenson Ranch, CA 91381"
0,"$2,232 - 3,139",1-3 Beds,"28100 Smyth Dr, Valencia, CA 91355"
0,"$2,748 - 3,853",1-3 Beds,"28160 McBean Pky, Valencia, CA 91354"
0,"$2,482 - 3,417",1-3 Beds,"24807 Magic Mountain Pky, Valencia, CA 91355"
0,"$2,265 - 3,880",1-3 Beds,"24905 Magic Mountain Pky, Valencia, CA 91355"
0,"$1,750 - 2,200",1-2 Beds,"28085 Whites Canyon Rd, Canyon Country, CA 91351"
0,"$2,605 - 5,199",1-2 Beds,"25910 Tournament Rd, Valencia, CA 91355"
0,"$2,555 - 5,150",1-2 Beds,"22640 Garzota Dr, Santa Clarita, CA 91350"
0,"$2,311 - 2,780",1-2 Beds,"26741 N Isabella Pky, Santa Clarita, CA 91351"
0,"$2,400 - 3,485",1-3 Beds,"27105 Silver Oak Ln, Santa Clarita, CA 91387"
0,"$1,795 - 2,495",1-2 Beds,"26035 Bouquet Canyon Rd, Santa Clarita, CA 91350"
0,"$2,310 - 3,655",Studio - 2 Beds,"26501-26701 McBean Pky, Valencia, CA 91355"
0,"$2,225 - 5,951",Studio - 2 Beds,"24640-24640 Town Center Dr, Valencia, CA 91355"
0,"$2,296 - 3,601",1-3 Beds,"25343 Silver Aspen Way, Valencia, CA 91381"
0,"$2,235 - 2,819",1-3 Beds,"24015 Copper Hill Dr, Valencia, CA 91354"
0,Call for Rent,2-3 Beds,"28923 N Prairie Ln, Canyon Country, CA 91387"
0,"$1,985 - 2,400",1-2 Beds,"24700 Valley St, Newhall, CA 91321"
0,"$1,799 - 2,799",1-3 Beds,"27520 Sierra Hwy, Canyon Country, CA 91351"
0,"$2,101 - 2,358",1-2 Beds,"27940 Solamint Rd, Canyon Country, CA 91387"
0,"$1,278 - 1,530",1-2 Beds,"18701 Flying Tiger Dr, Canyon Country, CA 91387"
0,"$2,995",2 Beds,"Santa Clarita, CA 91387"
0,"$3,700 /mo","3 Beds, 2.5 Baths","Santa Clarita, CA 91354"
0,"$4,100 /mo","3 Beds, 2.5 Baths","Santa Clarita, CA 91355"
