,price,rooms,address
0,"$1,970 - 2,520",1-3 Beds,"5200 Beckner Rd, Santa Fe, NM 87507"
0,Call for Rent,Studio - 2 Beds,"5750 Airport Rd, Santa Fe, NM 87507"
0,"$1,617 - 2,137",1-3 Beds,"1896 Lorca Dr, Santa Fe, NM 87505"
0,"$1,585 - 2,300",1-3 Beds,"3480 Todos Santos St, Santa Fe, NM 87507"
0,"$1,704 - 3,161",1-3 Beds,"2800 S Meadows Rd, Santa Fe, NM 87507"
0,"$1,675 - 2,740",1-3 Beds,"4700 Wagon Rd, Santa Fe, NM 87507"
0,"$1,825 - 2,545",1-3 Beds,"2525 S Meadows Rd, Santa Fe, NM 87507"
0,"$1,995 - 2,145",2-4 Beds,"6600 Jaguar Dr, Santa Fe, NM 87507"
0,"$1,425 - 1,725",Studio - 2 Beds,"501 W Zia Rd, Santa Fe, NM 87505"
0,"$1,885 - 2,590",1-3 Beds,"825 Calle Mejia, Santa Fe, NM 87501"
0,"$1,053 - 2,472",Studio - 3 Beds,"1469 Zepol Rd, Santa Fe, NM 87507"
0,"$1,250 - 1,500",1-3 Beds,"2029 Calle Lorca, Santa Fe, NM 87505"
0,"$1,429 - 2,532",1-3 Beds,"4129 S Meadows Rd, Santa Fe, NM 87507"
0,"$1,686 - 3,442",1-4 Beds,"6332 Entrada de Milagro, Santa Fe, NM 87507"
0,"$880 - 1,089",1-2 Beds,"2020 Calle Lorca, Santa Fe, NM 87505"
0,"$1,800 - 2,870",1 Bed,"543 Rodeo Rd, Santa Fe, NM 87505"
0,"$1,595 - 2,200",1-3 Beds,"4501 San Ignacio, Santa Fe, NM 87507"
0,"$1,500 - 3,370",1-2 Beds,"2500 Sawmill Rd, Santa Fe, NM 87505"
0,"$1,130 - 2,700",Studio - 3 Beds,"100 Rio Vista Pl, Santa Fe, NM 87501"
