,price,rooms,address
0,"$3,000 - 3,550",3 Beds,"2299 Carrasco Way, Santa Maria, CA 93455"
0,Call for Rent,1 Bed,"327 Plaza Dr, Santa Maria, CA 93454"
0,"$2,161 - 4,592",1-2 Beds,"333 E Enos Dr, Santa Maria, CA 93454"
0,"$1,495 - 2,350",Studio - 2 Beds,"1311 W Battles Rd, Santa Maria, CA 93458"
0,"$2,157 - 3,955",Studio - 2 Beds,"703 E Meehan St, Santa Maria, CA 93454"
0,Call for Rent,Studio,"2712 Santa Maria Way, Santa Maria, CA 93455"
0,"$1,855 - 2,498",1-2 Beds,"329 W Carmen Ln, Santa Maria, CA 93458"
0,"$1,985 - 3,800",Studio - 3 Beds,"3517 Mercury Dr, Santa Maria, CA 93455"
0,"$2,198 - 5,293",Studio - 3 Beds,"740 S Western Ave, Santa Maria, CA 93458"
0,"$2,275 - 2,995",1-3 Beds,"3235 Orcutt Rd, Orcutt, CA 93455"
