,price,rooms,address
0,"$2,649 - 4,949",Studio - 3 Beds,"1641 Lincoln Blvd, Santa Monica, CA 90404"
0,"$2,814 - 5,469",Studio - 2 Beds,"1519 6th St, Santa Monica, CA 90401"
0,"$3,600 - 6,185",1-3 Beds,"1550 Lincoln Blvd, Santa Monica, CA 90401"
0,"$2,834 - 5,938",Studio - 3 Beds,"1625 Lincoln Blvd, Santa Monica, CA 90404"
0,"$3,429 - 11,000",Studio - 2 Beds,"525 Broadway, Santa Monica, CA 90401"
0,"$2,642 - 7,668",Studio - 3 Beds,"12121 W Olympic Blvd, Los Angeles, CA 90064"
0,"$2,647 - 8,441",Studio - 3 Beds,"2435 S Sepulveda Blvd, Los Angeles, CA 90064"
0,"$3,480 - 12,750",Studio - 2 Beds,"11750 Wilshire Blvd, Los Angeles, CA 90025"
0,"$2,907 - 6,087",Studio - 2 Beds,"11916 W Pico Blvd, Los Angeles, CA 90064"
0,"$1,454 - 6,235",3-4 Beds,"1515 Colby Ave, Los Angeles, CA 90025"
0,"$3,995",1 Bed,"2727 6th St, Santa Monica, CA 90405"
0,"$2,920 - 5,280",Studio - 3 Beds,"1450 Cloverfield Blvd, Santa Monica, CA 90404"
0,"$3,195 - 4,999",1-2 Beds,"1410 5th St, Santa Monica, CA 90401"
0,"$3,995 - 6,595",1-2 Beds,"901 Ocean Ave, Santa Monica, CA 90403"
0,"$3,414 - 7,999",Studio - 2 Beds,"1318 2nd St, Santa Monica, CA 90401"
0,"$2,998 - 5,505",Studio - 3 Beds,"2929 Pennsylvania Ave, Santa Monica, CA 90404"
0,"$2,500 - 3,875",Studio - 1 Bed,"1431 Ocean Ave, Santa Monica, CA 90401"
0,"$3,500 - 6,495",1-2 Beds,"1453 3rd Street Promenade, Santa Monica, CA 90401"
0,"$2,975 - 4,795",1 Bed,"1915 Ocean Way, Santa Monica, CA 90405"
0,"$4,465 - 25,000",Studio - 3 Beds,"500 Broadway, Santa Monica, CA 90401"
0,"$2,499 - 5,070",Studio - 1 Bed,"1502 Broadway St, Santa Monica, CA 90404"
0,"$1,575 - 2,253",1 Bed,"12518 Venice Blvd, Los Angeles, CA 90066"
0,"$2,955 - 5,985",Studio - 2 Beds,"12444 Venice Blvd, Los Angeles, CA 90066"
0,"$2,395 - 3,695",Studio - 1 Bed,"1947 Sawtelle Blvd, Los Angeles, CA 90025"
0,"$1,735 - 4,950",Studio - 2 Beds,"11640 Mayfield Ave, Los Angeles, CA 90049"
0,"$3,750 - 5,465",1-2 Beds,"1168 S Barrington Ave, Los Angeles, CA 90049"
0,"$1,755 - 4,500",Studio - 2 Beds,"11665 Mayfield Ave, Los Angeles, CA 90049"
0,"$2,950 - 7,550",Studio - 3 Beds,"12027-12035 Wilshire Blvd, Los Angeles, CA 90025"
0,"$2,160 - 5,000",Studio - 3 Beds,"550 S Barrington Ave, Los Angeles, CA 90049"
0,"$3,466 - 11,017",1-3 Beds,"11950 Idaho Ave, Los Angeles, CA 90025"
0,"$4,200",2 Beds,"3827 Frances Ave, Los Angeles, CA 90066"
0,"$1,392 - 1,798",3-4 Beds,"1450 S Barrington Ave, Los Angeles, CA 90025"
0,Call for Rent,Studio - 3 Beds,"11701 W Gateway Blvd, Los Angeles, CA 90064"
0,"$9,000 - 12,000",1-2 Beds,"301 Ocean Ave, Santa Monica, CA 90402"
0,"$4,380 - 6,895",1-2 Beds,"2300 Wilshire Blvd, Santa Monica, CA 90403"
0,"$3,950 - 3,995",2-3 Beds,"1532 Brockton Ave, Los Angeles, CA 90025"
0,"$3,295",1 Bed,"3008 Santa Monica Blvd, Santa Monica, CA 90404"
0,"$2,739 - 4,932",Studio - 2 Beds,"1317 7Th St, Santa Monica, CA 90401"
0,"$3,895 - 8,100",1-2 Beds,"2700-2800 Neilson Way, Santa Monica, CA 90405"
0,"$3,295 - 4,945",1-2 Beds,"1427 7th St, Santa Monica, CA 90401"
