,price,rooms,address
0,"$2,150 - 3,950",Studio - 2 Beds,"888 4th St, Santa Rosa, CA 95404"
0,"$2,195 - 3,055",2-3 Beds,"1501 Patty Place, Santa Rosa, CA 95407"
0,"$2,510 - 8,400",1-3 Beds,"1020 Kawana Springs Rd, Santa Rosa, CA 95404"
0,"$2,275 - 5,979",1-3 Beds,"325 Yolanda Ave, Santa Rosa, CA 95404"
0,"$2,260 - 3,230",1-3 Beds,"2900 St Paul Dr, Santa Rosa, CA 95405"
0,"$1,935 - 2,944",1-2 Beds,"220-240 Burt St, Santa Rosa, CA 95407"
0,"$2,105 - 2,500",1-3 Beds,"4656 Quigg Dr, Santa Rosa, CA 95409"
0,"$2,229 - 3,200",1-2 Beds,"755 Wilson St, Santa Rosa, CA 95401"
0,"$2,300 - 3,400",1-3 Beds,"193 Airport Blvd, Santa Rosa, CA 95403"
0,"$2,130 - 2,447",1-2 Beds,"615 Healdsburg Ave, Santa Rosa, CA 95401"
0,"$2,195 - 2,995",2-3 Beds,"1333 W Steele Ln, Santa Rosa, CA 95403"
0,"$2,295 - 3,145",1-3 Beds,"802 Vineyard Creek Dr, Santa Rosa, CA 95403"
0,"$2,295 - 2,500",2 Beds,"1533 Range Ave, Santa Rosa, CA 95401"
0,"$2,413 - 3,443",1-3 Beds,"3680 Kelsey Knolls, Santa Rosa, CA 95403"
0,"$2,384 - 3,248",1-3 Beds,"2980 Bay Village Cir, Santa Rosa, CA 95403"
0,"$2,335 - 2,895",1-2 Beds,"3589 Round Barn Rd, Santa Rosa, CA 95403"
0,"$2,113 - 2,595",1-2 Beds,"174 S Boas Dr, Santa Rosa, CA 95409"
0,"$2,500 - 3,750",1-3 Beds,"1001 Doubles Dr, Santa Rosa, CA 95407"
0,"$1,999 - 2,395",1-2 Beds,"2355 Meadow Way, Santa Rosa, CA 95404"
0,"$2,022 - 2,551",1-2 Beds,"750 Apple Creek Ln, Santa Rosa, CA 95401"
0,"$1,995 - 2,600",1-2 Beds,"2705 Range Ave, Santa Rosa, CA 95403"
0,"$1,799 - 2,399",1-2 Beds,"2120 Jennings Ave, Santa Rosa, CA 95401"
0,"$1,950 - 2,450",1-2 Beds,"3329 Claremont Ct, Santa Rosa, CA 95405"
0,"$2,150 - 5,140",Studio - 2 Beds,"620 7th St, Santa Rosa, CA 95404"
0,"$2,577 - 3,524",1-3 Beds,"200 Bicentennial Way, Santa Rosa, CA 95403"
0,"$2,645 - 3,945",1-3 Beds,"4627 Thomas Lake Harris Dr, Santa Rosa, CA 95403"
0,"$2,267 - 2,970",1-2 Beds,"4145 Shadow Ln, Santa Rosa, CA 95405"
0,"$3,200",3 Beds,"801 Dutton Ave, Santa Rosa, CA 95407"
0,"$1,925 - 3,250",1-3 Beds,"1020 Jennings Ave, Santa Rosa, CA 95401"
0,Call for Rent,1-4 Beds,"3637 Sonoma Ave, Santa Rosa, CA 95405"
0,"$1,895 - 3,545",Studio - 3 Beds,"1791 Sebastopol Rd, Santa Rosa, CA 95407"
0,"$1,999 - 2,675",1-3 Beds,"2001 Piner Rd, Santa Rosa, CA 95403"
0,"$2,195 - 2,495",2-3 Beds,"3731 Sonoma Ave, Santa Rosa, CA 95405"
0,"$727 - 2,363",2-3 Beds,"1385 W College Ave, Santa Rosa, CA 95401"
0,"$668 - 1,854",1-3 Beds,"1885 Sebastopol Rd, Santa Rosa, CA 95407"
0,"$2,500",2 Beds,"Santa Rosa, CA 95407"
